{'短评内容': '房间卫生很好！位置方便！服务态度很好！', '短评打分': 5}
{'短评内容': '房间很好！交通便利！', '短评打分': 5}
{'短评内容': '不错，还算干净', '短评打分': 5}
{'短评内容': '好，干净，舒服', '短评打分': 5}
{'短评内容': '交通便利，靠近通州图书馆。。。。。。房间干净。。。。。。。。。。。。。。。。。。。。。。。。。。性价比高', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '老板服务态度超级好！！', '短评打分': 5}
{'短评内容': '还行！京东现在订房真便宜！', '短评打分': 5}
{'短评内容': '超级烂一次体验。旅馆太次了，服务不咋地，电视也特么看不了。。投诉咯', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '店经理和前台服务态度极差！', '短评打分': 3}
{'短评内容': '店经理和前台服务态度极差！', '短评打分': 3}
{'短评内容': '店经理和前台服务态度极差！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '前台工作人员服务热情周到，房间虽小，但设施齐全，价格适中，很好！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '屋子还挺大的 因为要去考试所以订了酒店 也就一晚上 看不出特多服务问题 凑合了一下 但是感觉这个价位还是不错的 热水够热 空间足够大', '短评打分': 4}
{'短评内容': '便宜…挺实惠的…前台也不错', '短评打分': 3}
{'短评内容': '便宜实惠…前台服务很好', '短评打分': 3}
{'短评内容': '房间略小，被不干净', '短评打分': 3}
{'短评内容': '便宜但不干净，总体来说是很值得的', '短评打分': 3}
{'短评内容': '宾馆不错，很适合出差 及小家庭旅游住宿。干净卫生，好评！', '短评打分': 3}
{'短评内容': '很好，很满意。', '短评打分': 3}
{'短评内容': '单人间小巧精致，干净整洁，只是房间有点潮湿霉霉的味道。服务员都挺热情的，住着很舒心。', '短评打分': 5}
{'短评内容': '虽然价格不错，设施也还可以，就是有点窄，被子床单', '短评打分': 5}
