{'短评内容': '环境一般，设备老化，网线连接基本用不上，对不起价位。', '短评打分': 1}
{'短评内容': '位置不错.服务还可以,酒店的设施一般,房间也不大,刚进入时还有点莓味.价格稍贵.', '短评打分': 5}
{'短评内容': '多次入住，非常好，值得推荐，位置方便，对面就是佳世客，海信广场，离海边也就5分钟', '短评打分': 5}
{'短评内容': '还行，空间还行，就是味道大了点，有种年发霉的味道', '短评打分': 3}
{'短评内容': '比想象的要好些主要是交通方便到海边也不远，离五四广场只有一站地，距离几家大商场也很近不用打车步行就可以，附近吃饭的地方也很多，酒店挺安静只是卫生再提高一点就更好了。', '短评打分': 5}
{'短评内容': '位置靠近佳世客，很是方便，酒店环境也不错，还能停车，值得推荐！', '短评打分': 5}
{'短评内容': '酒店位置还好，但是里边的装修太旧了，楼上貌视在装修，但是中午一点多钟都没有停工，太吵了！', '短评打分': 1}
{'短评内容': '这是第二次入住，感觉服务比之前提高很多，周围购物方便 离海边近  紧邻美食街，交通方便，关键是这么好的地脚价格合适。以后别无他选，就选海润国际酒店。', '短评打分': 5}
{'短评内容': '头一次来青岛，还在犹豫住哪家酒店，听青岛的同事说海润不错就住了 ，住后确实不错，交通方便，并且购物也很方便，一出酒店大门就有佳世客，附近还有阳光百货，海信广场，离五四广场，奥帆中心也很近，两天的时间工作，游乐全搞定，下次来还会住海润的。', '短评打分': 5}
{'短评内容': '朋友介绍来住的这家，地理位置不错，去极地海洋世界和奥帆中心很方便，旁边很多大型商场。房间稍旧点，服务不错，物有所值，性价比高。', '短评打分': 5}
{'短评内容': '地理位置很好，交通便利，服务热情。房间性价比高，值得推荐！！！', '短评打分': 5}
{'短评内容': '酒店位置非常好，到奥帆中心和五四广场很近。周边有大型购物商场，环境很好，适合休闲娱乐。\n酒店服务不错，服务员比较热情。\n', '短评打分': 5}
{'短评内容': '非常棒的一家酒店，服务非常热情，早餐种类也很多很丰盛，位置也很好，哪哪都好，哈哈，下次去青岛还会住', '短评打分': 5}
