{'短评内容': '位置略微偏里点儿', '短评打分': 5}
{'短评内容': '酒店房间不大，但设施齐全整洁干净，出行离地铁很近，对面有711，很赞', '短评打分': 5}
{'短评内容': '客观来说，前台服务可以，看到酒店大厅挺好的，我本以为里面应该不会次，我个人定的是双床普通间，但是携程中间出了小茬子，交给酒店的订单是单床的，不过携程的客服工作不得不表扬，非常到位！很高效！住单床也没太大问题，就住了，但是住进去之后发现问题非常大， 住的312，电梯边上，房间结构特别差，一进门厕所味道就翻上来了，中央空调调的30度，但是吹了一夜也是始终21度，房间可用面积特别小特别小特别小，把门口弄', '短评打分': 3}
{'短评内容': '酒店隔音不太好，房间不太大。但是还算干净整洁', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '离地铁站有点远，b栋环境比a栋好', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '挺肃静的，服务员清洁挺及时。还不错。离北邮挺近。', '短评打分': 5}
{'短评内容': '住好多次了，很不错的！', '短评打分': 5}
{'短评内容': '房门没有没锁，设施也比较旧', '短评打分': 3}
{'短评内容': '很难找，酒店信号也不好', '短评打分': 3}
{'短评内容': '网络很差，比较偏，', '短评打分': 3}
{'短评内容': '地址太偏，不好找，交通不便利。房间也很小', '短评打分': 3}
{'短评内容': '大厅在装修', '短评打分': 3}
