{'descr': '超喜欢，第二次入住了，不错干净卫生', 'star': 5}
{'descr': '酒店位置特别安静', 'star': 5}
{'descr': '干净卫生，会员送早餐', 'star': 5}
{'descr': '环境不错，交通便利！服务态度好', 'star': 5}
{'descr': '屋子不大，还算挺干净，热水也足，空调制热快，屋里还有暖气，冬天住挺好。宾馆位置还行，离地铁步行约10分钟，挺方便的', 'star': 5}
{'descr': '好评哦，性价比很高，下次有机会还会选择滴。', 'star': 5}
{'descr': '位置好。价格好', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '哈哈哈哈', 'star': 5}
{'descr': '住宿条件不错，离首都师大北一校区很近。希望考试顺利通过！', 'star': 5}
{'descr': '哈哈哈哈哈哈', 'star': 5}
{'descr': '挺好的，就是感觉有点贵，以前住过好像没有这么高的价格。', 'star': 5}
{'descr': '价格还行，房间一般，在北京足够了', 'star': 5}
{'descr': '住起来还可以，没啥大毛病，离着地铁站也不远。', 'star': 5}
{'descr': '床确实是睡着很舒服的，其他的还OK了', 'star': 5}
{'descr': 'This was my third stay at this hotel. It is good value and close to  Huayuanqiao metro line 6 and several bus routes- it is in same road as Capital Normal University international campus and thus has ', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '在北京这个价钱，住到这样的酒店确实物有所值，并且早餐还不错，不过早餐种类略少，总体来看还是很好的，值得推荐！', 'star': 5}
{'descr': '价格合适，还算方便', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '咱特别喜欢汉庭酒店，每次外出住宿选择的都是汉庭酒店哈！咱对这个酒店也特别喜欢，干净，清新，舒服……', 'star': 5}
{'descr': '给领导出差定的酒店，领带很满意！交通方便，环境舒适！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '总体上一般吧！', 'star': 3}
{'descr': '空调噪音相当大。。。。。。。。。。。。。。。。。。', 'star': 3}
{'descr': '卫生、舒适方面都算是不错的', 'star': 4}
{'descr': '当天餐厅装修，早餐只发了个鸡蛋有点……，另外还有，我之前在南京住汉庭的时候发的体验套装挺多的，这家汉庭只有洗发和沐浴……，当时我问说是新店……', 'star': 5}
{'descr': '很好，服务态度和房间干净程度\n下次还会去住', 'star': 5}
{'descr': '很不错！房间很干净，床也很舒服哦！', 'star': 3}
{'descr': '住了几次了，还可以，这次的房间隔音不好，外面就是餐厅，很吵。', 'star': 5}
{'descr': '很干净。就是隔音太差。不过比花园桥7天连锁好太多了', 'star': 3}
{'descr': '环境不错，住得很舒服，但是洗澡洗头的时候，水太小了，花洒出水换成柔和一点的就好了。。总的来说还是不错的。', 'star': 5}
{'descr': '房间不错干净', 'star': 3}
{'descr': '推荐，酒店很好，下次还去。比想象的好，2条网线，还有WIFI，很贴心', 'star': 5}
{'descr': '出差入住,出行方便,离我办事的地方非常近,有早餐,有网络.下次到京还会住在这里.', 'star': 5}
{'descr': '挺好，房间很干净，装修很简洁', 'star': 3}
{'descr': '到了酒店说没有干净房间。等了近半小时都没打扫完。崩溃！\n好不容易进了房间，异味。房间里全是烟味，卫生间臭死了！\n联系前台，过了N久来了个服务员，就那样喷喷清新剂，我还在屋里呢。又被熏死，难闻的清新剂。\n', 'star': 1}
{'descr': '设备很新，但房间还有油漆味儿，苯正在挥发，可能对身体有影响。', 'star': 3}
