{'短评内容': '房间干净整洁，晚上很安静，老板很热情', '短评打分': 5}
{'短评内容': '店主人很好', '短评打分': 5}
{'短评内容': '地方很好找，老板娘出来迎接的，还帮我们订票。我们是两家人带着孩子出来玩的，楼上客厅可以聚会，小朋友们玩得很开心。', '短评打分': 5}
{'短评内容': '给我最大印象就是老板和老板娘态度特别好。这地方适合朋友一起来，我们住的二楼，然后楼上大厅可以聚会，地方也很好找。客栈进出都是老板开车接送。可以停车。', '短评打分': 5}
{'短评内容': '不错，就西塘旁边，卫生干净，老板老板娘服务态度非常好。', '短评打分': 5}
{'短评内容': '这个房间在景区外面，其他还好', '短评打分': 4}
{'短评内容': '住的很舒服，每次去景区老板或老板娘都会送', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '阿姨人很好，省去不少费用，而且无论晚上玩得多晚，还有免费的车接送。在别墅区住，挺安静的，房间设施也都挺好，很不错的西塘旅行！！！', '短评打分': 5}
{'短评内容': '老板娘人巨好', '短评打分': 5}
{'短评内容': '非常干净 非常好 推荐！', '短评打分': 3}
{'短评内容': '住的是阿姨的别墅，楼下有秋千，这个房间有阳台很不错，床单也干净舒服，阿姨全程车接车送，很是到位，满分！', '短评打分': 5}
{'短评内容': '这次和朋友带着宝宝过来玩，老板和老板娘很是热情，到车站一个电话老板娘就过来接了，另外还给我们提供了婴儿床和洗衣机哦！简直就跟在家一样方便', '短评打分': 5}
{'短评内容': '服务态度很好，环境很干净，夜晚也很安静，住宿离景区很近，而且来去都有车接送，总之十分满意和真心感谢。', '短评打分': 5}
{'短评内容': '景区内的房间 装修的也很精致 还有热情的阿姨和叔叔 引路 棒棒哒 阿姨说这是缘分 心里暖暖哒', '短评打分': 5}
{'短评内容': '老板非常热情，住宿很舒适，住宿四周很安静，清早没有吵的感觉', '短评打分': 5}
{'短评内容': '   早上九点多到客栈,网上定的雕花大床房.之前客人还没退房.由于等车坐车耗了一夜,想梳洗下,和老板说明后,老板很热心的让我们先去另外一间没有客人的房间先洗漱整理.之后把东西寄放在老板家里,就和朋友去古镇逛.大概十一点左右到客栈.房间已经打扫整理好了. 虽然房间面积不大,但是设施齐全.床睡得真的很舒服...  咳~ 想说的很多,老板人真的很好! 下次还会再来.', '短评打分': 5}
{'短评内容': '老板很客气周到，旅馆的位置也还不错，但到晚上发现热水只够一个人洗，郁闷啊，害得我用冷水，回来几天腰直不起来，建议如在家尽情沐浴人员要小心，如是环保人士但住无妨。西塘说句老实话，没什么好玩的，就是棚户区。', '短评打分': 5}
{'短评内容': '老板娘很热情，一家人都很热情，房间挺好的。', '短评打分': 5}
{'短评内容': '老板娘人很好的……开车去车站接我们，还给了我们薄荷叶沏水喝，住的很开心，推荐啊', '短评打分': 3}
{'短评内容': '住得挺开心的 大姐很热情', '短评打分': 3}
{'短评内容': '老板很热情还特意去汽车站接我们，酒店很安静，干净。以后去西塘还会去住这家', '短评打分': 5}
{'短评内容': '帮别人定的，条件还可以', '短评打分': 3}
{'短评内容': '跟以前一样，客房面积大，就是有些设施，服务什么的个人感觉跟汉庭有点差距', '短评打分': 5}
{'短评内容': '房间还不错，看刘老根方便，下楼就是了：', '短评打分': 3}
