{'短评内容': '干净舒适一如往前', '短评打分': 4}
{'短评内容': '入住那一天11月26日，前台态度很恶劣，是单眼皮梳马尾的一位接待，对客人的态度接近于对佣人一样，不仅没有笑容，全程凶神恶煞的，找不到客人信息还怪别人！晚上房间的空调很热，去前台还是这个女的，同样态度很差，不给换房，大半夜的叫工程部的人来修。一个老头到屋里以后 随便调了调，把温度给我调到最高，然后说“好了，不热了”。我说我很热！他回答我说“是吗？我不热呀！”然后就走了，住过服务最差的酒店，没有之一。', '短评打分': 3}
{'短评内容': '房间干净，前台服务好！适合带孩子', '短评打分': 5}
{'短评内容': '给我们老外老板定的，可以', '短评打分': 4}
{'短评内容': '虽然距离法兰克福汽配展比较远，还是值得住的，适合老外的风格，一起住在这里感觉到不错，服务需要提升，其他都好', '短评打分': 4}
{'短评内容': '開會的地方附近較好的一家酒店，酒店應該開了一些年頭，有些地方坏了沒有维修。早餐比其他地方的智选假日简单，不过可以吃饱。', '短评打分': 4}
{'短评内容': '床太小了，早饭真不是一般的差啊', '短评打分': 4}
{'短评内容': '不错，很干净。', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '性价比很高，早餐一般，位置有点儿偏！', '短评打分': 4}
{'短评内容': '离机场不近 但是周边挺安静', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '除了前台冷冷的以外别的都还好', '短评打分': 3}
{'短评内容': '还凑合啊', '短评打分': 4}
{'短评内容': '早餐简单了一点。设施需要更新。', '短评打分': 3}
{'短评内容': '非常好，环境很舒适，设施也很不错，很齐全，房很温馨，下次还会来！', '短评打分': 5}
{'短评内容': '酒店很气派，干净，服务好。就是网速有点慢\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '总体感觉还行，虽然名字改成了假日但实际上还是假日快捷的水平。\r\n房间不错，很干净。\r\n就是配的牙刷之类的太简陋，甚至没有香皂。\r\n早餐真是够快捷的水平。\r\n希望酒店能够尽快在各个方面都升级到假日的水平。', '短评打分': 3}
{'短评内容': '帮朋友预订的，还不错，出来很多吃饭的地方。', '短评打分': 5}
{'短评内容': '身上北被小虫虫咬，痒了几天，下次不敢住了', '短评打分': 1}
{'短评内容': '虽然离市区比较远，但周边还是挺方便的，特别是吃饭有很多选择，推荐。', '短评打分': 5}
{'短评内容': '标房床小', '短评打分': 3}
{'短评内容': '离我们公司很近，周围有几处吃饭的地方，交通还可以，早餐一般', '短评打分': 5}
{'短评内容': '酒店挺好，管理到位，周边环境好，饮食和出行都很方便，下次来还选此酒店', '短评打分': 5}
{'短评内容': '服务和设施还是不错的，而且地理位置也还好……', '短评打分': 5}
{'短评内容': '酒店各各方面还行吧，，就是早上不好叫到出租车，经常要酒店电调才行。', '短评打分': 5}
{'短评内容': '酒店还可以吧，洗澡水很大。没有冰箱是遗憾。', '短评打分': 5}
{'短评内容': '典型的快捷酒店，房间大小适中，装修比较简洁，但是很新，服务也不错，总的说来，性价比很不错。酒店的位置比较一般，打车不是很方便.', '短评打分': 5}
{'短评内容': '酒店还不错吧，地理位置有点偏僻，卫生还不错的。', '短评打分': 5}
{'短评内容': '除了餐食不够丰富外，其他都好可以的。卫生比较干净。', '短评打分': 5}
{'短评内容': ' 酒店还可以，就是餐厅提供的餐食种类有点少。', '短评打分': 3}
{'短评内容': '酒店还可以吧，就是早餐没什么吃的，晚餐也不丰富。', '短评打分': 5}
{'短评内容': '酒店马马虎虎吧，早餐太一般了，午餐和晚餐只有套餐提供，不够丰富。酒店前经常有些不三不四的出租司机，近的地方不拉，远的地方又抢，嘴里还不干净。好像还是强生公司的出租。', '短评打分': 5}
{'短评内容': '酒店周边有很多吃食店,要找地方吃饭比较方便的.但该酒店情况就一般了.', '短评打分': 5}
{'短评内容': '这家酒店的卫生不错，但是房间偏小，早餐可以，但是不能及时补充菜品，性价比不高。', '短评打分': 5}
{'短评内容': '给老外客人订的，离我们公司近，也干净整洁。', '短评打分': 5}
{'短评内容': '我觉得这个宾馆很干净，不过它的位置不是很好。打车不是很方便，早餐我没吃不过看起来还可以。服务员的态度也很好，整体的来说还可以，我会向其它的朋友推荐的。', '短评打分': 5}
{'短评内容': '给一个老外预订的，第二次入住了，因为距离我们公司较近。他说在上海同价位来说还不错。我是提前五天预订的，424元', '短评打分': 5}
{'短评内容': '位置有点偏，但房间比较干净。总体感觉还可以。', '短评打分': 3}
{'短评内容': '早餐一般一般很一般早餐一般一般很一般早餐一般一般很一般早餐一般一般很一般', '短评打分': 5}
{'短评内容': '一般,房间小是亮点,早餐少也是亮点一般,房间小是亮点,早餐少也是亮点', '短评打分': 5}
{'短评内容': '早餐依旧那么单调啊,敢不敢增加点东西啊吃啊\n', '短评打分': 5}
{'短评内容': '关键是离上班的地方近。附近也很方便。在上海算性价比不错的了。', '短评打分': 5}
{'短评内容': '总体还行，早餐有点太过简单，房间的床有点小，其他还不错，前台的服务人员在早上会帮忙电调出租车，很好。值得表扬。', '短评打分': 5}
{'短评内容': '房间的床有点小，没冰箱有点不方便，其他还好。', '短评打分': 5}
{'短评内容': '床还可以，就是环境不是太好，而且酒店周边的环境也不是很好。价格偏高！', '短评打分': 1}
{'短评内容': '500元的价太不值，最多320元。房间啥都没有，早餐超级简陋', '短评打分': 3}
{'短评内容': '性价比不够高。\n优点：干净，床垫，枕头舒服。\n缺点：没有开空调新风，房间有味道。房间没有窗户，自己无法通风换气。电视屏幕小，国外频道除国家地理之外都没法观看。\n其它： 打车去虹桥机场，不堵车需要近30分钟，70多元。', '短评打分': 1}
{'短评内容': '为朋友订的酒店。非常没有想到，假日集团居然如同一些经济连锁酒店一样这么没有品质保证。住过这么多次假日酒店，这次的入住实在非常糟糕，真的很想问：你们是在抢钱吗？上海其他的智选假日酒店品质比这家好多了，都只要300多，这家在莘庄位置不好的酒店凭什么要近500的价格，品质缺又是如此之烂？房间小，床小，设施简单，地点偏。。。就是好点的汉庭也比它好了，价格只有其一半。。非常不满意！！我喜欢入住品质有保障的连', '短评打分': 1}
{'短评内容': '比较喜欢住Holiday Inn的酒店，简洁温馨，床和枕头特别舒服', '短评打分': 5}
{'短评内容': '很好，很温馨，喜欢，下次有机会来还会入住。', '短评打分': 5}
{'短评内容': '很不错，这个酒店一切都还可以，就是贵了点，作为快捷酒店，性价比不是很高。', '短评打分': 5}
{'短评内容': '感觉很好？', '短评打分': 5}
{'短评内容': '忘记使用消费券了，很郁闷。其他都还好了。', '短评打分': 5}
{'短评内容': '糟糕的酒店，这个水准的假日酒店，很失望，不再会入住了', '短评打分': 3}
{'短评内容': '可能是因为世博会的因素，价格极高。这家其实就是快捷酒店。设施较一般。周围有个类似万达广场的一个广场，有很多吃的和玩的。', '短评打分': 5}
{'短评内容': '在这个地区目前是比较好的酒店，大堂比较旧，房间里面还可以。', '短评打分': 5}
{'短评内容': '大堂,走廊有点乱.但是酒店房间里面很不错. Holiday Inn是低端品牌,价格小贵.总的来说,还是不错.', '短评打分': 5}
{'短评内容': '性价比不高，房间设施，服务应该都比不上其它城市的同类型酒店', '短评打分': 1}
{'短评内容': 'house house tiger tiger', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '房间很干净，除了打车稍微不方便外，都过的去。', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是在闵行能够找到的性价比最好的了。', '短评打分': 3}
{'短评内容': '价格和实际的舒适度不能比', '短评打分': 3}
{'短评内容': '干净便捷,住得很舒服,但是早上一大早,八点吧,就开始还走廊玻璃,乒乒乓乓的,难道不能晚一些吗?另外价格也觉得贵了一点,控制在400-450左右可能更有竞争力.', '短评打分': 5}
{'短评内容': '不错的酒店，在假日集团的管理下，还是档次非常高的。地段也不错，正好适合我的公务旅行的要求。', '短评打分': 5}
{'短评内容': '舒适度和酒店价格相比不符合。', '短评打分': 3}
{'短评内容': '住过好多次，水平稳定，但是：\r\n房间里，特别是淋浴区，开始有点脏了，希望多关注。\r\n早餐不怎么好吃，我只会吃玉米片跟白面包。', '短评打分': 5}
{'短评内容': '快捷酒店房价太高舒适度一般', '短评打分': 1}
{'短评内容': '服务太一般了，不像国际连锁水平\r\n洗衣阁设施更差，向前台反映--前台回复，您不会用吧，从来不认为自己的东西有问题。', '短评打分': 1}
{'短评内容': '性价比中等', '短评打分': 3}
{'短评内容': '性价比中等', '短评打分': 5}
{'短评内容': '很好，可以推荐', '短评打分': 5}
{'短评内容': '酒店的服务还可以，不过没有冰箱，价位偏高。特别值得注意的是酒店内吃早餐时竟然有两个化妆成和尚的骗子在行骗。酒店应该好好管理一下了。', '短评打分': 1}
{'短评内容': '就是离地铁站比较远，走不过去。\r\n酒店对面有 156, 162, 703B 到地铁站', '短评打分': 5}
{'短评内容': '闵行区所处的位置不错，周围就它一家，作为快捷酒店，性价比不高，热水开出来都是黄的，8点半下去吃早餐已经没什么东西了。', '短评打分': 5}
{'短评内容': '周边的环境还不错，有逛的吃的，对房间不满意的就是设施真的很简单，也许这就是所谓是快捷．早餐不错，服务也不错．但是价格相对与本身的硬件来说，略微高了点', '短评打分': 5}
