{'短评内容': '房间不错，也很安静', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '出差非常合适 舒适度挺好 去工业园区很便利！', '短评打分': 5}
{'短评内容': '老酒店了', '短评打分': 5}
{'短评内容': '太贵了太贵了', '短评打分': 3}
{'短评内容': '酒店外观不错，设施挺老的，一般般吧，但是早餐很差很贵是真的，里面的东西就挺旧的吧，墙纸发霉，浴缸底有绣迹，马桶冲水的地方也怪怪的', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '一般，设施旧，服务态度不好，朋友抽烟，说他们抽烟烟灰掉到地上罚了600块，冤枉，之前又没有提醒留意地面，事后就说我们干的，态度牛B。', '短评打分': 3}
{'短评内容': '整体感觉安静，在山脚下。估计是国有企业，服务谈不上好。去洗漱突然发现有只小强，顿时对酒店卫生感到担忧。', '短评打分': 3}
{'短评内容': '位置有点偏，但很安静，交通也很方便，酒店内有饭店，饮食方便，旁边是公园，可以爬山，商务出差休闲的好去处。', '短评打分': 5}
{'短评内容': '宾馆服务等诸方面都不错，前台素质高。', '短评打分': 4}
{'短评内容': '酒店比想象的好多了，交通方便，旁边就有大酒楼，饮食也不错，前台服务周到。', '短评打分': 5}
{'短评内容': '干净，挺好的地方。', '短评打分': 5}
{'短评内容': '周边环境不错，设施差点', '短评打分': 4}
{'短评内容': '不咋地', '短评打分': 1}
{'短评内容': '环境不错哦', '短评打分': 3}
{'短评内容': '还可以，住3号楼，服务好，尤其是小符和小罗，感谢她们。', '短评打分': 5}
{'短评内容': '不错的度假式酒店，离市区不算远，公车即到。山庄环境好，可以散步走动一下，还有网球场、游泳场等，饭店太旺了，要早点订位。宾馆房间旧了了，但是还算干净整洁。', '短评打分': 5}
{'短评内容': '环境不错，服务好。', '短评打分': 3}
{'短评内容': '在华南干线出入口附近，周边有几个森林公园，环境不错。离市区有点远，但好在广汕路（天源路不怎么塞车）', '短评打分': 5}
{'短评内容': '环境不错，住还算可以，交通对于我这次的行程也算方便，但吃的选择就不算多，一句话，只合适住，其它就大家自己因人而异。', '短评打分': 5}
{'短评内容': '性价比还算高的，干净，安静，该有的都有了，就是电视小了点，总的来说挺满意的。附近有个酒家可以吃东西，虽然选择不多，一天三餐基本可以解决了。', '短评打分': 5}
{'短评内容': '酒店环境还不错,就是洗手台居然掉下来了,差点砸到人', '短评打分': 3}
{'短评内容': '周边环境挺好，逛街购物挺方便，服务挺周到，价格挺合理的。', '短评打分': 5}
{'短评内容': '房间挺干净整洁，隔音效果很好，晚上休息的很好，服务也挺到位的。', '短评打分': 5}
{'短评内容': '价格挺实惠，房间干净卫生，住的挺舒适。', '短评打分': 5}
{'短评内容': '挺不错，环境很好，交通挺便利，服务挺周到的。', '短评打分': 3}
{'短评内容': '服务挺好，房间挺舒适，性价比挺高，值得推荐。', '短评打分': 5}
{'短评内容': '各方面都挺不错，价格适中，值得推荐。', '短评打分': 5}
{'短评内容': '这的服务还不错，房间也挺大挺舒适的，配套设施也挺齐全，感觉挺不错。', '短评打分': 5}
{'短评内容': '房间大小还好，卫生很好，光线也挺好，基本设施都有，住的还算舒适。', '短评打分': 3}
{'短评内容': '环境挺好，设施挺齐全，有宽带能上网，感觉挺方便，出行也挺方便的。', '短评打分': 5}
{'短评内容': '服务卫生挺好，早餐也不错，出行也挺方便，价格还不贵，值得推荐。', '短评打分': 5}
