{'短评内容': '干净整洁，每次进出都需要核对身份，感觉还是比较安全的。', '短评打分': 5}
{'短评内容': '好。地域好', '短评打分': 5}
{'短评内容': '很干净卫生，周边服务也不错', '短评打分': 5}
{'短评内容': '交通很方便 离考场很近 前台很棒', '短评打分': 5}
{'短评内容': '好评zsbd', '短评打分': 5}
{'短评内容': '环境干净整洁，入住体验很好，下次还会来。', '短评打分': 5}
{'短评内容': '酒店房间干净，房间较小，地处繁华地带，附近吃饭的地方比较多。离江头市场只有两站，可以去那里逛一逛，那里比较繁华。', '短评打分': 5}
{'短评内容': '关键不错', '短评打分': 5}
{'短评内容': '环境不错交通也方便', '短评打分': 5}
{'短评内容': '整体环境不错也方便', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务设施都可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '离办事的地方比较近，第一天去还没房间！附近酒店比较少！', '短评打分': 4}
{'短评内容': '实话讲，出门的话如家是不错的经济型选择，只是隔音太差了吧，晚上吵闹的厉害。', '短评打分': 3}
{'短评内容': '这天都有蚊子，建议房间定期消毒', '短评打分': 4}
{'短评内容': '酒店性价比不错，吃饭和逛街都可以', '短评打分': 4}
{'短评内容': ',己入住.这么晚了，服务还不错。房间色调喜欢。', '短评打分': 3}
{'短评内容': '很新，附近吃的地方很多。不过现在还不能刷卡，有点小不满。', '短评打分': 5}
{'短评内容': '酒店很偏，打车不容易。隔音差，一早就很吵闹。', '短评打分': 1}
{'短评内容': '隔音太差，一大早楼道九吵死了', '短评打分': 3}
{'短评内容': '感觉不错，蓝色的被单很喜欢。新装潢的，实施不错', '短评打分': 5}
{'短评内容': '設施佳 可惜一早被打掃阿姨大嗓門吵醒 希望能改進', '短评打分': 5}
{'短评内容': '酒店位置很好找,离机场很近,服务也很好,满意!', '短评打分': 3}
{'短评内容': '房间还不错，卫生精致，周围也不吵。', '短评打分': 3}
{'短评内容': '酒店还是很好找到，酒店服务不错，装修很新。就是当天晚上睡觉后，隔壁的一个小女孩哭了很久，隔音效果稍微差点。周围购物吃饭还是很方面的。', '短评打分': 5}
{'短评内容': '地理位置在社区，不是很好找。房间隔音一般，晚上社区活动的广播声很大，这也算是生活气息吧。都开业那么久了，居然还是没有pos机，这问题去年的旅客就反应了，居然还没有改进。发票还要去其他家开，得提前说要发票，提前说了还要等次日9点后，只是很多人那个时候都退房了。说是给我寄过来，不知道什么时候寄到。', '短评打分': 5}
{'短评内容': '酒店很新，员工服务态度也很好。但是为什么不收信用卡呢？ New hotel, good facility and service.  But it doe NOT accept any credit card.', '短评打分': 5}
{'短评内容': '酒店在社区里。好!吃饭。购物方便。', '短评打分': 3}
{'短评内容': '房間乾淨，環境安靜，很不錯!', '短评打分': 3}
{'短评内容': '这里的环境还不错，卫生也好，比较干净，服务态度也可以。', '短评打分': 5}
{'短评内容': '环境还不错，我住的是商务大方，非常简洁。服务员的态度很好，从进门就能感受到。而且附近小区就有超市、餐厅，出门就有公交站，非常的方便。就是我住的房间太靠近豪享来的厨房了，中午有点吵。', '短评打分': 5}
