{'descr': '服务不错，卫生可以', 'star': 4}
{'descr': '酒店不错，有停车场！', 'star': 5}
{'descr': '一样。', 'star': 4}
{'descr': '一样。', 'star': 4}
{'descr': '一样。', 'star': 5}
{'descr': '简单，干净，住着很舒服', 'star': 5}
{'descr': '很不错，经常入住，实惠，干净', 'star': 5}
{'descr': '非常棒的，每次出差都第一考虑', 'star': 5}
{'descr': '挺好的挺好的', 'star': 4}
{'descr': '附近超市多，吃饭地方多，交通方便，洗澡水温有点低，电视是电信机顶盒，每个房有单独wifi，房间靠小区，有点冷。', 'star': 4}
{'descr': '不错，住的很好', 'star': 5}
{'descr': '还可以啊！旁边就有超市和饭店餐厅', 'star': 5}
{'descr': '好好好好好好好好好好好好好', 'star': 4}
{'descr': '凑合了', 'star': 5}
{'descr': '不错！睡觉还是挺舒服的', 'star': 5}
{'descr': '挺好的，物美价廉，性价比蛮高的', 'star': 4}
{'descr': '住过几次了 总体感觉还好', 'star': 4}
{'descr': '一般般般般般般般般般般般去金', 'star': 3}
{'descr': '一般般般般般般般般般般般般QQ', 'star': 3}
{'descr': '服务好，干净。', 'star': 5}
{'descr': '酒店不错，环境好，就是隔音差了点，还没有早餐！', 'star': 5}
{'descr': '干净舒适，价钱也合理，蛮好的…', 'star': 3}
{'descr': '＋停车方便，房间比较干净，交通便利。下次还会入住', 'star': 3}
{'descr': '房间很大~~比较干净~我朋友说床有点硬~~但我觉得这样刚刚好~~看个人喜欢吧~酒店就在市中心~旁边就有商场~还有吃的~我们去还送了我们一碟小吃~有柑橘和饼干。很不错~下次去还是选择这家的！', 'star': 5}
{'descr': '相当不错的酒店，从硬件到服务都值得称赞，是我住过的最好的锦江之星，希望继续保持哦，美中不足的是不包含早餐，下次常州之行还会来的。', 'star': 5}
{'descr': '贵店装修很有品味，入住很舒服，服务很到位，最给力的就是自助早餐供应营业很丰富，价格特别超值。更值得赞扬的是保安系统很好，要想上楼没有入住卡你根本上不了楼，开不了电梯，房间的保安更是有报警系统，一旦有非正常开门警报声马上响起，沐浴室的热水温度可以随心所欲调到适合自己的的温度，而且水压很大，沐浴起来很舒服。还有床被枕头很干净很柔软，住一晚只需1百多元人民币很超值。（我是在2011年11月15晚入住江苏', 'star': 5}
{'descr': '很好，很不错，干净清爽~而且房间设施都比较到位', 'star': 5}
{'descr': '房间设施很新，一看就是刚装修完不久。电梯还有安全设施。对面马路就是苏果和夜排档，以后还会入住。', 'star': 5}
{'descr': '因为新开的很干净。价格适中。地段一般晚上马路对面有夜市这个可以。顺便说一声前台人不错其他不解释了。。。。。。。。。', 'star': 5}
