{'短评内容': '空调一点不暖和，不联系', '短评打分': 5}
{'短评内容': '太老旧，房间味道大', '短评打分': 2}
{'短评内容': '干净，整洁，\n房间面积大，\n早餐也不错，\n下次出差还会住的，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店房间干净，装修漂亮，客服人员态度好，只是房屋内部分使用设施需要及时检查维修，洗澡的喷洒头坏了赶紧修理啊！', '短评打分': 5}
{'短评内容': '酒店环境挺好，价位合适，还有挺好的早餐，值得推荐。', '短评打分': 5}
{'短评内容': '第二次入住了，感觉还是很给力的，价位比一般的快捷便宜，房间却比很多快捷酒店好不止一点', '短评打分': 5}
{'短评内容': '在临清这个地方，应该还算可以，干净。\n服务还算可以', '短评打分': 5}
{'短评内容': '一进房间很浓的霉味，换了一间还是一样的，只好将就住下，反正1天，结果晚上，打死9只蚊子，还没有电蚊香，洗澡的时候浴帽也称用光了！！早餐其实就是1个面包和1包牛奶。洗澡间也是完全开放式的。。。。', '短评打分': 1}
{'短评内容': '离车站比较近，有电梯，房间也挺大的.服务员态度都不错。', '短评打分': 5}
{'短评内容': '各方面都很不错，值得推荐。我住的是159/元大床房。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，就是用的水是地下水，水太黄了。 \n早点还不错。 电视信号太差了，电视根本都看不清。', '短评打分': 5}
{'短评内容': '住宿硬件条件还可以，卫生情况也不错，早餐也行。', '短评打分': 5}
