{'短评内容': '干净整洁，服务态度好。', '短评打分': 5}
{'短评内容': '一般化设施太旧', '短评打分': 3}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉  布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住', '短评打分': 4}
{'短评内容': '房间卫生不好，周边设施还可以', '短评打分': 4}
{'短评内容': '还好', '短评打分': 2}
{'短评内容': '价格便宜，酒店设施齐全', '短评打分': 5}
{'短评内容': '好评。位置周边环境都不错', '短评打分': 4}
{'短评内容': '性价比高的宾馆', '短评打分': 5}
{'短评内容': '不错，第二次入住，还会再来', '短评打分': 5}
{'短评内容': '住了好几天了，环境设施卫生都很好，就是隔音效果有待提高。', '短评打分': 5}
{'短评内容': '住了好几天了，环境设施卫生都很好，就是隔音效果有待提高。', '短评打分': 5}
{'短评内容': '住了好几天了，环境设施卫生都很好，就是隔音效果有待提高。', '短评打分': 5}
{'短评内容': '住了好几天了，环境设施卫生都很好，就是隔音效果有待提高。', '短评打分': 5}
