{'短评内容': '不错哦……', '短评打分': 3}
{'短评内容': '真的不错呦，小姑娘服务态度很好，环境不错。', '短评打分': 5}
{'短评内容': '酒店环境好，老板很热情，闺蜜出行不错的选择', '短评打分': 5}
{'短评内容': '不在主要游玩道路上，安静适合休息。房间干净整洁，布置得比较温馨，不像一些快捷酒店都是白色的。寄存行李很方便。', '短评打分': 5}
{'短评内容': '位置还不错，码头过去挺近的，比较干净，价格略高', '短评打分': 5}
{'短评内容': '交通很方便 很安静 不吵', '短评打分': 3}
{'短评内容': '酒店服务人员特别热情   服务态度好  而且房间环境也好  总之棒棒棒球   很满意的我旅行  ', '短评打分': 5}
{'短评内容': '国庆假期去的，很晚到店前台很热情。', '短评打分': 5}
{'短评内容': '很漂亮的旅店，卫生也很干净。入住之后服务赞赞的。', '短评打分': 5}
{'短评内容': '一般，居然还要交押金', '短评打分': 3}
{'短评内容': '清新 温馨 干净 非常舒适心情愉悦', '短评打分': 5}
{'短评内容': '不错的一家酒店，价格又便宜。', '短评打分': 3}
{'短评内容': '呵呵，湖南老乡开的，房间不大，去龙头街还算方便，好评吧', '短评打分': 3}
{'短评内容': '第二晚定的房换到二层，这间房和一层的108号房价钱一样，但卫生间大了很多，水也好了很多。不知为什么差别怎么大价格没区别？定价不合理。', '短评打分': 3}
{'短评内容': '不好，排风扇是坏的，淋浴水非常小，卫生间也很小，洗澡都扎到墙角了。', '短评打分': 3}
