{'短评内容': '含早位置佳，有停车位！', '短评打分': 4}
{'短评内容': '还好啦，当地最好酒店之一了', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间臭，脏，水小', '短评打分': 2}
{'短评内容': '环境一般，实话不值这个价', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，设施老旧', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '酒店位置好，交通方便，设备陈旧了些。餐厅也挂了大酒店的招牌在外，让初次来此的人搞不清楚酒店到底叫什么名字，有点迷茫。', '短评打分': 4}
{'短评内容': '！！！！！！！！！！！！！！！！！！！不错', '短评打分': 5}
{'短评内容': '服务态度好，设施也齐全干净，清爽！可以再次入住！', '短评打分': 5}
{'短评内容': '还可以，还行吧，方圆十公里估计就那么家了', '短评打分': 3}
{'短评内容': '一般，插座太少，床头没有插座，门都快烂了！', '短评打分': 4}
{'短评内容': '这个酒店能评四星，估计是评估部门乱来的。管理混乱，我都入住了还打电话问我订的房要不要。设备老差，花洒一股水，地漏不通，在江西往了五晚，这一晚感觉最糟。偏偏它还四星。', '短评打分': 4}
{'短评内容': '实在不敢恭维，真心不怎么样，这是我住过卫生最差，环境最差，性价比最低的酒店，根本不值358元，最多也就值100多。纱帘还坏了一大块！以后绝不会再选择这里！', '短评打分': 2}
{'短评内容': '属于综合型酒店，有餐饮、客房、KTV、休闲养生 都去尝试了下 感觉挺不错的，不用出门就可以，感觉里面设备挺充足的，慢不错的！', '短评打分': 5}
{'短评内容': '还算凑合吧，当地的最高档次的酒店，排场比较大，但是细节做的一般，各种设施一看就是很久没有维护的那种，服务员态度也不是很好，忽冷忽热的感觉，唯一的亮点就是早餐还算不错的', '短评打分': 5}
