{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是去哪里都要走一段路的，房间小，空调噪音大，加钱换的房间稍稍好点！', '短评打分': 3}
{'短评内容': '房间环境干净整洁 舒适出差的最佳选择', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很安静，而且景色好', '短评打分': 4}
{'短评内容': '酒店有停车场，位置在周家嘴路。早餐没吃过不知道怎么样。房间就是空间不是特别大，其他服务设施都挺好的。', '短评打分': 4}
{'短评内容': '没在这吃早餐，大床房可能加不了床，房间不够大，酒店我很喜欢，位置也好，离地铁近，交通便利，适合带孩子', '短评打分': 5}
{'短评内容': '好用，在京东买自营也放心，售后质量都有保障', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，好找。房间也还算干净', '短评打分': 4}
{'短评内容': '干净卫生 比较新 早餐也不错 咖啡是现磨的', '短评打分': 5}
{'短评内容': '地段不错，房间也很干净，', '短评打分': 5}
{'短评内容': '新开的酒店，干净，整洁。离景点都近，坐公交直达。入住和退房极速啊，很多人住呢。进电梯刷房卡，24小时门口有保安。安全系数高。', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '很不错简约时尚大气 靠路边的房间吵建议选择靠里的 我换了房间 赞', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '环境设施一般', '短评打分': 3}
{'短评内容': '不错的地方，性价比高，很方便，比较喜欢', '短评打分': 5}
{'短评内容': '不错不错不错，很喜欢，很方便的', '短评打分': 5}
{'短评内容': '旁边有一家如家，还有一家布丁，如家我住过，比这个莫泰要好，房间电话坏了，有窗子，打不开，而且根本不是对着外面的，也就没有一丝光线！电视弄个半天也看不了，旁边的客人看了一宿电视，我也听了一宿！第二天出去玩的时候一点精神都没有，你懂的！\r\n下次再也不来了，价格也并不比旁边的如家便宜！强烈建议朋友们不来啊！', '短评打分': 3}
{'短评内容': '环境不合人意点乱乱的，但是位置在东方之珠旁，', '短评打分': 1}
{'短评内容': '很好的酒店，环境、卫生都不错，要是交通能再方便点就更好吧', '短评打分': 5}
{'短评内容': '性价比很高，强烈推荐，谁住谁赚到，唯一有点遗憾的是离地铁站要走10分钟！', '短评打分': 5}
{'短评内容': '环境一般 酒店前台的那个人服务很差 一入住进去就有人丢了一打那些黄色小广告进来 吓死我们了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '性价比高，但前台效率很低。不过，快捷嘛，也没办法啦。', '短评打分': 3}
{'短评内容': '酒店设施还行，服务不错', '短评打分': 3}
{'短评内容': '房间设施比较陈旧，淋浴龙头还是冷热分开的，隔音效果也不好，楼道里的声音嘈杂影响休息。不过，在这个地段如此的价格，还是可以的。', '短评打分': 5}
{'短评内容': '性价比还好。隔音效果不好。房间不大。空调遥控器是固定在墙上的，是防小人的吗？', '短评打分': 5}
{'短评内容': '电视太小', '短评打分': 3}
{'短评内容': '设施一般，性价比还好，位置离浦东不算很远的。', '短评打分': 1}
