{'短评内容': '处于繁华市中心，位置好', '短评打分': 5}
{'短评内容': '停车不大方便，不过最后解决了，其它的都挺好', '短评打分': 5}
{'短评内容': '还可以 比周边的都不错', '短评打分': 5}
{'短评内容': '一般，停车方便', '短评打分': 4}
{'短评内容': '早餐丰富，可以自己煎鸡蛋，房间很大很干净，位置很好找，30m附近有停车场，唯一不足住的那个房间床头木有插座，不方便躺着玩手机。', '短评打分': 5}
{'短评内容': '房间很干净，很不错', '短评打分': 5}
{'短评内容': '还行吧比较便宜', '短评打分': 5}
{'短评内容': '还不错，房间适中，设施还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，第一次入住，干净，卫生，服务不错，很到位，比其他酒店干净多了，下次出差还会入住，周边也比较方便', '短评打分': 1}
{'短评内容': '还不错 下次继续光临', '短评打分': 5}
{'短评内容': '挺好，位置比较方便，房间比较大', '短评打分': 5}
{'短评内容': '马桶冲不下水 其他都还好', '短评打分': 4}
{'短评内容': '周围交通很便利，位置很好找，酒店环境也挺好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好，保安特别好！', '短评打分': 5}
{'短评内容': '还可以，挺干净，服务也挺好！要是房间在大点就更好了，呵呵。。', '短评打分': 5}
{'短评内容': '其实 我觉得里面装修一般吧 房间不大 床也不大 ，但是蛮安静的，', '短评打分': 5}
{'短评内容': '设施很好，环境也不错，值得推荐，挺安静的', '短评打分': 5}
{'短评内容': '不错，就是晚上有蚊子，身上咬了好多包。希望能改进一下。', '短评打分': 5}
{'短评内容': '喜欢如家的环境，就是订的那间房间布局太堵了', '短评打分': 3}
{'短评内容': '如家很有家的感觉，只是商务标间没有电脑感觉不好，另外那个电视太掉价了！希望改进……', '短评打分': 5}
{'短评内容': '基本上还行，就是早餐12元偏贵', '短评打分': 3}
{'短评内容': '房间挺干净的  还不错  设施依然还是如家的风格', '短评打分': 5}
{'短评内容': '服务、卫生、环境都很好，地理位置也很好，值得入住。', '短评打分': 5}
{'短评内容': '性价比很高，房间很干净，地理位置也很好，逛街逛公园都很近。服务很长好，强烈推荐！', '短评打分': 5}
{'短评内容': '性价比很高，房间很干净，地理位置也很好，逛街很近', '短评打分': 5}
{'短评内容': '大床房还不如标间大，其他还好', '短评打分': 3}
{'短评内容': '服务态度不错！环境也可以，总体来说是不错啦。给力！！！！', '短评打分': 5}
{'短评内容': '大体感觉不错 刚刚去了台儿庄古城 去城市快速站打车大约十块左右 房间也算好', '短评打分': 5}
{'短评内容': '很不错，下次还来住，干净卫生 服务好。比较不错的一家价格还可以', '短评打分': 5}
{'短评内容': 'brt下车再打个起步价就到了。。房间环境挺不错的。。。就是电梯里老是有股醋酸味。。。下次来还住这。', '短评打分': 5}
{'短评内容': '不错，什么都挺好的。不错，什么都挺好的。', '短评打分': 5}
{'短评内容': '房间一般，有潮的味道~\n服务还是不错的~111\n~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '在枣庄没有好酒店的情况下商务酒店算是很好的选择了，如家统一的环境，感觉还很不错', '短评打分': 5}
{'短评内容': '在老城区内，交通方便，主要是离我办事的地方比较方便吧。', '短评打分': 5}
{'短评内容': '地理位置不错。', '短评打分': 3}
{'短评内容': '服务人员态度不错，酒店也很干净卫生，出了价格189稍高些^_^', '短评打分': 5}
{'短评内容': '价格好象涨了。这个价格在枣庄这样的小城市不便宜。', '短评打分': 1}
{'短评内容': '早餐为什么永远不变？长住的客人天天吃同样的早餐，肯定会感到腻。', '短评打分': 1}
{'短评内容': '酒店干净整洁，交通方便，商务酒店的特征，适合商务入住', '短评打分': 5}
{'短评内容': '还可以，如家一贯的风格，干净、卫生、便捷', '短评打分': 5}
{'短评内容': '早餐不好。', '短评打分': 3}
{'短评内容': '服务员每次都会主动打招呼问好，这点在很多酒店都做不到，不容易。', '短评打分': 5}
{'短评内容': '要了加床很长时间才送来，被子又等了很久，据说一层楼就一个服务员。', '短评打分': 5}
{'短评内容': '有暖气，嫌不够热还可以开空调，不错。', '短评打分': 3}
{'短评内容': '很好，很卫生，就是窗户外面的空调室外机噪音太大了', '短评打分': 5}
{'短评内容': '酒店卫生良好，冬天暖气很热。一次性拖鞋感觉不是很舒服。', '短评打分': 5}
{'短评内容': '物美价廉，位置不错，干净卫生，下次还会选择', '短评打分': 5}
{'短评内容': '早点一般，毛巾有点黄，不过周围有一个市场，还有步行街，还是挺可以的', '短评打分': 5}
{'短评内容': '房间装饰很温馨，设备也很齐全，以后出门就挑选这样的连锁店。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '这次住的房间比上次明显要大一些，同样是标准间啊，觉得很值！另外，早餐有一种类似豆浆的东西不知是什么，比豆浆要粘稠，和油条一起吃味道还不错。', '短评打分': 3}
{'短评内容': '可能是因为过节的因素，人太多，导致酒店停车非常难。而其它服务、设施一般，在这个城市里性价比不算太高。', '短评打分': 1}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '  好', '短评打分': 5}
{'短评内容': '由于火车晚点，不能按规定的17：00前入住，和酒店联系延时到19：00，客服人员礼貌的接受，态度非常好。房间比较大也很整洁，12元的自助早餐品种也较多，味道也不错，保证了游客吃的饱饱的精神饱满的尽情游玩（如果不是自费就更好了）。', '短评打分': 3}
{'短评内容': ' 很干净', '短评打分': 5}
{'短评内容': '标间临街较吵，前台服务差。房间大，也挺干净。要是前台服务能改善，就好了。哦，忘记说了，餐厅饭菜真是不怎么样，以后还是出去吃吧。', '短评打分': 5}
{'短评内容': '典型商务酒店的特点，设施标准化，卫生较好，性价比还是很高的', '短评打分': 3}
{'短评内容': '商务酒店的特征，卫生条件很好，硬件设施也标准化，感觉不错', '短评打分': 3}
{'短评内容': '商务酒店的感觉，卫生条件比较好。交通条件也比较好', '短评打分': 5}
{'短评内容': '此酒店的性价比很高，干净、整洁，非常的商务，我会一直住在这里的', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店环境还可以，卫生也说得过去，美中不足的是地理位置不是很市中心的那种，但周围也还算热闹。停车场离得较远，不太方便，且说明不负责照看车辆，不太满意，另外网上预订都不含早餐，需另外花钱，12元/位，不过早餐品种不是很丰富。', '短评打分': 5}
{'短评内容': '算是不错的经济型酒店，性价比不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置便利，周围吃的用的都很方便，酒店服务也很好。', '短评打分': 3}
{'短评内容': '房间面积不小,停车场操蛋(有停车场,但明确声明,车辆一切损失,个人自负)', '短评打分': 3}
{'短评内容': '前台的服务太不好了，站在那里半天没有人搭理我，不过卫生和硬件条件，性价比还是可以的。值得推荐。', '短评打分': 5}
{'短评内容': '房间面积大,不过停车有点问题,酒店有自己的停车场,但声明,不负责车辆照看.\r\n', '短评打分': 5}
{'短评内容': '很不错，房间不错，环境也挺好！很不错，房间不错，环境也挺好很不错，房间不错，环境也挺好很不错，房间不错，环境也挺好', '短评打分': 5}
{'短评内容': '一般般  性价比不错 早餐一般般  地方不好找   就这样了', '短评打分': 3}
{'短评内容': '在枣庄市内虽然便宜，较其他的酒店还是比较卫生的', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '去市中区办事的话 住如家还是比较方便的，干净整洁 性价比还可以', '短评打分': 3}
{'短评内容': '挺好的。就是房间的色调冷了点。浴具什么的还不够齐全。希望会完善的更好。', '短评打分': 5}
{'短评内容': '在枣庄的酒店里面算是性价比很高的了', '短评打分': 3}
{'短评内容': '商务酒店的特点，卫生好', '短评打分': 5}
{'短评内容': '这个价位的这个酒店 还行 就是电视小点了', '短评打分': 5}
{'短评内容': '商务酒店的感觉，卫生条件挺好', '短评打分': 3}
{'短评内容': '商务酒店的特色，整体感觉比较不错', '短评打分': 3}
{'短评内容': '酒店的设施卫生舒适，适合商务入住', '短评打分': 5}
{'短评内容': '早上7点左右就到了，结果告诉我没房间，我说有预订啊，说是要等到9点以后，可网站上下订单时说的是最晚到达时间，前台说那是最早到达时间，还好等了1个小时左右有房间，房间和其他的如家没啥区别。', '短评打分': 5}
