{'短评内容': '不满意，但还凑合，毕竟不是去度假的', '短评打分': 3}
{'短评内容': '房间挺大，价格很实惠。老板比较实在', '短评打分': 5}
{'短评内容': '老板人不错，房子就是平常一般那种宾馆比较简陋吧，如果带小孩我觉得还是不要选', '短评打分': 4}
{'短评内容': '环境很不错，地方很好找，方便！', '短评打分': 5}
{'短评内容': '老板人很热情，环境也不错，很温馨，出差住一晚还是很不错的。', '短评打分': 5}
{'短评内容': '除了没有热水其他一切安好', '短评打分': 5}
{'短评内容': '设施差的很', '短评打分': 2}
{'短评内容': '还算可以吧，中点房价有所值.', '短评打分': 3}
{'短评内容': '+还行吧 老板蛮热情的 交通也方便 24小时热水 想要节省的旅客们 也算是个不错的选择', '短评打分': 3}
{'短评内容': '老板很热情，不错', '短评打分': 5}
{'短评内容': '还可以啦！', '短评打分': 5}
{'短评内容': '正在装修，房间很少。', '短评打分': 2}
{'短评内容': '那附近算实惠的，90元单间一张床，很窄，厕所公用，位置其实是在凤城三路的那个小区里，反正到了，人会跟你说的，图书馆下车刚好', '短评打分': 5}
