{'短评内容': '暖气超暖，水很热，设施还可以', '短评打分': 4}
{'短评内容': '性价比来说算不错了', '短评打分': 5}
{'短评内容': '很满意，环境不错，挺暖和', '短评打分': 5}
{'短评内容': '酒店还行，前台美女服务挺好，人也漂亮', '短评打分': 4}
{'短评内容': '房间卫生，服务态度好', '短评打分': 5}
{'短评内容': '服务态度好，还算不错。', '短评打分': 5}
{'短评内容': '服务很好有发票', '短评打分': 4}
{'短评内容': '很方便，有车接送，而且态度好', '短评打分': 5}
{'短评内容': '找了半天，终于在网上这家酒店了，位置很好，方便！', '短评打分': 5}
{'短评内容': '从接送到上搂都感觉好', '短评打分': 5}
{'短评内容': '有车接送，房间设施，早餐尚可，服务也比较到位吧，挺好', '短评打分': 5}
{'短评内容': '房间挺干净，整洁，没带独立卫生间，而且一楼没浴室。不过在民航边上，就这个价格了。', '短评打分': 3}
{'短评内容': '离机场近，很方便。卫生也不错。电视小点，价格有些小贵。', '短评打分': 5}
{'短评内容': '已经住过很多次了  经济实惠  干净卫生', '短评打分': 5}
{'短评内容': '兰州民航招待所的环境还可以，因住人不多比较安静，卫生尚可，离机场较近。不足客房电视较老画面变形，服务人员一般，评价中下。李津襄', '短评打分': 3}
{'短评内容': '服务不错半夜两点还来接我们。', '短评打分': 3}
{'短评内容': '还不错~~去的当天在下雨，打电话去招待所，他们主动提供车来接我们~第二天也送我们去了机场~~', '短评打分': 5}
{'短评内容': '住的一楼~  干净，但是标间内没有卫生间~   比较适合转机入住  有车接送，离机场也就5分钟路程~', '短评打分': 5}
{'短评内容': '价格合理，比较干净距机场也很近，不错的选择。', '短评打分': 5}
{'短评内容': '价格很合理，只是我误会是标准间了，住进来才发现没有卫生间，不过走廊里的洗漱间和卫生间都非常干净，使用很方便，而且随时热水，这对我们这种赶早班飞机的人是再合适不过了。', '短评打分': 5}
{'短评内容': '房间很干净，服务很好，单间上网也很方便，还含早餐送机，很实惠', '短评打分': 3}
{'短评内容': '已经住过多次了  一直感觉都不错 经济实惠  以前就知道店方有车接  这次提前打个电话  果然不虚  ', '短评打分': 5}
{'短评内容': '酒店很干净，服务员态度也很不错！早上有早饭，还有车送到机场！很好！', '短评打分': 3}
{'短评内容': '房间还好，就是没椅子', '短评打分': 3}
{'短评内容': '挺干净的  服务态度也还不错   以后还会入住', '短评打分': 5}
{'短评内容': '住宿条件是不错，貌似挺正规的。不爽的是到店晚了点，居然说预定的普通间由于服务员的失误没有了，协调之下给了个标间，虽然把标准间的价钱降到了普通间和标间之间，还是感觉不爽。', '短评打分': 5}
{'短评内容': '客房干净整洁，能够无线上网，最给力的是提供接机、送机服务！前台MM也很nice！价格实惠，强烈推荐！', '短评打分': 5}
{'短评内容': '普通房，设施很简陋，暖气一般般，必须依赖空调。最郁闷的是床正对面一个大镜子，真怕睡醒了，坐起来自己把自己吓到。。。', '短评打分': 1}
{'短评内容': '酒店太吵，服务员在楼道大声说话。', '短评打分': 3}
{'短评内容': '招待所还不错，物美价廉，关键是离机场很近，方便，放心！', '短评打分': 3}
{'短评内容': '离机场很近，也干净，很实惠。', '短评打分': 3}
{'短评内容': '酒店还算干净,小贵了些', '短评打分': 3}
{'短评内容': '住的普间，干净整洁。酒店离候机大厅也就四分钟路程，赶早班机，酒店有车送，前台服务很好。', '短评打分': 3}
{'短评内容': '房间还行吧，干净卫生，只是上厕所不方便，要出门到公用的小卫生间，还好比较干净。机场候机厅对面，过马路，在一个宾馆和最左边一家餐馆处有个石梯子，上去顺着走一段路就看到右手边就是招待所了。', '短评打分': 5}
{'短评内容': '刚下飞机入住比较近比较方便 但是旁边还有一家更好的', '短评打分': 5}
{'短评内容': '中转的选择还是不错的---------------------------------------------------------------------------------------------------------------------', '短评打分': 5}
{'短评内容': '为了赶早班的飞机，选住了这里，离机场很近，不过网上登记的电话号码是错的，害我们问路问了好几次。', '短评打分': 5}
{'短评内容': '距离机场很近，夜间下飞机后有专车接送，服务态度很好', '短评打分': 5}
{'短评内容': '条件比想像的好，非常干净整洁，卫生间设施也很好，若感早班飞机，很值得一住', '短评打分': 3}
{'短评内容': 'Near Airport.Clean room.Friendly staff.Provide airport tranfer.', '短评打分': 5}
{'短评内容': '   挺干净的   下次还会选择   离机场很近   值得推荐', '短评打分': 3}
{'短评内容': '离机场超近!\n是那种房顶很高的老式建筑,室内很宽敞,没有空调也不热。卫生、服务都很好。\n有蚊子，请自带防蚊装置。\n这次是一个人住的普通间（公共卫生间），有点不便，建议住标间。\n早餐嘛，很像“体检中心”送的那种。', '短评打分': 5}
{'短评内容': '酒店里机场近，交通方便，房内很干净，房间大小还合适！', '短评打分': 5}
