{'短评内容': '房间的舒适性价比高，离广州窖口地铁站非常近，方便', '短评打分': 5}
{'短评内容': '房间很整洁，很喜欢，下次还来住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地板必须重新打好才行，黑点太多了看着难受', '短评打分': 4}
{'短评内容': '前台妹子美滋滋漂亮', '短评打分': 5}
{'短评内容': '酒店环境很好，出行方便，卫生干净', '短评打分': 5}
{'短评内容': '房间还是可以的，就是前台哪两个人好像是实习生让我等了半个小时', '短评打分': 2}
{'短评内容': '还可以？？？', '短评打分': 5}
{'短评内容': '还可以？？？', '短评打分': 5}
{'短评内容': '很好！干净卫生', '短评打分': 5}
{'短评内容': '还好！就是房间有点小！', '短评打分': 5}
{'短评内容': '环境 很好 晚上出来吃宵夜 真不错 绝对可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次出差都在这住！好', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '房间小了一点 其他还可以', '短评打分': 5}
{'短评内容': '给别人团的', '短评打分': 5}
{'短评内容': '什么酒店？电视是IP电视，看不到CCTV5等频道，网络超不稳定，一晚愣是办不成什么事。', '短评打分': 3}
