{'descr': '就那样', 'star': 3}
{'descr': '一般般吧', 'star': 2}
{'descr': '不错，有接机', 'star': 5}
{'descr': '位置不错，但设施一般，衣服挂还是坏的。房间隔音非常不好，旁边屋子说话都可以听到，价格跟比店里会员价贵，比普通价便宜几块钱，有会员的还是到店订合适。', 'star': 5}
{'descr': '服务员极差', 'star': 3}
{'descr': '酒店服务一般，开房的时候又是搞微信，又是让下载客户端，烦死了', 'star': 5}
{'descr': '还行 挺好吃', 'star': 5}
{'descr': '设备一般，离地铁很近的', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '干净整洁，老店也不怕装修味，不过房间不大。', 'star': 5}
{'descr': '干净整洁，老店也不怕装修味，不过房间不大。', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '挺干净的，交通方便', 'star': 5}
{'descr': '既方便又便捷', 'star': 5}
{'descr': '还行吧，位置不错，早饭一般', 'star': 5}
{'descr': '第二次住了……就像上次那样   交谈便利……购物也方便。离机场距离近…所以选择这家…在地铁站附近。是我住过的最近又方便的', 'star': 5}
{'descr': '总体不错 爷爷奶奶住的舒服就行', 'star': 5}
{'descr': '对汉庭只有赞！虽然来办理入住时被一外国人赤裸裸插队，但挺乐意的，看着老外和前台的沟通把我逗乐了，如果我早办理了，就享受不到这愉快的一幕。另外房间卫生挺好的，洗涑用品都挺全的，虽然淋浴冷水龙头坏了，但派人处理速度非常快。就是房间空间小了点，一个人住还不算挤。但这个价位真的是性价比很高了！值得推荐！', 'star': 5}
{'descr': '为了去浦东赶飞机，提前一天到的。房间还可以，唯一不足的是送机的车实在太挤了！', 'star': 5}
{'descr': '离地铁近 总体还行', 'star': 4}
{'descr': '周边环境都挺好的，不错的一次旅行', 'star': 5}
{'descr': '不錯的。', 'star': 5}
{'descr': '价格不高，前台服务态度很好，早上6点还有免费送机。', 'star': 5}
{'descr': '免费送机，很不错。就是房间很小。', 'star': 4}
{'descr': '需要注意去机场的大巴需要预定，我们提前一天在前台问大巴几点出发，在哪里等。却没人告诉需要预定大巴的位子。早上起来被告知需要预定，已经没位置了。只好自己坐地铁去机场了，很不爽。酒店离2号线很近，去浦东机场很方便', 'star': 5}
{'descr': ' 蛮干净的', 'star': 3}
{'descr': '酒店位置不错，地铁站出口出来1分钟就到酒店，早上去机场有送机服务（7点之后25元/房间），就是我们订的大床房超级迷你，很小很小，床1.6*2，床边也就半米宽，放个行李箱人走路就要跨着走，很不方便，厕所也很小卫生干净一般，水龙头都是松动的。在有，大床房是可以睡两人的，房间配套的免费设施，比如矿泉水，牙膏等都是按照一个人来准备的，另外再要一瓶水要加5块钱，有点不明白，搞不成这个房间只能住一个人吗。其它', 'star': 5}
{'descr': '房间靠近道路.靠窗床位略吵.早餐很不错.', 'star': 3}
{'descr': '很不错的酒店，我们是晚上9点多到的，司机一会就到机场接了，虽然经过小路的时候心里很忐忑。。但是还是很满意。\n房间很整洁干净。只是两个人住的话还是感觉小了点。\n早餐很不错', 'star': 5}
{'descr': ' 性价比合适,餐饮稍差。设施简陋,卫生间较小。', 'star': 3}
{'descr': '性价比不错，离机场不远，地铁2号线也就20多分钟能到，价格算公道了。', 'star': 5}
{'descr': '位置不错，离地铁站很近，交通方便，旁边就是川沙公园', 'star': 5}
{'descr': '都是帮别人定的 ，反馈说不错  好好和哈哈哈\n', 'star': 5}
{'descr': '地铁2号线到达，去机场也很方便，还有早上6点的免费班车送到机场，服务也很好，推荐！', 'star': 5}
{'descr': '替朋友订的，朋友说很好，交通便利，周边有很多商铺。朋友嘱咐要收藏，以后再住。', 'star': 5}
{'descr': '不知道是第几次入住了，交通方便，服务也好', 'star': 5}
{'descr': '这个地方不错，离地铁很近，几分钟就过去了，去浦东机场很方便。卫生，安静。', 'star': 5}
{'descr': ' 房间不错，门口车位少。。', 'star': 3}
{'descr': '还可以，酒店干净整洁，但早餐是7-9点才供应，赶早班飞机的就吃不到了，酒店提供送机服务蛮方便的。', 'star': 5}
{'descr': '交通便利，酒店不用钱接送机（金卡以上），地铁二号可到。前台服务员感冒非常严重还很热情的为客人服务，真的很感谢！', 'star': 5}
{'descr': '酒店还是很干净的,房间有点小,热水和服务都不错!', 'star': 3}
{'descr': ' - 价格合理,无免费早餐,而携程且含早餐。空调效果差。', 'star': 3}
{'descr': '服务不错哦。房间有点小，不过，蛮干净的，附近也有吃的，出了地铁基本就到了，还是很方便的！！还有到浦东机场的接送车，赞一个！', 'star': 3}
{'descr': '地铁2号线到达，去机场也很方便，还有免费班车，服务也很好，推荐！', 'star': 5}
{'descr': '酒店不错 门口还是有几个车位 空调制热效果很好 还会来住的', 'star': 5}
{'descr': '位置比较好，去浦东机场很方便；门口还能停车，就是房间隔音差了点，影响睡眠！', 'star': 5}
{'descr': '酒店不错', 'star': 3}
{'descr': '大床房房间有点小，旁边有好德超市很方便', 'star': 3}
{'descr': '不错，非常干净，交通便利，离地铁2号线很近，服务也好。', 'star': 3}
{'descr': '靠近地铁站，交通比较方便，其他没什么可推荐的                                             ', 'star': 5}
{'descr': '房间较小，比较干净，免费提供的洗发沐浴系列的样品很暖心。', 'star': 3}
{'descr': '地鉄方便好。服務敏速。推奨之機能的酒店。', 'star': 5}
{'descr': '＋交通方便，房间干净。特别感谢帮我5点叫车的美女前台，不然可能赶不上飞机了。', 'star': 3}
{'descr': '房间太小了，转身都困难，交通便利。本来开始是预定上海莲塘月色酒店的，但经过反复核对后发现该酒店在地图上标识的位置不是实际的位置，误差还很大，才又改成汉庭的，这已经是第二次发现地图标识酒店位置与实际不符了。', 'star': 5}
{'descr': '这家店不错，各方面都做的相当不错，免费送机只有6点钟一班的哦', 'star': 5}
{'descr': '离浦东机场和2号线川沙地铁站很近，周围走5分钟也有川沙商业区，吃饭购物都还较方便，普通大床房小了点，床都顶到墙头了。', 'star': 5}
{'descr': '房间一般，服务可以！--------------------', 'star': 5}
{'descr': '离地铁口很近，很方便，就是房间太小了，住起来有点小。另外手机信号好像不好，不知道为什么。', 'star': 5}
{'descr': '已经订好的大床房，到前台时说没有了。两个老外坚持了一会儿，就又有了。怀疑这家酒店诚信不好。', 'star': 1}
{'descr': '连锁店模式，性价比较高。在这个价位里住这总体感觉还算值得。', 'star': 5}
{'descr': '特价房间，价格还可以，就是房间太小，而且房间里的设施配备的不是很齐全；总体来说还可以吧；但是建议可以的话，你们还是预订虹桥那家，那家相当不错啊，相同的价钱，比这个好很多啊', 'star': 5}
{'descr': '非常好,房间大(家庭房),地点好(地铁站出口就见到),推荐.特别赞的是免费送机场,对于到浦东机场坐早班机非常有利.', 'star': 5}
{'descr': '环境不错，周围也有实惠的小饭店，到地铁站也很近！不过我发现我枕套是脏的！！！', 'star': 5}
{'descr': '不错 就是早上送机场服务有些不太规范 小巴很拥挤', 'star': 5}
{'descr': '交通那是一个方便啊，出了地铁左拐100米的样子就到酒店了。性价比不错', 'star': 5}
{'descr': '酒店交通位置很好，去浦东机场相当方便，但房间的宽带掉线的时间比在线还长，基本联不上。', 'star': 5}
{'descr': '价格实惠 干净', 'star': 3}
{'descr': '非常满意汉庭', 'star': 3}
{'descr': '性价比很高，很干净清爽，朋友住了很满意。就是有一点我不太喜欢，前台小姐一个劲的推销会员卡。已经表明不需要办理，还是不停的推销。', 'star': 5}
{'descr': 'ok', 'star': 3}
