{'短评内容': '有点老旧，服务没什么可说，位置也还不错，挺环保的一个酒店', '短评打分': 4}
{'短评内容': '房间还算大，隔音也还行，就是床不舒服，很硬，枕头太薄', '短评打分': 5}
{'短评内容': '父母出游，在景区附近，很方便，也还不错的。', '短评打分': 5}
{'短评内容': '感觉很方便，温馨。', '短评打分': 5}
{'短评内容': '酒店离黄鹤楼比较近，实惠', '短评打分': 5}
{'短评内容': '价格便宜，质量很好，性价比很高。', '短评打分': 1}
{'短评内容': '服务还可以', '短评打分': 5}
{'短评内容': '门面有点寒酸，里边还算干净，设施也齐全', '短评打分': 5}
{'短评内容': '已经入住，感觉很好，继续大力支持京东～', '短评打分': 5}
{'短评内容': '订单已经完成，继续大力支持京东快递！', '短评打分': 5}
{'短评内容': '房间很干净，很舒服', '短评打分': 5}
{'短评内容': '各条件都还不错，感觉都很干净。尤其是浴巾都是袋子包好密封的。', '短评打分': 5}
{'短评内容': '等待绝对绝对绝对绝对的经典的决定', '短评打分': 5}
{'短评内容': '我觉得挺好的啊，交通方便', '短评打分': 5}
{'短评内容': '性价比高，服务不错', '短评打分': 5}
{'短评内容': '心动不如行动', '短评打分': 5}
{'短评内容': '服务不错，经常来，总体是满意的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '从住的地方到户部巷，黄鹤楼都是步行的距离，在户部巷吃过后，', '短评打分': 5}
{'短评内容': '房间可以，主要是位置很好，就在黄鹤楼脚下，离户部巷也很近', '短评打分': 5}
{'短评内容': '房间可以，主要是位置很好，就在黄鹤楼脚下，离户部巷也很近', '短评打分': 5}
{'短评内容': '离黄鹤楼很近噢，步行几分钟就到啦', '短评打分': 3}
{'短评内容': '路边太吵了，位置不好找，别的还可以，恩，就酱', '短评打分': 3}
