{'短评内容': '一般的，也只能说对的起这个价位，交通很方便', '短评打分': 5}
{'短评内容': '酒店还行吧，设施旧了点，早餐品种不多但挺实惠的', '短评打分': 5}
{'短评内容': '这次很庆幸能预订到这家酒店，因为学校就位于潍坊医学院的门口，对于我来说很方便。考完试中间休息时间都能回酒店。再就是虽然有点旧但是挺干净的。', '短评打分': 5}
{'短评内容': '亲们，不用带手机了……直接没电……所有的东西都要钱！洗浴的地方关不上门', '短评打分': 3}
{'短评内容': '价格挺好，房间挺大，还给我一个水床，空调一般', '短评打分': 5}
{'短评内容': '价格挺好，房间挺大，还给我一个水床，不过空调一般', '短评打分': 5}
{'短评内容': '酒店不错，服务也不错，除了有中央空调外，还配置了空调，很方便^_^', '短评打分': 5}
{'短评内容': '服务好，给了个水床房很舒适，早餐好吃，推荐。。。。。。。', '短评打分': 5}
{'短评内容': '酒店不错，服务不错，下次去希望也能给个江景房呵呵', '短评打分': 5}
{'短评内容': '房间不错！干净卫生！就是浴巾太破了！服务态度也很好！装修有点老了！', '短评打分': 5}
{'短评内容': '免费升级的水床，这个季节睡又暖又舒服。性价比高，服务态度好，值得再来。', '短评打分': 5}
{'短评内容': '很好，被子和枕头都很喜欢超级舒服。送早餐性价比很合适。', '短评打分': 5}
{'短评内容': '环境还可以，不过订的118的标准间有点挤，有免费早餐，种类挺多', '短评打分': 5}
{'短评内容': '住着很好，服务态度也超好，这个价位来讲很不错了，下次还会来的。', '短评打分': 5}
{'短评内容': '酒店前台服务态度很好的，房间暖和干净，床挺舒服，唯一有一点不能理解的是，早餐七点到八点半，我们八点多下去吃的时候饭菜都凉了，餐厅人员居然说七点就开餐了当然凉了，晕。。。更过分的是，唯一放在热锅里的包子和馒头还不让我们拿，只让拿外面冷掉的小花卷，说锅里是给员工吃的，明明摆在早餐区域，怎么能这样呢\n看在前台服务员的份上还是选择推荐吧，只是餐厅的服务该加强了', '短评打分': 5}
{'短评内容': '很好的酒店，服务态度超好，房间住着也很舒服，免费升级的房间，很周到。下次还来。', '短评打分': 5}
{'短评内容': '房间陈旧，卫生间不干净，网速也很慢，交通也不是很便利。', '短评打分': 1}
{'短评内容': '经济实惠，安全。服务态度还比较好。适合旅游住宿', '短评打分': 5}
{'短评内容': '还不错，服务态度比较好。早餐下去的时候虽然没什么可吃的了，不过服务员态度倒不错，单独给热了包子炒了个菜。', '短评打分': 5}
{'短评内容': '环境不错，房间配套设施也还好，尤其是宽带速度很快', '短评打分': 5}
{'短评内容': '房间一般吧，不过值这个价格', '短评打分': 3}
{'短评内容': '感觉还不错。1、卫生好。2、楼下有餐厅，吃饭方便。3、总体上看室内设备还算可以，但部份电源开关有问题，插座也有问题。', '短评打分': 5}
{'短评内容': '一进大厅就一股霉味，到了房间电视死活打不开，床头控制灯很多是坏的，床左边还塌陷进去一大块，而且最让人郁闷的是大半夜的门一直响，像是有人在不停踹门什么的', '短评打分': 1}
{'短评内容': '服务态度还不错，单间条件也很好，环境也不错，性价比很高，就是隔音太一般了，支持一下', '短评打分': 3}
{'短评内容': '性价比不错的酒店 其他都很正常 非要我打超二十个字 ', '短评打分': 5}
{'短评内容': '性价比还好，便宜嘛~一开始定的房间马桶坏了，前台小姑娘给调了一个房间，标间的床比单间的硬一些，比较适合我。那里很安静。', '短评打分': 5}
