{'短评内容': '离海很近！门口就有海鲜大排挡！', '短评打分': 3}
{'短评内容': '值得一住。离海边很近，交通便利。就是比较老了，刚刚有性价比。', '短评打分': 5}
{'短评内容': '酒店离海边真的很近，真的挺好，服务也挺好，是个不错的地方\n                           \n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '   酒店的价格也不算低，大厅看上去很不错。房间里的设施很差，下次绝对不在这住了。', '短评打分': 1}
{'短评内容': '酒店离海边很近，过了马路就是第一海水浴场和海边的广场。\n附近吃饭选择多样。酒店离火车站 烟台山公园和东炮台公园、以及购物广场打车都是起步价，坐公交车也很方便。\n但是现在酒店旁边正在施工，出入不太方便，酒店设施也比较老旧。但是相对于这个价格，也算是瑕不掩瑜了。 \n特别喜欢酒店餐厅的一个长发妹妹，很爱笑，服务很热心 细致 周到，给我们的烟台之行带来了好心情！', '短评打分': 5}
{'短评内容': '卫生挺好，每天都及时打扫，这点挺不错。', '短评打分': 5}
{'短评内容': '房间还是蛮大的，设施还好，卫生打扫的不错，总体感觉挺舒适。', '短评打分': 3}
{'短评内容': '酒店靠近海边，环境挺安静，睡眠质量挺高。', '短评打分': 5}
{'短评内容': '离海边倒是挺近的，但周边交通一般，内部环境挺干净卫生。住的还算舒适。', '短评打分': 3}
{'短评内容': '酒店设施不错，但服务欠缺。服务人员语气不好。\r\n', '短评打分': 1}
{'短评内容': '订的是标间A住的是标间B', '短评打分': 5}
{'短评内容': '酒店很差里面很不干净，房间很简陋浴室也不干净，位置的也不好，价格比连锁酒店还要贵。', '短评打分': 1}
{'短评内容': '价格合理适中，配置比较全，舒适度一般还达标。', '短评打分': 5}
{'短评内容': '位置比较靠近海边，周围环境不错，交通有些偏。', '短评打分': 5}
{'短评内容': '酒店环境一般，位置也不是很方便找，但是周围环境还不错靠近海边，价格还算是合理。', '短评打分': 5}
