{'短评内容': '房间隔烟效果很差，隔壁在抽烟，自己房间里烟味会非常重，半夜隔壁有人抽烟，熏得我这屋全是很重的味道，睡都睡不着，熏得嗓子疼', '短评打分': 4}
{'短评内容': '房间隔烟效果很差，隔壁在抽烟，自己房间里烟味会很重，', '短评打分': 4}
{'短评内容': '房间隔烟效果太差了，房间里烟味太重，隔壁半夜抽烟，熏得一早上没睡好还嗓子疼', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '卫生就不多说了，开了一天窗回来还一股霉味，早餐也甚至不如汉庭的早餐，另外昨天就坏了的淋浴，昨天说让修理不然给换房间，今晚回来淋浴头动都没动，而且已房满为由坚持不换房间，澡都没得洗，前台根本就是敷衍，设备设施还需要说么，室内灯光也极差，房屋面积全体现在走廊上了，总之，极差，真不知道凭什么值这个价钱，旁边的亚细亚便宜100感觉各方面都比这好，这是我住了这么多各档次的酒店最差的一次体验', '短评打分': 1}
{'短评内容': '出行方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错环境可以，就是吃得口味不合适', '短评打分': 5}
{'短评内容': '酒店靠近白云会议中心 方便 快捷', '短评打分': 5}
{'短评内容': '酒店靠近白云会议中心 方便快捷', '短评打分': 5}
{'短评内容': '房间还可以，周边吃的比较多', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '还行，就难找了点', '短评打分': 4}
{'短评内容': '可以可以，还有早餐，位置不错就在家旁边', '短评打分': 5}
{'短评内容': '交通方便，房间大，舒适。早餐丰富，还有很多空姐陪着用餐，享受！', '短评打分': 5}
{'短评内容': '这家酒店的地理位置还算可以的，离万达广场步行15分钟，到地铁一号线需要20分钟，酒店属于中高档的酒店，里面配套设施完善，就是酒店有点老了！', '短评打分': 4}
{'短评内容': '史上选择最失败的一家酒店，没有之一。后悔，地毯全是烟坑，还没打扫干净，入住前在大堂等了半小时！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '很安静，早餐不错！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
