{'短评内容': '设施有点旧了，一般酒店', '短评打分': 4}
{'短评内容': '还是有点旧了', '短评打分': 4}
{'短评内容': '停车场很大，酒店很好，很安静', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好很方便！也很干净', '短评打分': 5}
{'短评内容': '挺好的环境不错，房间敞亮', '短评打分': 5}
{'短评内容': '位置好，距离皮革城一步之遥，设备陈旧，毕竟价格低，性价比可以，不过人不可思议的是中央空调供暖还有时间规定，白天不供暖，莫名其妙。', '短评打分': 3}
{'短评内容': '酒店离皮革城一路之隔，方便购物！早餐一般。但酒店房间设施老化卫生很差，入住的当天我看到马桶上的便圈，还有便便没有擦干净，马桶盖很脏。很恶心！第二天服务员打扫卫生也没把马桶擦干净！真心的希望酒店能提高卫生环境！', '短评打分': 2}
{'短评内容': '就是房间没无线网', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店就在皮革城对面，逛市场方便，环境不错，设施比较卫生', '短评打分': 4}
{'短评内容': '不错 理市场很近', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店服务不行。', '短评打分': 3}
{'短评内容': '恍恍惚惚和红红火火', '短评打分': 5}
{'短评内容': '出差时，一直住的。', '短评打分': 5}
{'短评内容': '上皮革城购物方便，走到隔壁小区内有很多餐馆', '短评打分': 5}
{'短评内容': '很干净的一家酒店，就是皮革城的正对面，非常的方便，早餐也很好！265的价格稍微有点贵。前台在搞活动，169没有早餐，199就有早餐，这样的价位只是每天限前5位。感觉网上订也不是很给力。电话打过去一直是无人接听。', '短评打分': 5}
{'短评内容': '早餐 不错，床也不错，在皮革城对面，位置不错，空气清晰', '短评打分': 5}
{'短评内容': '豪庭丽晶酒店正对海宁中国皮革城购物非常方便，酒店房间大，干净卫生。安静。', '短评打分': 3}
{'短评内容': '房间能达到三星，设施也比较不错，就是前台有个女服务员态度不太好。', '短评打分': 5}
{'短评内容': '酒店有蟑螂，房门门禁损坏，前台接待会变脸。', '短评打分': 1}
{'短评内容': '酒店还行，就是蚊子多点！早餐也不错，关键是离皮革城近！', '短评打分': 5}
{'短评内容': '管理水平和服务一般，借个雨伞非要50块押金，', '短评打分': 1}
{'短评内容': '还不错  整体比较新 但是墙纸有点破损了……', '短评打分': 5}
{'短评内容': '不错，物有所值', '短评打分': 3}
{'短评内容': '不错，离皮革城近，就在对面。环境也不错，很安静.早餐也还可以', '短评打分': 5}
{'短评内容': '挺好。离中国皮革城很近，步行3分钟，过来马路就是', '短评打分': 5}
{'短评内容': '房间还行', '短评打分': 3}
{'短评内容': '设施很棒，服务很差，早餐吃到一半再去取没有了，服务生讲用早餐时间过了。外线电话打进来没有工作人员转接，直急死人', '短评打分': 3}
{'短评内容': '酒店比较新，位置非常好，就在海宁皮革城的正对面！下次还会入驻，也会介绍朋友来住！', '短评打分': 5}
{'短评内容': '位置非常好，离中国皮革城很近，购物非常方便。客房非常干净舒适。只是周边没有进餐吃饭的地方。酒店自家的餐厅菜品比较少。', '短评打分': 5}
{'短评内容': '因为是4号晚上到的，在下雨，酒店整体环境很不错，很清新的感觉，但是前台服务员态度太差，还把我们的房号写错，害我们找了半天没找到，后来去问，才发现3110，写成310，也没有一点道歉的态度，房间还算干净，但是蚊子超多，酒店整体都还不错，除了服务态度，太差，这点一定要加强', '短评打分': 5}
{'短评内容': '在皮革城正对面，买衣服很方便。酒店设施一般。', '短评打分': 5}
{'短评内容': '早点如何还不知道，有待明天考证。房间不错，比较大而且干净。唯一不太满意的是我订的是商务大床房居然只有配淋浴没有配浴缸，不能泡澡略为有点不爽。', '短评打分': 5}
{'短评内容': '酒店环境很好，设施很新，卫生超干净，只是服务员素质太差，餐厅菜的口味一般，本人要求不高，出门在外吃饱就得呀。最棒的是离皮草城超近，出门过马路即是，来此购物的朋友可做为参考。', '短评打分': 5}
{'短评内容': '位置方便，酒店服务一般喽！设施还可以，比起原来要旧一些！', '短评打分': 5}
{'短评内容': '酒店位置不错，在皮革城对面，不过周围饭店较少，最好在酒店餐厅用餐，打车不方便，外出可以坐公交车。', '短评打分': 3}
{'短评内容': '距离皮革城很近，但打车不方便，周围没有太多吃饭的地方', '短评打分': 5}
{'短评内容': '酒店周围环境不错', '短评打分': 5}
{'短评内容': '觉得不错,旁边有一酒店的饭菜还行.下次还会去', '短评打分': 5}
{'短评内容': '非常满意，谢谢！', '短评打分': 5}
{'短评内容': '已入住3103:3107二间', '短评打分': 5}
{'短评内容': '离皮革城太近了 就在对面 很好 下次去还是会选择这个酒店的。性价比高。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务不好。晚上被蚊子咬死', '短评打分': 5}
{'短评内容': '整体来说很不错的酒店，房间干净，设施完善，性价比蛮好的。', '短评打分': 5}
{'短评内容': '不错的酒店 唉 但是那前台的服务员脸色真差 每个都是一样 而且在他们餐饮部吃的晚饭 竟然上来是坏的 ', '短评打分': 5}
{'短评内容': '如果去皮具城真的很方便，性价比不错。去长途客运站也方便，大致起步价9元左右。如赶时间需要提前叫车，不然出租车需要等。', '短评打分': 5}
{'短评内容': '靠海宁皮革城非常近，只隔了条马路，而且很干净，就是觉得隔音好像不太好.', '短评打分': 5}
{'短评内容': '  我打算去海宁中国皮革城，由于是第一次去想在网上搜索一家离皮革城近的酒店，无意当中在看到了这家酒店的信息，信息介绍这家酒店是四星的，就选择了这家酒店入住，感觉大致还可以，还比较舒服，但达不到四星标准。', '短评打分': 5}
{'短评内容': '相对200多元的价格，各项设施还是蛮不错，推荐下', '短评打分': 5}
{'短评内容': '全新的酒店 和海宁皮革城隔路相望 性价比很不错', '短评打分': 5}
{'短评内容': '酒店的卫生和设施条件都不错.位置也很好很方便出行.酒店总体感觉服务非常好,服务人员也都很和蔼.虽然是3星标准的酒店不过总体感觉很舒适.', '短评打分': 3}
{'短评内容': '卫生服务方面还是不错的,呆着很舒适,位置也不错,出行都很方便,很符合酒店的价位,但就是早餐有些单调.', '短评打分': 3}
{'短评内容': '第一次住在那里，感觉挺好的，特别干净！', '短评打分': 3}
{'短评内容': '客房部给人整体的感觉很舒服，很温馨，总的来说，挺好的', '短评打分': 5}
