{'短评内容': '客房床很大，很舒服，还有早餐卷吃早餐，产品很多好吃，', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以，就是周边吃饭不方便', '短评打分': 4}
{'短评内容': '房间老旧 交通一般', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '都还不错  比较满意临近主干道  车流量大房间卫生有待提高', '短评打分': 4}
{'短评内容': '酒店老旧些  价位便宜  ', '短评打分': 2}
{'短评内容': '旧，冲凉房还泡水了。', '短评打分': 1}
{'短评内容': '相对海口其他酒店性价比比较高', '短评打分': 4}
{'短评内容': '很好，下次再来！', '短评打分': 4}
{'短评内容': '酒店地里位置较好，出入很方便，附近就有公交车。出门也能及时打到车。房间设施良好，卫生情况OK，员工服务意识良好。', '短评打分': 4}
{'短评内容': '酒店地里位置较好，出入很方便，附近就有公交车。出门也能及时打到车。房间设施良好，卫生情况OK，员工服务意识良好。', '短评打分': 4}
{'短评内容': '酒店地里位置较好，出入很方便，附近就有公交车。出门也能及时打到车。房间设施良好，卫生情况OK，员工服务意识良好。', '短评打分': 4}
{'短评内容': '酒店位置不错，很喜欢海景房的落地窗，站在窗户那就能看到海，还有这里的川味鱼煲很不错哦！本人十分喜欢，服务态度很贴心，五颗心^~^', '短评打分': 3}
{'短评内容': '酒店客房一般，就是洗澡时发现酒店提供的洗发水和沐浴露有一股奇怪的发馊味道，搞得我女友一直在埋怨我', '短评打分': 1}
{'短评内容': ' 到海口都住这里。离我办事的地方近，挺好的', '短评打分': 5}
{'短评内容': '还不错。。离海很近。我已经是第二次入住了。', '短评打分': 5}
{'短评内容': ' 住得很舒服,以后出差到海口還會光顧的', '短评打分': 3}
{'短评内容': '房间布局不错，有阳台，晚饭后可以在阳台抽着烟吹着海风。', '短评打分': 5}
{'短评内容': '酒店卫生只能说过得去，房间宽大，商务上网太慢，需自带电脑，服务员热情，酒店停车位充足', '短评打分': 3}
{'短评内容': '设施一般，卫生糟糕。特别是卫生间的下水比较堵。前台实习生的态度也不好。没什么好印象', '短评打分': 1}
{'短评内容': '房间还是挺大的', '短评打分': 3}
