{'短评内容': '房间太旧，服务一般，早餐尚可', '短评打分': 4}
{'短评内容': '早餐还行，房间设施一般，比较旧', '短评打分': 4}
{'短评内容': '环境各方面都还好   下次回来还住这', '短评打分': 5}
{'短评内容': '酒店设施比较久，空调热风也出不来。', '短评打分': 4}
{'短评内容': '总体不错！早餐丰富，推荐', '短评打分': 5}
{'短评内容': '早餐挺好的，交通也方便。', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '酒店环境不错，很干净，晚上睡觉也蛮安静的，每次到十堰都会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间灯光有点暗，打牌有点看不清楚', '短评打分': 5}
{'短评内容': '环境不错，挺安静', '短评打分': 5}
{'短评内容': '房间干净，各种设施也齐全，价格也不贵', '短评打分': 3}
{'短评内容': '性价比较高，位置很好，设施一般，服务较好，卫生较好，早餐不错，值得推荐。', '短评打分': 3}
{'短评内容': '以前住过多次，现在设施太陈旧了，早餐挺好的', '短评打分': 3}
{'短评内容': '很不错，早餐还可以，房间也比较大', '短评打分': 3}
{'短评内容': '基本可以！早餐很差！', '短评打分': 3}
