{'短评内容': '....................', '短评打分': 5}
{'短评内容': '..................', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '房间卫生不错，早餐很丰富。', '短评打分': 5}
{'短评内容': '交通便利，樓下就有超市。', '短评打分': 4}
{'短评内容': '周边环境好，出行方便。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '周边很方便，距离地铁站步行约15分钟左右，房间较小，有窗可通风，但看不到外边！', '短评打分': 5}
{'短评内容': '感觉还不错的一家店，就是隔音有点差了些，这个价位已经很可以了！如果以后再来还会选择这家店，离口岸近很方便！', '短评打分': 5}
{'短评内容': '出门在外，还是喜欢选择7天酒店。就是感觉这家的设施好点。服务态度好点', '短评打分': 5}
{'短评内容': '住着很安静，离海边很近。房间卫生很好。', '短评打分': 5}
{'短评内容': '6667777', '短评打分': 5}
{'短评内容': '环境不错，靠近海上世界，交通方便。', '短评打分': 5}
{'短评内容': '环境挺好的，便利', '短评打分': 5}
{'短评内容': '不错一直喜欢没毛病', '短评打分': 5}
{'短评内容': '浪费了多少积分，自从知道评论之后京豆可以抵现金了，才知道评论的重要性，京豆的价值，后来我就把这段话复制了，走到哪里，复制到哪里，既能赚京东，还非常省事，特别是不用凑字评论了，又健康快乐又能么么哒，哈哈哈', '短评打分': 5}
{'短评内容': '还行吧，第一次住。哈哈哈周围吃喝玩乐比较方便', '短评打分': 5}
{'短评内容': '感觉服务很好', '短评打分': 5}
{'短评内容': '还可以，就是太小，交通路地铁近', '短评打分': 5}
{'短评内容': '位置还不错&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 4}
{'短评内容': '价格不稳定价格不稳定价格不稳定价格不稳定价格不稳定', '短评打分': 5}
{'短评内容': '超级好  ', '短评打分': 5}
{'短评内容': '还好还好还是你的意见是不是要去哪里的这样子话就是不是是辽宁的时代替所有人员工餐嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿', '短评打分': 3}
{'短评内容': '酒店环境挺好，服务也挺好！', '短评打分': 5}
{'短评内容': '深圳酒店就是贵啊，住了9天小2000就没了，酒店周末加价，不合理，又不是客房紧张', '短评打分': 5}
{'短评内容': '吃晚方便，周边夜市很丰富，对于夜猫合适', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '酒店地理位置很好，在深圳湾下车坐737到蛇口戏院下车走一小段路就到。酒店对面是公园南路站，坐332能直达蛇口客运码头。价格也不贵，房间虽然小乐点但是很干净。', '短评打分': 5}
{'短评内容': '旁边有超市，购物、吃都很方便，出差住，将就一下，还得继续住。', '短评打分': 5}
