{'短评内容': '位置还行，就是早上旁边饭店抽风机巨吵', '短评打分': 4}
{'短评内容': '经常住感觉不错交通也便利', '短评打分': 5}
{'短评内容': '早餐有些简单', '短评打分': 5}
{'短评内容': '很好很强大的酒店', '短评打分': 5}
{'短评内容': '服务不错，早餐也还行，毕竟这个价位还能要求多少。距离柳工近，去五菱就当健身走', '短评打分': 5}
{'短评内容': '两米的床，够大，与图片介绍相符，满分；空调响声大，关掉还是唰唰响，半夜2点钟都睡不着，难受死了，0分；早早又醒来，原来是厨房的串味了，不知道是从哪来的，八楼啊&amp;hellip;&amp;hellip;0分。还有的&amp;hellip;&amp;hellip;也是醉了，很不满意的一次住宿', '短评打分': 2}
{'短评内容': '地理位置还算方便，环境还行&hellip;&hellip;', '短评打分': 4}
{'短评内容': '凑合吧', '短评打分': 3}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '周边环境不错，房间里的卫生也还可以，服务也挺好的。', '短评打分': 5}
{'短评内容': '以前点评过了', '短评打分': 5}
{'短评内容': '以前点评过了', '短评打分': 5}
{'短评内容': '上一单写过了', '短评打分': 5}
{'短评内容': '不错、下次来还住这里', '短评打分': 5}
{'短评内容': '很嗨', '短评打分': 5}
{'短评内容': '经常去那边入住，总体来说很不错。经常接待团体，电梯只有一个好像。早饭一般，环境还是不错的。入住感觉可以的。', '短评打分': 5}
{'短评内容': '出差方便，酒店有点老了，早餐多年不变', '短评打分': 3}
{'短评内容': '最好用自己的浴巾毛巾，不太干净', '短评打分': 3}
