{'短评内容': '设施老旧需要改善', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '第二次入住，很舒心！很满意！', '短评打分': 4}
{'短评内容': '酒店视野开阔，可直接看到海景，房间设施老旧，卫生间管道没S弯，臭味比较大，希望老板能有所改进。', '短评打分': 4}
{'短评内容': '坐的是早上第一趟到岛上的船，然后放了行李就去玩了。我们就是想到火山口那一带看看，然后是老板告知我们路线的，很热情的一个老板。回来的时候是傍晚了，然后就在客栈门口看到日落了，那真是是太美了。很幸运订了这的房间，不然就错过那么美的日落了。', '短评打分': 5}
{'短评内容': '客栈挺好的，环境很不错，地方也挺大的了，到海边也很近，五分好评推荐。', '短评打分': 5}
{'短评内容': '其实这算是渔家乐的客栈吧，吃住都很方便的了。房间可以住宿，吃饭店里可以帮做的。我们大伙几个当天的晚饭就是让店里帮做的，还蛮好吃的，大家都吃得很饱。', '短评打分': 5}
{'短评内容': '老板免费在码头接送我们，而且做饭超级好吃！免费给我们升级到三楼海景房，??随便吃，不黑游客，很不错，对于客栈的干净卫生已经达到，客栈不提供毛巾，我们自己没带，说压缩毛巾五块一条，但送到房间后老板又说免费送，很朴实的一家', '短评打分': 4}
{'短评内容': '我们是三个家庭，10人入住，这是海岛上的家庭旅馆，环境不错，我们住在四楼，在阳台上可看到大海。', '短评打分': 5}
{'短评内容': '亮点很多，老板话虽不多，却是个做事很讲究的人，把整个客栈管理得井井有条，很会替客人着想。楼前是一片绿色的香蕉树，再往前就是一片漂亮的海，每层都有观景平台和晾晒衣服的地方，很方便。有早点供应，可以加工海鲜和蔬菜，费用不高，味道不亚于专业的饭店。来去都有专车接送，很是方便。院子里的香蕉还送给客人吃，真的让人感到很有人情味。客栈不停水，岛上晚上停电的话有发电机会供电。水电方面在客栈里算好的。很推荐这家客', '短评打分': 5}
{'短评内容': '位置很好就在海边，背后有小商店，饭馆，卫生差，3天没人打扫，空调漏水到床边，服务一般，就是帮买船票，包接送，几天下来没人理我们，没人问吃不吃饭，玩了回来没饭吃，只能跑别家吃，楼下的老头态度极为不好，设施旧是正常的，贵也是正常的，反正去了就感觉，热脸贴冷屁股上，还没背后的后海时光热情，晚了去吃饭，别人多热情，去了回来发现整个滴水丹屏位置最好的是芭芭贝儿', '短评打分': 2}
{'短评内容': '位置很好，老板做的海鲜好吃。', '短评打分': 5}
{'短评内容': '离海边近，环境不错，可以加工海鲜', '短评打分': 3}
{'短评内容': '是个比较干净、舒服的农家乐，穿过蕉林步行几分钟就可到达海边，很方便。店家小苏和苏伯热情接待，免费品尝香蕉和菠萝蜜。由于台风关系，还免费给我们顺延房间到开船时间，在此非常感谢。厨师的手艺也不错，收费也合理。只可惜离码头和市场有点远，雇车单程也要二、三十元。还有就是恰逢暑假旺季，岛上会错峰停电，这最让人受不了。', '短评打分': 5}
{'短评内容': '老板非常热情，但是据说因为是旅游旺季，岛上会按时拉闸限电，所以晚上停了一阵子电，平常也是经常断电，就是一下子断电的那样。', '短评打分': 5}
{'短评内容': '老板一家很热情，离海很近，饭也好吃，最喜欢那超大的露台，适合发呆。', '短评打分': 5}
{'短评内容': '环境挺好的，海景房超漂亮，后悔没订了。老板人很好~还送香蕉给我们吃~>O<', '短评打分': 3}
{'短评内容': '非常不错，位置好，老板热情。硬件还算过得去。岛上都是农家乐', '短评打分': 5}
{'短评内容': '海景超漂亮，露台上吹风打麻将很舒服，穿过一片香蕉林就是海边，小苏耿直，苏伯也很好，加工海鲜味道不错，代买的海鲜便宜实惠，还送了大串香蕉。苏伯联系的吴师傅包车接送也不错，因为我的原因发生了点误会，后来弄明白了，非常对不起他！下次给朋友推荐哈。', '短评打分': 5}
{'短评内容': '还不错 店家很热心 海鲜做的很好吃，以后有机会再去的话，还会考虑的', '短评打分': 5}
{'短评内容': '叔伯一家子人很好 很热情，香蕉也送了不少给我们吃了，住在海边真的太舒服了，离开的时候都有点舍不得呀', '短评打分': 5}
{'短评内容': '很好的老板   房间也还好 店家做的海鲜很好吃 ', '短评打分': 5}
{'短评内容': '面朝大海  春暖花开   如果你想住这样的酒店 选择这里很不错', '短评打分': 5}
{'短评内容': '老苏一家人很热情,房间干净,价格也公道.客栈的地理位置很好,离滴水丹屏与石螺口景区只有5-10分钟的路程.这两处都是看夕阳的好地方.从屋外的的平台上可直接看到滴水丹屏的海滩与大海.强烈推荐给大家.', '短评打分': 5}
{'短评内容': '老板很好、位置也不错、靠近海边。总之玩得很开心!', '短评打分': 3}
{'短评内容': '选择这家旅馆是因为它真的离海边很近，就100米远，这家旅馆的老叔很热情~~吃饭可以在他家一起吃~~很实惠很便宜又好吃~~吃饭的那个大阳台可以观看到海景还有日落~~真的是一家不错的旅馆~~很推荐去~~', '短评打分': 5}
{'短评内容': '酒店不错，很卫生，非常喜欢，而且看到海景，前面没建筑物遮挡，美景尽收眼底。房主一家人都很和谐，很热心，非常感谢苏先生。', '短评打分': 3}
{'短评内容': '贴近海边的海景小楼，客房干净清爽，苏师傅非常热情好客。苏月渔枫苑加油！', '短评打分': 5}
{'短评内容': '不错，离海边很近，景色也很好，小苏腼腆老苏健谈，吃什么去哪里玩都可以咨询老苏的。很和蔼的一家人！', '短评打分': 3}
