{'短评内容': '周边环境好，服务好，推荐', '短评打分': 4}
{'短评内容': '还算可以吧', '短评打分': 5}
{'短评内容': '进屋看见一地烟灰，这个心情瞬间低落了', '短评打分': 3}
{'短评内容': '酒店设施老旧，服务服务人员态度差，前台人员工作效率慢，简直像蜗牛一样！', '短评打分': 4}
{'短评内容': '酒店的硬软件都挺不错。附近找不到此类性价比高的酒店了', '短评打分': 5}
{'短评内容': '一般，酒店设施有些老旧！希望在这些方面可以改善改善，其他方面就是服务态度一般，这方面也需要加强，早上休息是尽然有服务员，不敲门就开门，吓我一跳！', '短评打分': 4}
{'短评内容': '酒店环境挺好，离河南科技大学很近，前台一个女服务员一直不笑，给人很不舒服的感觉，面带笑容多好呀。', '短评打分': 5}
{'短评内容': '酒店地毯有点老旧，其它都很好', '短评打分': 5}
{'短评内容': '酒店干净整洁，周围环境静闲，距离小吃街很近，非常喜欢', '短评打分': 5}
{'短评内容': '酒店设施不错，服务态度诚恳，有要求尽量满足，值得一赞。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '还行，总体来说还算满意的', '短评打分': 5}
