{'短评内容': '环境优美不错', '短评打分': 5}
{'短评内容': '不错环境也好', '短评打分': 5}
{'短评内容': '服务很不错，订单也很快就完成了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐还可以吧，当然不能和五星比咯，有停车场，好停车，离购物中心不远，就是温泉停了，听说是去年干旱，总之还不错啦，我们去时大床房没有了，还免费给我们升级了套房，服务态度很好，遇到问题很耐心解释，晚上还有送热奶服务，总之满意，下回来还会选这儿，不错', '短评打分': 5}
{'短评内容': '除了卫生间简陋一点，其他的都很不错！酒店房间宽敞！还赠送小吃！还有水果！很赞！下次还会选择这里！早餐也还可以！', '短评打分': 5}
{'短评内容': '多次入住，酒店还算可以，设施有点老', '短评打分': 4}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '非常好，舒适温馨！', '短评打分': 5}
{'短评内容': '环境好，床舒服，早餐好！', '短评打分': 5}
{'短评内容': '非常好的酒店，舒适温馨', '短评打分': 5}
{'短评内容': '环境好服务好，价格合理', '短评打分': 5}
{'短评内容': '酒店每天晚上有牛奶和糖水真的很棒，还可以免费帮助烫衣服，真的很好，性价比很高！', '短评打分': 5}
{'短评内容': '酒店环境不错，房间大小合适，干净整洁，服务态度也很到位！', '短评打分': 4}
{'短评内容': '一般一般', '短评打分': 3}
{'短评内容': '环境不错，停车方便，值得一试', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还可以，有点偏贵', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '该酒店服务很不错。送餐的服务员很客气，饭菜味道也不错。今天入住还邀约了同事一起。', '短评打分': 5}
{'短评内容': '位置和房间都还行，但总觉得房间空调不太好，晚上觉得比较冷。早餐很一般，与四星级不符。比较一般的酒店，性价比不好。', '短评打分': 5}
{'短评内容': '酒店还可以， 房间属于一般，不好不坏，价格如果在便宜一点就好了。', '短评打分': 5}
{'短评内容': '该酒店设施较陈旧，服务还不错，居住温馨。每个床位还赠送一个小香囊。', '短评打分': 3}
{'短评内容': '不错啊，交通很方便，房间很干净。~~下次还要预定拉', '短评打分': 5}
{'短评内容': '酒店不错，怎么住酒店不送温泉的票呢，门口不好打车！', '短评打分': 5}
{'短评内容': '一般般，这回遇到旅交会，别的酒店没房了，只好订这里。', '短评打分': 5}
{'短评内容': '好些城市都有荷 泰酒店，习惯选择荷泰了，住得比较舒服。', '短评打分': 5}
{'短评内容': '酒店服务很差，而且旁边是个夜总会，很吵。感觉不是很正规的那种酒店。主要还是接待旅游团为主，个人去的话感觉不好。而且出租车还不能开进去，哎！！！！！！', '短评打分': 1}
{'短评内容': '第一次住这里，大堂很大，房间里硬件也还可以。', '短评打分': 5}
{'短评内容': '该酒店地点在闹市区，干啥都很方便，旁边就有正宗米线和汽锅鸡，房间设施不错，床舒适;价钱还是不低，如果能更优惠一些就更好了。', '短评打分': 5}
{'短评内容': '环境不错，硬件条件也不错，服务也好！挺值的。', '短评打分': 3}
{'短评内容': '酒店较气派，服务还可以，房间也比较舒适，价格适中。', '短评打分': 5}
{'短评内容': '酒店还可以，早餐一般，周边没什么吃的，没米线.\r\n', '短评打分': 3}
{'短评内容': '这回房间比较差，5楼和什么统计局的办公室在一起，加上隔音不好，超不爽', '短评打分': 1}
{'短评内容': 'good   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '已入住。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '已入住。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住宿条件还可以。饭菜有点辣！', '短评打分': 3}
{'短评内容': '位置还不错，没有那么喧嚣~也很干净，是很新的酒店', '短评打分': 5}
{'短评内容': '很干净，大堂也很漂亮的酒店~在昆明算是比较好的酒店了~其他酒店太老啦！', '短评打分': 5}
{'短评内容': '位置不是中心，但是也很方便的，没有那么吵闹！算是昆明比较新的酒店的，不错', '短评打分': 5}
{'短评内容': '蛮好。', '短评打分': 3}
{'短评内容': '不错，昆明来说还是可以的了。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境和卫生都很好,值得推荐', '短评打分': 5}
