{'短评内容': '一般，还行', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '整体还不错，停车方便，旁边比较静。。。。。', '短评打分': 5}
{'短评内容': '房间面积挺大，就是设备设施有些陈旧，服务也好。', '短评打分': 5}
{'短评内容': '挺不赖的，价格不贵，还带早饭，饭也不错，环境也还行，就是在小路上，单行线，坐车不太方便，其他都好！', '短评打分': 5}
{'短评内容': ' 房间不错 挺大的空间 床铺感觉很舒适 就是东西有点陈旧', '短评打分': 3}
{'短评内容': '服务员的态度相当不好！摔东西还骂街！', '短评打分': 3}
{'短评内容': '设施简单了点，不过住的还算舒服，卫生过得去。第二天住房间停水了…算是服务不全的地方', '短评打分': 5}
{'短评内容': '特价定的，还有反券，非常划算！就是房间略微有点吵！', '短评打分': 5}
{'短评内容': '性价比很高，值得tuijian!', '短评打分': 3}
{'短评内容': '我已经推荐过三四个人入住悦来了，怎么说呢！反正出来住悦来就想回家了一样，不错，我已经是第三次入住了，不知道，会不会有礼品啊！！！呵呵呵', '短评打分': 5}
{'短评内容': ' 酒店位置较偏，服务不好', '短评打分': 3}
{'短评内容': '预订的是特价房，入住时免费升级。很不错，房间面积比较大，性价比很高', '短评打分': 5}
{'短评内容': '房间很大，卫生很达标，服务态度很好，综合性价比高，下次还来这住。真好～', '短评打分': 3}
{'短评内容': '一朋友喝多了，酒店还送了一个果盘。服务不错！', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '凑合,条件一般,门口单行,打车不是很方便,周围吃饭买水果什么挺方便', '短评打分': 5}
{'短评内容': '挺好的，还可以，位置不错，环境还行，一般可上', '短评打分': 5}
{'短评内容': '设施略旧，性价比不错，不过打车要走一段路', '短评打分': 1}
{'短评内容': '经济实惠.态度不错.经济实惠.态度不错.', '短评打分': 5}
{'短评内容': '早餐很丰盛', '短评打分': 3}
{'短评内容': '酒店干净，餐厅整洁温馨，性价比高。', '短评打分': 3}
{'短评内容': '条件一般\u3000价格实惠 还可以了了了了了了了', '短评打分': 1}
{'短评内容': ' 此酒店经济实惠，设施干净整洁，地处市区交通便利，不错！', '短评打分': 3}
{'短评内容': '总体感觉还不错，电视机状态不好，不知是有线的问题还是其他原因。希望下次再住时会有所改善吧！', '短评打分': 5}
{'短评内容': '环境不错，隔音效果不怎么好，早餐很丰盛，价钱公道，就是地方有点偏僻', '短评打分': 5}
{'短评内容': '整洁干净。\n设施比较全，但是不是每个房里都有吹风机。不过有需要打电话前台会送来的。\n不足的就是，有点偏僻，不太好找。\n总之还行吧，呵呵。', '短评打分': 5}
{'短评内容': '价格实惠  可以选择  早餐还可以 就是较偏僻去火车站有点远。', '短评打分': 5}
{'短评内容': '偏僻，水温不稳定，拖鞋是烂的，其他还不错', '短评打分': 5}
{'短评内容': '非常实惠，就是卫生有待提高，还可以了非常实惠，就是卫生有待提高，还可以了', '短评打分': 5}
{'短评内容': '房间面积挺大的，每天都有早饭，虽然我喜欢睡懒觉没去吃成嘿嘿，不过这个价钱很合理，感觉很值得。只是地址稍微偏了一点，周围吃的不多，房间较陈旧。', '短评打分': 5}
{'短评内容': '选择的周末百元大房，超级推荐！火车站有车直达酒店附近，离省博只有2站距离！附近的林荫道也很漂亮！快捷酒店的标准，100元还送早餐！', '短评打分': 3}
{'短评内容': '房间很干净，就是有股味道。酒店服务态度很好。', '短评打分': 3}
{'短评内容': '早餐不错，奶黄包和酱肉包做的都很好，就是橙汁太甜了，像糖浆水，不过总体水平很高，算是快捷酒店里的上等了。\n\n房间挺脏，桌子下、床头处的墙上都是污痕，看着挺恶心的。床垫也偏硬，\n\n风格和七天类似，却没七天干净，靠餐点的弥补，还算可以吧。', '短评打分': 1}
{'短评内容': '  还可以，价格公道，早餐相对还可以，就是卫生间不是很好，，总体这个价格值了', '短评打分': 3}
{'短评内容': '环境优雅，适合经常出差的人居住，早餐还挺合口，下次还会居住！！！', '短评打分': 5}
{'短评内容': '性价比比较不错，就是郑州这个地段打的非常困难！', '短评打分': 5}
{'短评内容': '还可以的，毕竟100块嘛，性价比考虑较多。', '短评打分': 5}
{'短评内容': '环境不错,服务也可以。周边生活也算便利,值得推荐。', '短评打分': 3}
{'短评内容': '空间较大，窗户大，这个季节打开窗外生机勃勃，让人心情很好。但和如家等酒店比较设施略显陈旧，非一次性拖鞋，网速一般。', '短评打分': 5}
{'短评内容': '第一次入住时的感觉，忘了评价了，当时是特价房97元入住的，感觉很超值，房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店房间干净卫生，服务员态度好，有问必答，可以称得上是微笑服务。而且免费早餐特别丰盛，值得推荐入住。唯一不足是门前道路是单行线，有时打车会比较难打。', '短评打分': 5}
{'短评内容': '很好，超值', '短评打分': 3}
{'短评内容': '离动物园比较近，靠近花园路 总体还是不错的，下次可能还去，', '短评打分': 5}
{'短评内容': '酒店卫生还可以，就是窗户锁不上，前台说窗户正在维修。酒店可以免费停车，送双早，不过开车的朋友需要注意的是，红旗路是向西方向单行道。', '短评打分': 5}
{'短评内容': '可以吧，就是门前是单行路，打车有点不方便，服务可以。', '短评打分': 5}
{'短评内容': '住的是百元的特价房，感觉很实在，物有所值吧。。。', '短评打分': 3}
{'短评内容': '这个价位没的说，还有双早餐。就是有点偏，不过打车也方便.十几块钱。推荐入住', '短评打分': 3}
{'短评内容': '还不错，房间很大，暖气很足。就是位置不是很好找。', '短评打分': 1}
{'短评内容': '价格低，环境不错，适合居住，下次还来的。', '短评打分': 5}
{'短评内容': '不错的选择，交通也还是方便！特别是周末特价房，很给力！！！', '短评打分': 5}
{'短评内容': '房间面积不错，卫生也还干净！是个不错的选择。  周末特价房很给力，还含早餐！！', '短评打分': 5}
{'短评内容': '房间面积不错，卫生也还干净！是个不错的选择', '短评打分': 5}
{'短评内容': '卫生间味道太大了，酒店尽然没有空气清新剂', '短评打分': 3}
{'短评内容': '环境很好，安静，我每次到郑州都住到哪里，欢迎。', '短评打分': 5}
{'短评内容': ' 悦莱酒店真是服务员态度好，环境优雅，室内设施齐全！早餐种类齐全，丰富多样！第一次住悦莱，下次还要在悦莱住！比嘉和酒店服务好的太多了', '短评打分': 3}
{'短评内容': '很不错一个酒店，既安静又干净，很满意，就是那里的交通不是太方便，等了很长时间才坐上出租车，呵呵。', '短评打分': 5}
{'短评内容': '设施还好，服务一般，交通不便利，周边购物不是很方便', '短评打分': 1}
{'短评内容': '挺不错的，推荐周末半价房。就是早餐稍显简单', '短评打分': 5}
{'短评内容': '不是太好，房间太小！和原价不成正比！我不会在去！', '短评打分': 1}
{'短评内容': '出了个事我非常不爽，不小心茶水打倒了洒在酒店提供的毛巾上，毛巾沾染了茶水渍，本来用肥皂洗衣粉能搓掉得，服务员告诉我搓不掉要赔，说我损坏了洁具。这事让我非常不爽。你们提供的毛巾上那么大的窟窿不算损坏，我这边沾上茶水渍算损坏。。让人怀疑是不是就是为了讹钱的。。', '短评打分': 1}
{'短评内容': '服务很好，屋里边很热乎啊，早餐非常不错···', '短评打分': 5}
{'短评内容': '房间不大，设施很陈旧，毛巾也是破的，墙上很脏。不卫生。建议改进', '短评打分': 1}
{'短评内容': '房间不错，宽敞舒适，早餐也丰富。唯一感觉的缺点就是网速很慢。', '短评打分': 5}
{'短评内容': '不错的选择，交通也算方便，早餐比较丰富！！！', '短评打分': 5}
{'短评内容': '非常不错，特别是周末特价房，很实惠！早餐也比较丰富，下次有机会再来！', '短评打分': 5}
{'短评内容': '环境挺不错的，安静，服务态度也还不错，暖气足，下次有机会还选这个', '短评打分': 5}
{'短评内容': '房间没暖气，空调也不太暖和，被子有点薄，热水还行洗澡倒挺舒服的', '短评打分': 1}
{'短评内容': '不错 价格合理 早餐很棒 服务不错 交通不便 停车有些问题', '短评打分': 1}
{'短评内容': '还行，适合自费，适合自费，适合自费，适合自费，适合自费，', '短评打分': 5}
{'短评内容': '经济实惠，交通方便，设施齐全，暖气很暖和，性价比高', '短评打分': 5}
{'短评内容': '房间空间很大，性价比不错，服务态度很好。就是地理位置不是很明显', '短评打分': 5}
{'短评内容': '值得大家入住，就是大家要注意尽量住背面，不邻路会静一些。', '短评打分': 5}
{'短评内容': '年前（27）入住的，房间有暖气不错！因临近过年，外面很多饭店都歇业了，酒店虽早餐也停了（可以理解），但酒店另外提供了面包、袋装奶、桶面代替。不错！', '短评打分': 5}
{'短评内容': '总体不错，就是要注意细节，交通不是很便利', '短评打分': 5}
{'短评内容': '很不错，干净。性价比很高。为什么20字啊。最有效的评价并不在于多啊', '短评打分': 5}
{'短评内容': '马桶不可以用 不能冲水  打电话反映答曰就这样 711房间 以后反正不会来了 ', '短评打分': 1}
{'短评内容': '性价比较好的一家快捷酒店，早餐也不错，就是门前的红旗路是单行线，出入只能一个方向。', '短评打分': 5}
{'短评内容': '不错，很好，早餐不错，服务态度也可以，00000000000000000000000000000000000000000000000', '短评打分': 5}
{'短评内容': '十舒适，卫生，温暖', '短评打分': 3}
{'短评内容': '环境还行，送的早餐不错！', '短评打分': 3}
{'短评内容': '服务态度差！！其他还行！水小了点！而且连住也不享受预定的价！！', '短评打分': 1}
{'短评内容': '还可以，挺安静的，地点有点偏，有早餐，房间设施也可以', '短评打分': 5}
{'短评内容': '房间卫生，环境好，服务态度好，早餐不错，暖气很足，100元住这种宾馆超值了', '短评打分': 5}
{'短评内容': '交通一般，但是不远的地方有去火车站的公交车，门口是单行线，酒店房间还行，不过床上还发现瓜子皮，早餐种类还算多', '短评打分': 5}
{'短评内容': '各方面都很好！就是前台有个男的服务员态度太恶劣，建议开掉！！', '短评打分': 5}
{'短评内容': ' 宾馆设施不是很新，不过距离河南省博物院很近。', '短评打分': 3}
{'短评内容': '不好，太偏，也没宽带啊，骗人啊，卫生间门锁不住，设计不合理', '短评打分': 1}
{'短评内容': '很好，房间很干净，就是晚上睡觉有噪音  不是很清静，总体很好', '短评打分': 5}
{'短评内容': '感觉不错，比较干净.', '短评打分': 3}
{'短评内容': '还不错了，就是位置有点偏僻，不过还好了。早餐可以再给力点', '短评打分': 5}
{'短评内容': '网站上显示连住两晚以上可以优惠10%，结果入住后说是已经使用消费券返现不能享受了。网站没有说明。酒店就是地理位置偏僻了点，总体来说还不错', '短评打分': 5}
{'短评内容': '周末特价房，挺划算的。房型也不错，希望以后还会有这类的特价房', '短评打分': 5}
{'短评内容': '环境还行，网站上显示有入住有欢迎水果之类的住了几天一次都没看到', '短评打分': 5}
{'短评内容': '这里挺好，房间挺干净，服务态度挺好，早饭挺丰盛。公共交通挺方便的，打的整个郑州都不好打。', '短评打分': 5}
{'短评内容': '这里挺好，房间挺干净，服务态度挺好，早饭挺丰盛。', '短评打分': 5}
{'短评内容': '有点简陋哦，早餐不给力的。酒店外边环境不好啊。', '短评打分': 5}
{'短评内容': '干净，服务态度很好，安静，唯一的缺点能就是有点偏僻', '短评打分': 5}
{'短评内容': '这里挺好，建议大家过来。这里的热干面与鸡蛋炒饭很不错哦', '短评打分': 5}
{'短评内容': '酒店不错。服务也好的，只是楼层服务打扫需改进！\n值得推荐。\n早餐蛮好的。', '短评打分': 5}
{'短评内容': ' 环境不错，干净', '短评打分': 3}
{'短评内容': '这边挺好，服务态度很好，旁边就是吃饭的地方。', '短评打分': 5}
{'短评内容': '住了3天，还可以，不错！！！！！！！！！！', '短评打分': 5}
{'短评内容': '该酒店早点还可以 但退房12点退得太早 设施旧了一些', '短评打分': 3}
{'短评内容': '还可以。就是大床有点硬。可能是在外面睡不习惯，一个晚上都没有睡好，不过和酒店没有关系。。', '短评打分': 5}
{'短评内容': '酒店设施中等，比较干净整洁，只是没有专门停车场，要停车在门前的路上。', '短评打分': 5}
{'短评内容': '设施陈旧，房间还算舒适，洗手间很差，花洒漏水，简直洗不了澡，而且下水道堵塞，好不容易洗了澡，洗手间却装满了水，', '短评打分': 3}
{'短评内容': '我是晚六点以后特价入住的，感觉太超值了。虽然地段是单行，但交通很方便。如果以后晚上到郑州只是住一夜，就这里了。呵呵', '短评打分': 5}
{'短评内容': '整体不错房间也比较干净，就是出行稍显麻烦。', '短评打分': 5}
{'短评内容': '我感觉很好挺干净！态度也好！很经济！', '短评打分': 3}
{'短评内容': '郑州住宿的酒店选择好像不太多，因为在黄河路办事，就预定了这个酒店，房间算比较干净整洁，也比较安静。整体感觉还行。', '短评打分': 5}
{'短评内容': '不错，早餐还行，性价比可以！', '短评打分': 3}
{'短评内容': '房间的设施比较简单，味道有些重，另外大床房的卫生间要上一个比较高的台阶，对老人和小孩很不方便。唯一可赞的就是早餐还算可以。', '短评打分': 1}
{'短评内容': '一般，总体还行 红旗路不太好打车 卫生方面做的不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，很满意，离火车站距离大约5公里，附近吃住方便', '短评打分': 5}
{'短评内容': '实惠方便', '短评打分': 3}
{'短评内容': '＋干净，宽敞，价格不贵，挺好。', '短评打分': 3}
{'短评内容': '不是很满意！', '短评打分': 3}
{'短评内容': '房间还是不错的，比较大，前台主动把标间B免费升级为A,表示感谢！晚上6点后用手机订的，特别优惠！', '短评打分': 5}
{'短评内容': '服务态度不错，酒店还算干净，比较清净！', '短评打分': 3}
{'短评内容': '下水道反味太大了，没有纱窗，下水道反味太大了，没有纱窗，下水道反味太大了，没有纱窗，下水道反味太大了，没有纱窗，', '短评打分': 5}
{'短评内容': '还行，凑活，还行，凑活，还行，凑活，还行，凑活，还行，凑活，还行，凑活，', '短评打分': 5}
{'短评内容': '非常不错，就是位置很不好找,门口似乎没有公交车啊！非常不错，就是位置很不好找,门口似乎没有公交车啊！', '短评打分': 5}
{'短评内容': '环境、卫生都还不错哦，我住的那间就是空调有点坏了，其他都还挺好的、服务态度也挺好的，关键是提供早饭哦，很方便，嘿嘿。不过位置有点不太好找就是了', '短评打分': 5}
