{'短评内容': '设施很简陋', '短评打分': 3}
{'短评内容': '老板人很好，很热心……会推荐朋友来', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '洗漱用品不全，水流极小，态度一般，设施老旧', '短评打分': 3}
{'短评内容': '旅社位置很好，出了弄堂就是西街。房间还挺干净，来的时候床单和被罩都是换好的，和之前去的青旅不一样。六人间空间挺大。旅社的公共空间有小水池天井花花草草和茶台，挺有情调。最棒的是旅社大堂有小米盒子，投影到墙上看视频超级爽，本人坐在沙发上抱着靠枕追了四集的《百年酒馆》，观看体验超赞。', '短评打分': 5}
{'短评内容': '在西塘瞎转悠，选择了携程评价最好的青旅，原来是真的，老板很可爱+幽默，人很热心，遇到了一个传说中的博士室友，厉害的人们人生开了挂，羡慕哇。。。西塘真的比乌镇好玩多了，下次有机会跟朋友过来，再来玩PS:门口的萌物实在是，光自拍去了，第二天早上才发现，罪过哇', '短评打分': 5}
{'短评内容': '价格经济实惠，玩的很开心，设施一般，毕竟是青旅，可以理解。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很棒的酒店吖', '短评打分': 5}
{'短评内容': '酒店老板人很好，一起聊天很舒服。记住去酒店一定要记好前台电话，找不到路打前台电话就好。也可以问人，纽扣博物馆在哪，酒店就在斜对面。很好找。酒店环境很好，二楼可以喝茶聊天，很愉快的入住。', '短评打分': 5}
{'短评内容': '....下次进门能不能先敲门', '短评打分': 4}
{'短评内容': '条件差，我定的是大床房，但房间很小，卫生间里水龙头里只有滚烫的热水，连刷牙也只能开浴洒。房间时老房子，下大雨的时候感觉屋顶也要破了，但在古镇也是一种风情了吧？不建议住。', '短评打分': 1}
{'短评内容': '靠的比较靠水，但是离酒吧和西街稍微还存在一点距离，晚上不会吵！\n', '短评打分': 5}
{'短评内容': '小了点。其他都还好。房间太窄。房间隔音太差，不过对于西塘来说也算不错了。', '短评打分': 1}
