{'短评内容': '一般般吧 ', '短评打分': 3}
{'短评内容': '我在携程预定的豪华单间，去到酒店前台跟我说没有这个房型了，没有我预定的房型为什么酒店给我确认订单，而且没有给我提前通知，后来给我换了一个放杂物的杂物房，当时我都懵了，前台跟我讲就剩这一个房了，我当时也取消不了，当时我一个外地人也不好给他对质，而且前台一个男的态度十分恶劣，后来我再三追问，给我换了一个圆床房，逼我补交30元差价，而且房间地漏是堵的，还没有一次性洗漱用品，牙膏牙刷洗发水沐浴露都要钱的，', '短评打分': 1}
{'短评内容': '很别致，很浪漫，是出行的不错选择', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以吧，挺有特色的', '短评打分': 5}
{'短评内容': '环境还可以，交通也很方便！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地理位置还可以，环境安静，但房间设施可能酒店使用年限已久，被套虽能看出清洗，但太旧，感觉脏；毛巾已烂，地毯感觉脏！电视节目画面清晰度较差！', '短评打分': 3}
{'短评内容': '就那样 不咋滴  以后不住了', '短评打分': 3}
{'短评内容': '还可以啦 不错', '短评打分': 5}
{'短评内容': '我擦嘞', '短评打分': 1}
{'短评内容': '价格优惠，服务一般，有点不好找', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '周边交通很便捷，总体很不错。。。', '短评打分': 5}
{'短评内容': '房间太小了，卫生一般啊', '短评打分': 3}
{'短评内容': '环境差????????????????????只入住1晚218', '短评打分': 3}
{'短评内容': '还不错，就是房间有点小，停车不太方便。', '短评打分': 3}
{'短评内容': '前台服务态度好，房间打扫前会电话询问，比较方便。', '短评打分': 5}
{'短评内容': '每个房间一个主题，挺舒服挺干净！', '短评打分': 3}
{'短评内容': '酒店裝修很有特色 房間也乾淨 價格合理 是不錯的選擇 但服務員業務水平需要提高 我結賬刷卡花了很多時間', '短评打分': 5}
{'短评内容': '不怎么好牙膏都钱', '短评打分': 3}
{'短评内容': '房间很不错哦', '短评打分': 3}
{'短评内容': '总体来讲还可以，室内主题挺有特色的。不过相比于同等价格的其他宾馆来讲，还需要提高呀！不能只想着创意而忘了其他', '短评打分': 5}
{'短评内容': '不值那么多钱，太差了，好像被骗了似的，价格和价值不成比例', '短评打分': 3}
{'短评内容': '感觉很好，很有创意，大床房还是蛮有感觉的，而且周围交通也比较方便。\n最牛的是酒店门口有个标示：日本人不得入内...我喜欢！', '短评打分': 5}
{'短评内容': '嗯嗯，还好还好，挺干净的，还有点创意的。', '短评打分': 3}
{'短评内容': '房间很漂亮，卫生间很干净，床和被子质量都很好，就是早餐差强人意了点', '短评打分': 5}
{'短评内容': '房间不错，很干净', '短评打分': 3}
{'短评内容': '赞', '短评打分': 3}
{'短评内容': '一般,不值这个价!早餐也一般', '短评打分': 3}
{'短评内容': '酒店位置还算好找，房间略小，但是设施都还不错。车停在后门的公共停车场，据说停车费可以在前台报销，没尝试。服务人员都很nice。', '短评打分': 5}
{'短评内容': '性价比不错，交通比较方便，地理位置好，服务还行。\n\n', '短评打分': 5}
{'短评内容': '三星，OR准三星； \n山寨； 服务，人员，设施，etc;\n停车场“借”的，自己没有；只报销一次5元，第二次停车不报销；（但是这个停车场保安人很好，看我们之前停过，第二次就没收我的）', '短评打分': 1}
{'短评内容': '很特别的主题酒店，设备也不错，很有创意。', '短评打分': 5}
{'短评内容': '环境优雅，服务周到，值得一住', '短评打分': 3}
{'短评内容': '前台的女服务态度挺好的！男的过得去，就是板着个脸，看着有点不舒服.\n房间还是贵了一点！！\n不过他们的午夜房不错！过了一点就可以有了！便宜', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 3}
{'短评内容': '看了网评，本来很期待的，但刚看到酒店门口，就后悔了，完全没有档次。大堂也有些破旧，所谓的“主题”也就是一些手绘壁画，有些幼稚粗糙。住的圆床房，房间功能缺失，不方便。床顶灯光不可调节，其他灯也没有床头调节面板。浴室用的木盆，淋浴时溅得整个浴室到处是水。镜前灯灯光刺目，不柔和，没法化妆。圆床底座是一个木台，上床时很易踢中绊到，床板中间拼接的感觉很明显，不舒服。房间没有穿衣镜不方便。性价比不高，所谓特色', '短评打分': 1}
{'短评内容': '酒店很一般。性价比不高。圆床太小，脚都悬在床外的。', '短评打分': 3}
{'短评内容': '住的是梦幻圆床房   环境挺好的   这家店属于特色酒店   大家可以去住住看哦   性价比不错~', '短评打分': 5}
{'短评内容': '这间酒店不错，空间大，设计风格独特，不过价钱更实惠点更好了…第一次入住居然来了十几分钟停电…还是给70分吧…', '短评打分': 3}
{'短评内容': '很不错啊 环境很棒 服务也不错 圆床很爽', '短评打分': 5}
{'短评内容': '住的是套房，房间设施相对简单投入较低，暖气很足很快，房间整体感觉一般，价格比较公道', '短评打分': 3}
{'短评内容': '房间蛮可爱的。', '短评打分': 3}
{'短评内容': '环境不好', '短评打分': 3}
{'短评内容': '还不错  就是服务很慢  要个吹风机还打了2次电话。。。', '短评打分': 5}
{'短评内容': '年轻人的酒店,主题有点意思.\n但是,装修和设施比较简单,在人性上可以更多些考虑.', '短评打分': 5}
{'短评内容': '整体感觉还是不错的，酒店距离五一广场蛮近的，20分钟左右，房间装修的很有特色，每个房间都是不同风格的，卫生条件很好，服务到位', '短评打分': 5}
