{'短评内容': '离鼎湖山很近，条件还不错，卫生，但房价有一点潮味。', '短评打分': 5}
{'短评内容': '酒店还行，离鼎湖山真的很近，那天下午吃完饭还去景区里散步了~只是有个插曲，我选的到店时间是晚上11点，结果下午到了后，说我选的那个时间段到的一般都不留，结果加了钱换了别的~希望以后能标明，那个时间段的需要担保的话也要写明~', '短评打分': 5}
{'短评内容': '感觉比七天好呢~', '短评打分': 3}
{'短评内容': '酒店位置还不错，也很容易找，环境也很舒适。', '短评打分': 5}
{'短评内容': '性价比不错。就是靠马楼这一侧相对较吵，隔音不算很好。', '短评打分': 5}
{'短评内容': '很嘈杂，靠近路边，隔音也不好，晚上睡的不好', '短评打分': 1}
{'短评内容': '酒店离鼎湖山很近，装修简洁，不过被子床单有点旧。', '短评打分': 3}
{'短评内容': '地理位置方便，可走路直接上景区，但价格略高于酒店前台标价，WHY?', '短评打分': 5}
{'短评内容': '去了两遍，地方不错，离鼎湖也近，不过这次价格实在贵了点。', '短评打分': 5}
{'短评内容': '房间还可以，如果是平日的价格就可以。', '短评打分': 3}
{'短评内容': '这个酒店的老板娘人很好！：)', '短评打分': 3}
{'短评内容': '非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，非常幽静，', '短评打分': 5}
{'短评内容': '我入住的是蜜月房，靠山，装修格调很不错的酒店，朋友们都很喜欢。\n由于隔音效果不是很好，希望酒店员工不要在走道大声说话，以及整理房间时不要制造太多的噪音。', '短评打分': 5}
{'短评内容': '离景区很近，不行几分钟就可以，附近的鱼干不错，便宜，店里有位可爱的女孩很热情，介绍不少好去处', '短评打分': 5}
{'短评内容': '房间简陋了些，不过价格也适合只睡觉的人。', '短评打分': 5}
{'短评内容': '离鼎湖山很近，走路5分钟就到了，很干净，很舒适，服务很周到，下次来还会住这里', '短评打分': 5}
{'短评内容': '去住过两次森悦酒店了，感觉酒店设施很好，干净舒适，房间也比较大，性价比很好，距离鼎湖山也非常近，周边空气清新。不足在于房间电视信号不是很好。', '短评打分': 5}
{'短评内容': '离鼎湖山很近，比较方便，也比较静，管理上不够完善，遇上过节，人手显得不足，说好12点可以入住，但等了一个多小时才进驻。', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 3}
{'短评内容': ' 已入住 还不错', '短评打分': 3}
{'短评内容': '房间不错，很舒服，位置也好，离鼎湖山很近，我五一期间去住的，如果是平时应该性价比更高', '短评打分': 5}
{'短评内容': '可以 下次来还住这里', '短评打分': 3}
{'短评内容': '酒店环境不错，比较干净，离景区很近，服务态度也很好，性价比不错！', '短评打分': 5}
{'短评内容': '酒店很新,安静;卫生条件也很好,干净舒适;可能是靠山的缘故,点了蚊香蚊子还是很多,小孩比较受罪,不过不影响给个好评。', '短评打分': 3}
{'短评内容': '不错噢 酒店位置好 房间干净清洁 ', '短评打分': 3}
{'短评内容': '房间很舒适干净，而且面积很大，酒店周边空气清新，唯一不足就是房间内电视效果不够好', '短评打分': 5}
{'短评内容': '很好的酒店啊，位置不错，靠近风景区入口，出行坐车方便，房间舒适度很好，各类设施齐全，卫生做的也很到位', '短评打分': 5}
{'短评内容': '位置挺好的，靠近鼎湖山入口处，周边出行还算方便，前台不是很大，但是服务挺好的，当时还我们房间有点小问题，她们都很耐心的帮我们换了房间，这点做的挺到位', '短评打分': 5}
{'短评内容': '很不错的酒店，房间硬件很齐全，布置的很温馨，卫生间是磨砂玻璃制成的，感觉很好，里面洗浴设施不错，用起来很方便，房间舒适度不错', '短评打分': 5}
{'短评内容': '房间很大很宽敞，卫生条件特别好，卫生间瓷砖很防滑，床睡着很舒服，性价比高', '短评打分': 5}
{'短评内容': '酒店的性价比还行，房间装修的很好，布置的比较温馨，基础的硬件设施齐全，客房服务蛮到位的，住宿条件没得挑', '短评打分': 5}
{'短评内容': '房间装修的很漂亮，天花板蛮高的，给人感觉舒服宽敞，硬件齐全，电视都是液晶的，使用起来效果很好，床软硬程度适中，下次还会住的', '短评打分': 5}
{'短评内容': '不错的酒店，各方面做的都蛮到位，主要是周边环境挺好的，蛮安静的，睡眠质量很不错', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间卫生条件挺好的，环境不错，服务也很到位，各方面感觉都还行', '短评打分': 5}
{'短评内容': '住宿环境挺好的，硬件齐全，卫生条件好，性价比高', '短评打分': 5}
{'短评内容': '当时我们住的时候咩有电梯，我们爬到三层的，前台看起来不大，但是房间挺好宽敞的，而且装修的很漂亮，客房卫生和服务都很好，下次来这边还会住的', '短评打分': 5}
