{'短评内容': '很不错的体验', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '便宜便宜便宜  也只有便宜了', '短评打分': 3}
{'短评内容': '总体而言还凑合吧，设施有些旧', '短评打分': 4}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '定了2间房。位置还是非常方便的。但是入住的时候发现房间都没有窗户。因为酒店前台告知，所有预定的房子都没窗户。', '短评打分': 4}
{'短评内容': '房间布局很好，环境优雅，干净卫生', '短评打分': 5}
{'短评内容': '第二次入住，感觉比上次好些。总体还可以吧。', '短评打分': 4}
{'短评内容': '很一般，房间很小，淋浴热水器很老的型号，很多人都不会用，不理想。', '短评打分': 3}
{'短评内容': '棒！', '短评打分': 5}
{'短评内容': '换可以', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '酒店整体干净卫生，地理位置优越、就是没有停车场、车没地方停、其它都很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间很干净 设施也很完善 离市中心也近 交通便利', '短评打分': 5}
