{'短评内容': '在上海住这么便宜的酒店算是可以了，但Wi-Fi实在信号太差了。房间大小设施等等什么的真不是主要问题，就是Wi-Fi太差了，影响开黑', '短评打分': 3}
{'短评内容': '一般！没发现什么问题！一般！没发现什么问题！', '短评打分': 5}
{'短评内容': '有加床，房间挺大的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好，设施齐全，睡的舒服！！', '短评打分': 5}
{'短评内容': '挺好，设施齐全，睡的舒服！！', '短评打分': 5}
{'短评内容': '挺好，设施齐全，睡的舒服！！', '短评打分': 5}
{'短评内容': '挺好，设施齐全，睡的舒服！！', '短评打分': 5}
{'短评内容': '床垫非常硬，被子也很薄，被套很旧，有点发黄，还没有早饭吃，一楼是浴室，很潮湿', '短评打分': 3}
{'短评内容': '同事出差，帮他们订的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '性价比很高，除了隔音效果不太好以外，其他都很满意', '短评打分': 5}
{'短评内容': '胡同里的小宾馆，半夜临时找到的，房间挺大的，设施一般，一楼在装修，到处都是施工的东西，乱糟糟的，像迷宫一样，不会再去', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '挺温馨，性价比还行', '短评打分': 3}
{'短评内容': '还不错，干净卫生，价格ok', '短评打分': 5}
{'短评内容': '真的一般般，换了几个房间都上不了网，好在服务人员态度很好，积极给予电环', '短评打分': 1}
{'短评内容': '相比于198的价格这个酒店差太远了！浴巾破的全是洞，被子床单有污渍！\n', '短评打分': 1}
{'短评内容': '酒店前台服务员很不负责，因为没有电脑房间了和他们说借个路游器傍晚时说等到晚上八点送来押金200元，到晚上9点30打前台他们说没有要等到明天早上7-8点。不知道他们怎么交接班的。到第二天也没有看见送来。', '短评打分': 1}
{'短评内容': '很差的酒店，墙壁发霉的地方小，床也小', '短评打分': 3}
