{'短评内容': '酒店周边吃饭商店很方便，为了跑马拉松去的，休息很好', '短评打分': 5}
{'短评内容': '开车到朱家尖10分钟，很方便', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '无早餐，周围环境不错', '短评打分': 5}
{'短评内容': '一般一般全球第三，感觉过得去吧', '短评打分': 5}
{'短评内容': '距离海边很远 附近吃得也很少 员工不太熟练网上订单流程当时弄得很麻烦 其他就还好吧 隔音不好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '酒店地理位置较好，出行很方便，服务态度一般，下次还会继续入住。', '短评打分': 3}
{'短评内容': '还行吧，位置不错，周边吃饭的挺多的，房间就那样吧，没有特别的！前台比较热情！', '短评打分': 4}
{'短评内容': '周边环境干净、清静，交通方便。', '短评打分': 4}
{'短评内容': '来普陀山把他作为返程的一个落脚点。外面有噪声，房间有异味。', '短评打分': 3}
{'短评内容': '不错一直住这里，安静离码头也近', '短评打分': 5}
{'短评内容': '环境卫生，设施齐全！', '短评打分': 5}
{'短评内容': '环境不错，服务挺好', '短评打分': 5}
{'短评内容': '环境一般，但服务好，价格优', '短评打分': 5}
{'短评内容': '价格公道，环境卫生都不错，很满意', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境不错的酒店', '短评打分': 5}
{'短评内容': '不错不错。', '短评打分': 3}
{'短评内容': '隔音不好 价格变化太大 不容易找到 环境卫生到还可以 服务态度也不错', '短评打分': 1}
