{'短评内容': '一般，没什么特色', '短评打分': 5}
{'短评内容': '酒店位置很好，僻静，院子很大，免费停车很方便，出门左边对面就是小吃街，有很多当地好吃的东东，狗舌头饼、biangbiang面、臊子面、熏肉大饼都很好吃。距离景点也很近。总体不错。', '短评打分': 5}
{'短评内容': '性价比很好酒店，大院子，停车方便，还有桶装纯净水。', '短评打分': 5}
{'短评内容': '自驾出行的第一站，酒店有免费停车场，保安专职看管，房间收拾的很干净，卫生间设施稍显陈旧，但热水很给力，出酒店大门对面马路上有一条小吃街，有很多特色小吃，街口上那家早点很棒，总体满意', '短评打分': 4}
{'短评内容': '环境不错，离景区很近，去华清池走路就到，房间够大，就是洗澡水流量小了点，谢谢', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '酒店周边道路交通便利，停车场很大，停车方便。前台服务小姐很热情，酒店服务员很敬业。院中有很多兵马俑雕塑很有特色。', '短评打分': 5}
{'短评内容': '不太好找，环境还可以;房间略旧些，黄金周价位算过得去', '短评打分': 4}
{'短评内容': '整体不错，环境挺好', '短评打分': 4}
{'短评内容': '临潼的酒店，方便看长恨歌，正对临潼夜市小吃街。设施略微陈旧。', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
