{'短评内容': '每次都入住，方便，市中心。', '短评打分': 5}
{'短评内容': '酒店卫生还可以，服务也好，唯一不好就是房间外面的旧家私没清理。不过在那样繁华的地方这样的价位还是挺划算的，周边是购物街买东西挺方便的。', '短评打分': 5}
{'短评内容': '房间太旧了，卫生也不行', '短评打分': 3}
{'短评内容': '还不错凑合吧', '短评打分': 5}
{'短评内容': '拖鞋太滑，不安全', '短评打分': 5}
{'短评内容': '还可以一般。', '短评打分': 5}
{'短评内容': '环境不错～就是我有点电梯恐惧，声音哐哧哐哧的&hellip;&hellip;', '短评打分': 5}
{'短评内容': '房间很大，地理位置优越，值得信赖，非常满意，下次继续入住', '短评打分': 5}
{'短评内容': '太烂了，所有的东西太旧了', '短评打分': 1}
{'短评内容': '好的！！！！！', '短评打分': 5}
{'短评内容': '可以！！！！！', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '还不错，住的楼层挺高的，可以看得到柳州的夜景，价格也不贵，春节来说性价比算是比较高的了，好评。', '短评打分': 5}
{'短评内容': '房间很干净，适合一家人住。离市中心又近，吃喝玩乐都方便。物美价廉!', '短评打分': 5}
{'短评内容': '我个人比较喜欢的酒店，楼层很高，基本上可以俯瞰整个柳州的感觉，能够看到马鞍山公园，视野不错。重点是房间的舒适度很好，床大', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '整体不错，值得推荐！', '短评打分': 5}
{'短评内容': '每次去都是定的这个酒店！价格合适住着舒服', '短评打分': 4}
{'短评内容': '在五星街附近，很方便', '短评打分': 4}
{'短评内容': '续住的最后一天，可恶的卫生间味道，以后不再考虑这酒店了，除了离办事地点近和离步行街近，啥都不怎么样，以后宁可住远一点了。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店位置很好，靠近商业区，离柳江很近。站在阳台上可以看到柳江风景，很美。房间很大，设施还可以，只是电脑上网太慢了。前台的服务很好。房间中配了4瓶矿泉水，其中有2瓶是放在床头柜上的，但没有标明是付费的，很容易误导消费者以为是赠送的。建议改变一下。', '短评打分': 4}
{'短评内容': '酒店位置很好，靠近商业区，离柳江很近。站在阳台上可以看到柳江风景，很美。房间很大，设施还可以，只是电脑上网太慢了。前台的服务很好。房间中配了4瓶矿泉水，其中有2瓶是放在床头柜上的，但没有标明是付费的，很容易误导消费者以为是赠送的。建议改变一下。', '短评打分': 4}
{'短评内容': '入住多次了', '短评打分': 4}
{'短评内容': '酒店房间不错～可以看到江景～', '短评打分': 5}
