{'短评内容': '交通方便，附近吃东西方便', '短评打分': 4}
{'短评内容': '环境不错，交通方便，卫生干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的环境，正确的选择。', '短评打分': 5}
{'短评内容': '房间比较大，卫生搞得有点差，前台的姐姐有点冷漠。', '短评打分': 5}
{'短评内容': '不催，还可以。', '短评打分': 5}
{'短评内容': '很好，不错。', '短评打分': 5}
{'短评内容': '不错，挺好。', '短评打分': 5}
{'短评内容': '地理位置还是很不错的，交通方便，楼下也很多生活设施，还有江景，江对面就是开平最旺的商业区。房间网络太差，突然停电也不告诉一声', '短评打分': 4}
{'短评内容': '酒店位置不错，闹中取静，性价比较高，交通比较方便。窗外就可以看到美丽的江景。我们把车子停在对面马路上，保安说会关照的，  很叫人感动。附近有一个广场，购物娱乐都不错。以后有机会还会来的。我们住的是豪华双人房，感觉可以。', '短评打分': 4}
{'短评内容': '开平就这个几家酒店，这个酒店又是当地的老牌酒店，位置没的说，软硬件服务十分一般。但是酒店的早茶 下午茶 晚茶应该是开平比较传统的了，价格偏高，但是当地人很认可，味道着实很不错。一定要吃吃看。', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 4}
{'短评内容': '窗户有个窗关不紧，担心了一晚。不过房间还算干净，空间也大。楼下茶楼吃饭方便，江景。', '短评打分': 5}
{'短评内容': '每次都住这家酒店，深夜两点多在傍边几十米都有宵夜食，味道都幾好，超平。早上茶楼开七点，有人等开门飲茶。4楼新开桑拿，不要有希望就不会有失望。', '短评打分': 4}
{'短评内容': '隔音不好，陈旧', '短评打分': 3}
{'短评内容': '一般般，位置还好，楼下有早茶。河边景色还可以，设施真心一般。', '短评打分': 3}
{'短评内容': '选了一个三人套房当婚房，真心一般。', '短评打分': 3}
{'短评内容': '設施舊，但房間算企理。', '短评打分': 3}
{'短评内容': '日式房确实是江景，但房间挺小的，还有房间隔音真心差，过道说话声都能听到', '短评打分': 1}
{'短评内容': '酒店地點ok..日式房間面向江景..景觀很美令人看到很舒服..價錢都算合理..附近食宵夜ge地方都多..價錢好平', '短评打分': 5}
{'短评内容': '隔音真的差，标双的房间没有窗户，好闷，其它还行，算干净了', '短评打分': 5}
{'短评内容': '由于房间漏水，酒店给升级了一间日式房，但是房间好小，还算干净，这个价钱不要挑剔太多了', '短评打分': 5}
{'短评内容': '装修比较新，晚上也不吵，交通也还方便，就是电视大小了点，第二次住了，总体来说，还是不错的', '短评打分': 5}
{'短评内容': '订的是豪华日式房，晚上海景不错，但是隔音真的差，而且晚上洗澡的时候发现水不够热。其他的都还好，床够大，情调也行。', '短评打分': 5}
{'短评内容': '不错。就是房间小了点。其他可以。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '＋房间干净而舒服.不知为什么卫生间会臭.', '短评打分': 3}
{'短评内容': '该酒店，地理位置挺好的，就在江边，酒店环境不错，工作人员也都很有礼貌，很好。', '短评打分': 5}
{'短评内容': '预定该酒店就因为酒店在江边，果然没有辜负我们的选择，预定的标准房，入住后换成看江景的日式房，1.8M的大床，房间很舒服，对得起这个价格。唯一美中不足就是隔音差一点。酒店附近有几家餐饮都不错，有家汇豪轩吃早点午餐都相当不错，很多当地人都在那里吃，早上到中午基本都要等位。下次来还会选择。', '短评打分': 5}
{'短评内容': '不错，服务态度不错，酒店是比较新的，而且房间也比较大，也干净，在河边，傍晚去河边溜达溜达是个不错的选择，而且离吃黄鳝饭的地方也不远，至少打车不跳表。', '短评打分': 5}
{'短评内容': '酒吧環境可以，地點都算不錯，可以再去\n酒店舒適，是一個不錯的選擇', '短评打分': 5}
{'短评内容': '房间装修还可以，数字电视很爽!不过没电脑，加电脑要三十块!还有房间隔音和窗帘隔阳太差了!', '短评打分': 3}
{'短评内容': '还可以！离市区挺近的，想逛街购物都挺容易的！', '短评打分': 5}
{'短评内容': '价钱还真的很实惠！房间比较大，但是设施有点....不能说旧吧，就是譬如洗手盆滴水等的小问题，同时入住的还反映隔音效果不太好！我自己倒是蒙头大睡，不太觉得！倒是要告诉后来者千万不要在前台订早餐——等的时间太久也不厚道，广告词说有粥、三文治等好吸引的早点，但事实上只有一碗面和几片水果，广告辞涉嫌带欺骗成分，仅说他们的早餐而已，住得还算OK吧，不过不失的！离市区挺近的，离市政府也只有几百米的路程！', '短评打分': 5}
