{'短评内容': '房间很大，环境不错', '短评打分': 5}
{'短评内容': '附近有商场，给妹妹考试订的', '短评打分': 5}
{'短评内容': '经常住这里，方便', '短评打分': 5}
{'短评内容': '还不错，，经常住这', '短评打分': 4}
{'短评内容': '这是第三次住了，酒店里设施都很好的，这次新增了按摩椅，服务都很好的，下次还住！', '短评打分': 5}
{'短评内容': '一直很信赖清沐酒店，这是个南方的酒店，设施都很到位，在北方好像没有，前台很礼貌，押金单丢了很细心的补办！点个赞！', '短评打分': 5}
{'短评内容': '清沐酒店很不错的，位置很好找，设施都很好用，前台服务很好，很温馨！！！强烈推荐！！！', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '过生日跟同学出来嗨，房间整洁舒适，推荐。', '短评打分': 5}
{'短评内容': '还行可以不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行，对面就是沃尔玛感觉很方便', '短评打分': 5}
{'短评内容': '服务，环境都不错，价格也实惠', '短评打分': 5}
{'短评内容': '设施很旧', '短评打分': 4}
{'短评内容': '离办事的地方非常近，离高铁站也不远，就是网上订前台付费太贵了一点，是园床不是太喜欢，小窗来的，其它的还是不错的，前台服务也不错来的。', '短评打分': 5}
{'短评内容': '感觉挺不错的，环境还可以。点个赞', '短评打分': 4}
{'短评内容': '服务不错，杯子丢在房间服务员亲手交到我手上，谢谢', '短评打分': 5}
{'短评内容': '整体感觉还可以，周边出行也便利', '短评打分': 4}
{'短评内容': '我随手一打就是十五个字啊', '短评打分': 5}
{'短评内容': '房间不是很大，提个意见，房间没有大灯，显得房间好暗。', '短评打分': 5}
{'短评内容': '?还不错', '短评打分': 3}
{'短评内容': '酒店卫生条件一般，蚊子多，位置还可以。服务一般。', '短评打分': 1}
{'短评内容': '住的是休闲房，房间内很宽敞，卫生间很有特色，大圆床睡的也很舒服。缺点是早餐不是很满意，东西很单调，口味不佳。', '短评打分': 3}
{'短评内容': '住的是休闲房，房间内很宽敞，卫生间很有特色，大圆床睡的也很舒服。缺点是早餐不是很满意，东西很单调，口味不佳。', '短评打分': 3}
{'短评内容': '房间太小了，也没任何服务，下次不会再住了，早餐也很差', '短评打分': 1}
{'短评内容': '房间太小了，也没任何服务，下次不会再住了，早餐也很差', '短评打分': 1}
{'短评内容': '还不错，就是早饭一般般，吃不好，\n房间还不错。', '短评打分': 5}
{'短评内容': '还不错，就是早饭一般般，吃不好，\n房间还不错。', '短评打分': 5}
{'短评内容': '还不错，就是早餐很一般\n房型还可以，大床很舒服，服务态度也还可以', '短评打分': 5}
{'短评内容': '还不错，就是早餐很一般\n房型还可以，大床很舒服，服务态度也还可以', '短评打分': 5}
{'短评内容': '条件不错，好评！', '短评打分': 3}
{'短评内容': '条件不错，好评！', '短评打分': 3}
