{'descr': '服务环境好，地理位置好，五星评价', 'star': 5}
{'descr': '家里老人说服务人员很热情', 'star': 5}
{'descr': '七天酒店房间设施就那么回事，酒店位置不错周边环境有点乱，但是吃饭购物方便，酒店门前说是有停车场但是车位不多基本上没地方停车，离酒店大约100米有收费停车场24小时15元，停车费酒店不给报销。', 'star': 4}
{'descr': '酒店位置不錯，到各個景點搭公交都能到，不過附近有施工 稍稍注意一下', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '地理位置不错，设施一般，主要是回去办事情，住的方便，还是实惠的。下回还是会去。', 'star': 5}
{'descr': '七天的放假住的太多了，这是第一次感觉非常一般的', 'star': 1}
{'descr': '交通便利，卫生干净！就在市中心，到哪里都很方便！这么好的地理位置，这个房价绝对良心啊！很满意，很划算，很不错，下次还来！', 'star': 5}
{'descr': '交通便利，卫生干净！就在市中心，到哪里都很方便！这么好的地理位置，这个房价绝对良心啊！很满意，很划算，很不错，下次还来！', 'star': 5}
{'descr': '不错啊，还好', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '感觉不错，舒适，价格便宜', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '不错', 'star': 4}
{'descr': '房间超小，不过床还是挺大的1.8米大床。', 'star': 4}
{'descr': '地理位置不错，房间偏小点，服务态度很好', 'star': 5}
