{'短评内容': '非常不错，地段优越，楼下就有好吃的，室内环境也没得说，干净整洁，是我住过的最好的七天了，只可惜没有免费的矿泉水！', '短评打分': 5}
{'短评内容': '早餐不错，经济实惠，豆浆特别好喝，包子，鸡蛋面包，小菜，吃个饱，小米粥熬的非常好', '短评打分': 5}
{'短评内容': '新装修的，挺干净。。。。。。。。。。。。。。。服务挺好的，晚上睡着很安静，不吵，总体来说还是很不错的。。。', '短评打分': 5}
{'短评内容': '非常干净卫生，周边环境好', '短评打分': 5}
{'短评内容': '很多次住', '短评打分': 5}
{'短评内容': '朋友帮定的，基本满意。就是房间有点......', '短评打分': 3}
{'短评内容': '很好，服务满意，房间干净卫生', '短评打分': 5}
{'短评内容': '很好，服务满意，房间干净卫生', '短评打分': 5}
{'短评内容': '很好，服务满意，房间干净卫生', '短评打分': 5}
{'短评内容': '不错，常客', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '还行吧，周围环境不是很好，价位稍高。', '短评打分': 5}
{'短评内容': '还行吧，周围环境不是很好，价位稍高。', '短评打分': 5}
{'短评内容': '房间整洁，不错挺好的', '短评打分': 5}
{'短评内容': '房间够大 服务人员部分还是很好的', '短评打分': 4}
{'短评内容': '房间不错，跟普通大床房一样的，住过很多次了，办理入住也快，房间设施都有的，洗漱用品并不像网上说的，都有的，一如既往的好', '短评打分': 5}
