{'短评内容': '位置很好……房间还行……', '短评打分': 4}
{'短评内容': '适合小情侣或者闺蜜入住，小阁楼有情调', '短评打分': 4}
{'短评内容': '酒店位置很好，外观文艺，物超所值~', '短评打分': 5}
{'短评内容': '离龙头路近出门就可以逛吃逛吃', '短评打分': 5}
{'短评内容': '黑白配，房间有些小不过位置很好', '短评打分': 5}
{'短评内容': '小茉莉的阳光房～简直太赞了。三楼只有阳光房一间，带一个专属露台。视野不错。房间挨着的门，进去是公共露台，特别大。不过一般没什么人知道，也不上来。这两个露台我们都私吞了～离龙头路小吃街很近，走几分钟就到了，特别方便。前台MM很漂亮，提前一天打电话确认路线。到了还给我们一张手绘地图。前台可以寄存东西，不过我们拿了很多行李，我带着一个老人一个孩子，也没有像另外一家民宿帮我们提行李，倒是告诉我们可以分两次拿行李到三楼。打扫卫生的大姐冷着一张脸，我们提前到了，告诉我们她要吃饭，不打扫房间，让我们先去吃饭，一会儿再回来。不过这家隔壁的私厨味道不错，价格也便宜，我们点的双人套餐吃的很饱。老板娘一家也挺热情。', '短评打分': 5}
{'短评内容': '非常不错 么么哒', '短评打分': 5}
{'短评内容': '非常不错～岛上寸草寸金 这个价位不错啦', '短评打分': 5}
{'短评内容': '好很好非常好', '短评打分': 5}
{'短评内容': '环境不错哦，跟干净很卫生', '短评打分': 5}
{'短评内容': '房间蛮好的 比较有特色 前台帅哥和美女人都很不错 提醒我们鼓浪屿上的注意事项之类的 定好房间还给发了怎么过去的路线 ', '短评打分': 5}
{'短评内容': '地理位置服务都特别好，就是床感觉不太结实', '短评打分': 5}
{'短评内容': '房间很小巧、但是设施很全、前台小妹 非常可爱、特别热心。3层还有一个大大的我平台、非常棒..', '短评打分': 5}
{'短评内容': '设施齐全，很漂亮！就是有点潮湿，位置实在太难找', '短评打分': 5}
{'短评内容': '不错哦，环境很好，住着也很舒服', '短评打分': 5}
{'短评内容': '无论从外观和内饰来看，都是一家很有情调、小资的旅店。公共区域布置得像油画一样，每个房间也各有特色，挺满意的。离龙头路特别近，吃美食逛街都很方便。总体来说挺不错的，以后会给朋友推荐，有机会还会再来的。', '短评打分': 5}
