{'短评内容': '探望老人', '短评打分': 5}
{'短评内容': '探望老人暂住 卫生条件很好', '短评打分': 5}
{'短评内容': '经常出差，大部分时间住7天，因为放心，值得信赖。服务热情周到，卫生干净舒服!', '短评打分': 5}
{'短评内容': '7天还是那个7天，值得信任，这次帮朋友订的房，感觉非常惬意舒适，交通方便，深处闹市，闹中取静。服务也不错，热情周到，卫生干净值得推荐!', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全，很干净很温馨，色彩搭配很文艺！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '服务超级棒的', '短评打分': 5}
{'短评内容': '虽然住的是一楼，但是防护很好，很安全。房间干净且服务很好！', '短评打分': 5}
{'短评内容': '干净整洁 经济实惠 交通便利', '短评打分': 5}
{'短评内容': '朋友过来住这里还是很方便的 交通也便利', '短评打分': 5}
{'短评内容': '很方便，价格也实惠。很满意的说', '短评打分': 5}
{'短评内容': '这里七天酒店比大厂店好很多，超过十分钟都要加钱！什么玩意', '短评打分': 5}
{'短评内容': '很好经常定的', '短评打分': 5}
{'短评内容': '经济实惠的酒店', '短评打分': 5}
{'短评内容': '又是这家，也就那样吧，离机场近一些，方便点。', '短评打分': 5}
{'短评内容': '屋子干净，房间大，特别安静，挺不错的酒店', '短评打分': 5}
{'短评内容': '商务出差代人预订独自旅行家庭亲子情侣出游朋友出游其它\n自定义标签', '短评打分': 5}
{'短评内容': '商务出差代人预订独自旅行家庭亲子情侣出游朋友出游其它\n自定义标签', '短评打分': 5}
{'短评内容': '干净整洁，不错呦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的，不错，环境优雅', '短评打分': 5}
{'短评内容': '服务很一般，住的几天心情都被酒店弄的不好了。设施不错，值得表扬，价钱不贵，不过特价房没有就不要再挂在网上卖了，彼此心里都不爽。预算少的话这家店还是可以考虑的。', '短评打分': 5}
{'短评内容': '服务态度很好，环境很好', '短评打分': 5}
{'短评内容': '离机场比较近，但房间比较小，周围吃东西并不方便。', '短评打分': 4}
{'短评内容': '挺便宜的', '短评打分': 5}
{'短评内容': '管理极差，态度蛮横', '短评打分': 2}
{'短评内容': '服务还比较热情，也比较卫生，但设施条件差点。我们的房间安排在五层，电梯只到四层，下电梯后要转一大圈才能上五层，拎着行李比较累。最主要的房间暖气小，温度低，空调不给力且声音大，又冷又吵，一晚上没睡好。', '短评打分': 2}
