{'短评内容': '性价比高，多次入住，下次去办个VIP卡还有优惠', '短评打分': 5}
{'短评内容': '卫生，安静，交通购物方便', '短评打分': 5}
{'短评内容': '很干净，空间大，设施好', '短评打分': 5}
{'短评内容': '房间挺不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '个人感觉不错，酒店周边吃饭、书店、购物、泡脚的地方都很多，出门1分钟就是地铁口。房间内的设施也很好，装修也很时尚。', '短评打分': 5}
{'短评内容': '周围交通很便利，门口就有地铁站，旁边还有几个大超市商场！酒店内的设施和整洁度都非常好，值得再次选择！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': 'Wi-Fi就是摆设 网线也没有，隔音就不说了简直稀烂 其他的勉勉强强', '短评打分': 4}
{'短评内容': '地点不错，距离办事地方近，交通便利。', '短评打分': 5}
{'短评内容': '很不错，设施齐全，环境很好，高大上！', '短评打分': 5}
{'短评内容': '出差没办法', '短评打分': 3}
{'短评内容': '太旧 非常需要装修', '短评打分': 3}
{'短评内容': '房间大', '短评打分': 4}
{'短评内容': '从装修到洁具家具等都太差了，装修没有品味，房间味道难闻，淋浴的花洒也不好用，毛巾和浴泡都发黄发黑...298的房价还不如住一百多元的如家。', '短评打分': 3}
{'短评内容': '贵酒店距机场太远些了', '短评打分': 3}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '房间挺大，缺点就是房间设施有点简单，不上档次。', '短评打分': 5}
{'短评内容': '若不是距离办事地点近也不会选择该酒店。。。。。。感觉不太干净，设备残旧', '短评打分': 1}
{'短评内容': '在开发区办事的话位置还可以，但是房间太一般了，电视小，地毯不够卫生，卫生间偏小。性价比不高', '短评打分': 1}
{'短评内容': '帮朋友订的，评价还不错~~~~~~~~~~~~~~··', '短评打分': 5}
{'短评内容': '地理位置比较好，出门方便，周围什么都有，酒店还算干净', '短评打分': 5}
{'短评内容': '酒店一般吧，卫生环境浴室设施比较简陋，两间房的蓬头都是坏的，258这种环境配这种设施有些不值。并且晚上比较吵架，人员流动性大。', '短评打分': 3}
{'短评内容': '住的还勉强可以不过在同等价格的酒店相比就差些，位置稍微有点偏不好打车，厕所里的味道难闻，网速倒是挺快的', '短评打分': 1}
{'短评内容': '酒店服务很好，当时钱包丢酒店里了，她们帮我找到后，还给了我，还是提示我保存好自己的物品，感觉服务很贴心', '短评打分': 5}
{'短评内容': '酒店的房间很大，卫生条件还可以打扫的很干净，酒店周边有超市，买东西购物很方便', '短评打分': 5}
{'短评内容': '服务很好，周到热情，地理位置不错，出行还是很方便的，硬件设施很齐全，卫生条件也不错，住着还算舒服', '短评打分': 5}
{'短评内容': '酒店的服务不错，而且地理位置好，附近就有公交车站，出行方便，房间布置很温馨，住着很舒服', '短评打分': 5}
{'短评内容': '房间布置的很特别，墙上有壁画，硬件设施很齐全，酒店地处王家湾边上，交通还是很方便的', '短评打分': 5}
{'短评内容': '卫生间窗户是磨砂的，感觉很特别，前台服务员办事效率快，房间很大很宽敞，通风效果好，住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '晚上入住的时候前台人员需要培训，态度不行。早上人员不错。其实想说的不是这个 想说的该店的地理位置不错，旁边就有两家超市，沃尔马和家乐福，还有广百百货和武汉百货。', '短评打分': 5}
{'短评内容': '整体感觉很不错的酒店，房间很干净，设施齐全，服务周到，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '非常棒的酒店，位置相对偏一些，但打车20多块钱就能到闹市区，也算可以，卫生干净，服务很好，设施蛮新的，性价比较高的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '我是入住的单人间(368/晚)，严重的感觉价格与酒店实际情况不符。而且酒店的装修感觉很没有品味，酒店的管理也很随意。尤其感觉不爽的是，竟然没有免费的水提供。。。 （当时定这个酒店就以为所谓的“准四星”应该查不到哪里去的，但实际上这个准四星与没有星无区别。。。）', '短评打分': 1}
