{'短评内容': '服务态度非常好，感觉不错', '短评打分': 5}
{'短评内容': '前台入住办理周到', '短评打分': 5}
{'短评内容': '早餐挺好，服务热情。', '短评打分': 5}
{'短评内容': '多次预订，一直很满意。最喜欢这里早餐', '短评打分': 5}
{'短评内容': '非常好，感谢！', '短评打分': 5}
{'短评内容': '位置方便，环境优美', '短评打分': 5}
{'短评内容': '不错，很舒服', '短评打分': 5}
{'短评内容': '前台服务态度很好，工作人员热情礼貌，酒店很不错。', '短评打分': 5}
{'短评内容': '已多次入住该酒店，绝对是到绵阳的不二选择！房间特别干净，酒店各级服务人员的态度也特别好，早餐非常丰富，交通也十分便利！', '短评打分': 5}
{'短评内容': '每次出差都入住这里，感觉都不错！', '短评打分': 5}
{'短评内容': '服务很好，感觉很温馨，有到家的感觉', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '环境优雅，设施完善很好，房间卫生干净整洁很好。', '短评打分': 5}
{'短评内容': '环境优雅，设施完善很好，房间卫生干净整洁很好，服务可再优化，空间宽敞舒适，在这个附近比其他同类型酒店算比较好，我己经向其他朋友推荐，确实不错把服务加强应该会有很多回头客，以上真实情况。', '短评打分': 5}
{'短评内容': '帮朋友订的，离火车站近。挺不错的', '短评打分': 5}
{'短评内容': '不错，评价还有礼品送。。。', '短评打分': 5}
{'短评内容': '感觉是绵阳最火的酒店，经常订不到。里面还是很好，就是整体格调颜色偏深。', '短评打分': 5}
{'短评内容': '帮朋友订的，就在火车站旁边，很方便。', '短评打分': 5}
{'短评内容': '住宿条件不错，住的非常好！', '短评打分': 5}
{'短评内容': '环境不错，睡的非常好！', '短评打分': 5}
{'短评内容': '可以高大上，一如即往的好！', '短评打分': 5}
{'短评内容': '朋友来玩，离火车站很近。', '短评打分': 5}
{'短评内容': '很不错，住了很多次了，，值得入住', '短评打分': 5}
{'短评内容': '很不错的酒店～', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '很不错的地方！值得信赖服务态度非常好！', '短评打分': 5}
{'短评内容': '住着很舒服', '短评打分': 5}
{'短评内容': '住着很舒服', '短评打分': 5}
{'短评内容': '还不错的地方', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '经常住，环境和服务一流，早餐很棒！', '短评打分': 5}
{'短评内容': '一直住这里', '短评打分': 5}
{'短评内容': '总体来说还行吧，房间面积比较小，镜子边缘有厚厚的灰尘，空调制热效果比较差', '短评打分': 4}
{'短评内容': '酒店非常不错！', '短评打分': 5}
{'短评内容': 'Wi-Fi网络太差了，哎，其它还行吧……', '短评打分': 4}
{'短评内容': '离开南郊机场很近，出租车12源，10多分钟就到。就是再火车站附近，??火车的噪音。', '短评打分': 5}
{'短评内容': '第二次入住了，网还是那么差、住的郁闷。去成都玩了，住这索菲斯锦苑宾馆、还不错，喜欢这里。', '短评打分': 4}
{'短评内容': '各方面都不错都挺好的，就是电视有些台收不到别人江苏卫视等。', '短评打分': 5}
{'短评内容': '房间不错，火车有点吵，停车要收费，厕浴分开很好的设计', '短评打分': 5}
{'短评内容': '服务热情，总体感觉不错', '短评打分': 3}
{'短评内容': '东西掉客房  客服及时打电话归还，信誉 服务 都不错，到绵阳还会选这家', '短评打分': 5}
{'短评内容': '帮同事订的，酒店位置很好，离火车站很近。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '据说算比较新的酒店.压金被要求多付一倍且不能签单.若要签单还要多付.', '短评打分': 3}
{'短评内容': '服务在绵阳相当可以。就是前台小姐不怎么专业。', '短评打分': 5}
{'短评内容': '可能是绵阳条件好的了。。可惜停车要钱。。我就不明白房间也不便宜。。停个车要5-10元？好不好笑？这么大的酒店。。一晚房间要500。。去和客人要10元的停车费？？\n', '短评打分': 5}
{'短评内容': '在绵阳算很好的酒店，干净卫生，服务好，适合商务出差', '短评打分': 5}
{'短评内容': '可能是绵阳最好的酒店。。。房间不大。。不过合理温馨。。。可惜停车要钱。。', '短评打分': 5}
{'短评内容': '环境不错，房建设施也好，下次还会选择这里~', '短评打分': 3}
{'短评内容': '整体还不错住的挺好，吃的餐厅总体呢也还凑合', '短评打分': 5}
{'短评内容': '绵阳好的酒店也不多，听朋友说就一两家。这家相对来讲还可以，符合四星的标准，但就是没有什么健身设施，不好。', '短评打分': 5}
{'短评内容': '不错，干净、舒适、热水很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '十干净舒适，服务态度好，交通便利，离市区火车站高速都近', '短评打分': 3}
{'短评内容': '非常不错的酒店，硬件设施很好，唯一美中不足的是停车需要收费，不太适合多次出入。', '短评打分': 5}
{'短评内容': '环境好，卫生好，停车方便推荐哈，离市区和火车站都很近', '短评打分': 5}
{'短评内容': '在绵阳应该还算不错吧，房间不大，卫生间里马桶和淋浴是隔开的。离火车站和汽车站都很近，步行即达。早餐也还不错，还算比较推荐的', '短评打分': 5}
