{'短评内容': '酒店卫生干净，服务员态度好，，不错的酒店。', '短评打分': 5}
{'短评内容': '虽然标榜为三星级酒店，设备设施陈旧，竟然在卫生间和房间里看到了两个蟑螂。', '短评打分': 3}
{'短评内容': '早餐很好，', '短评打分': 3}
{'短评内容': '早餐很好，', '短评打分': 4}
{'短评内容': '早餐很好，口味好，有停车场，位置也好，加床不知道', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '回头客了。', '短评打分': 5}
{'短评内容': '回头客了', '短评打分': 5}
{'短评内容': '习惯性入住', '短评打分': 5}
{'短评内容': '棒棒的', '短评打分': 5}
{'短评内容': '回头客了', '短评打分': 5}
{'短评内容': '太贵了 网络太好', '短评打分': 4}
{'短评内容': '这个价格还行，酒店住的维族人比较多，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '性价比不错，值得选择', '短评打分': 4}
{'短评内容': '老三星酒店，但是大堂算不错了，前台服务很亲切，房间设施有点老，但也可以，对得起这个价格，就是10块钱的早餐有点差了，不过总的来说对得起这个价格，性价比高', '短评打分': 4}
