{'descr': '每次回家，都住这里！一直很棒', 'star': 5}
{'descr': '早餐完美，服务超棒，有停车场，也很安静。位置也好找，出门公交离的也不远，价格也适中，有吹风机。这点很好。', 'star': 5}
{'descr': '先说酒店吧、上午在美团上定的、去店里时吧台上接待的一小丫头态度不怎么好、兴好一会态度不好的下班了、后来的那位服务很好。在这儿顺带告诉外地来住宿的朋友们千万别在对面的”喜洋洋”海鲜家常菜馆”吃饭、炒了三个菜、一个菜中八条海鱼有两条臭了、一个炖鸡蛋、一个西红柿蛋汤、还被宰了（点菜时鱼问价了、蛋汤问价了、就炖鸡蛋没问被宰了60块）、郁闷的一踏糊涂', 'star': 4}
{'descr': '没早餐，有停车场', 'star': 3}
{'descr': '位置较好，价格实惠，就是用携程礼品卡不可以调换房间，加价也不可以', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '干净卫生，环境不错，', 'star': 5}
{'descr': '不错下次在来', 'star': 5}
{'descr': '酒店环境很好，周边配套设施很全面，出行也挺方便，尤其是早餐很给力，果断五星好评', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '酒店位置比较好，但设施有待改善。尤其是酒店的隔音，真的很差。经济酒店，也应该争取做经济酒店中的精品，方能立足竞争激烈的市场。', 'star': 3}
{'descr': '电视遥控器和空调遥控器不太灵敏，其它还可以。', 'star': 5}
{'descr': '隔音效果超级差，外面任何声音都听得非常清楚', 'star': 2}
{'descr': '交通方便', 'star': 5}
{'descr': '该酒店内部房间干净整洁，设施齐全，服务态度超好，还会去住', 'star': 5}
{'descr': '位置比较好，每次都住这边，但硬件有点陈旧', 'star': 4}
{'descr': '房间挺干净，就是有点小', 'star': 3}
{'descr': '服务很差！网络会员无早餐！必须在店内办会员才有早餐！', 'star': 3}
{'descr': '交通方便，临街房间，晚上会有噪音，其它都很好！', 'star': 5}
{'descr': '帮朋友订的，干净、整洁、温馨，外出游玩住这个酒店是不错的选择。', 'star': 5}
{'descr': '还行，坐公交挺方便的~就是半夜停电了，挺郁闷的~位置挺显著的', 'star': 5}
{'descr': '不错，服务态度挺好的，挺干净，就是隔音不太好，晚上隔壁说话、打呼噜都能听见', 'star': 5}
{'descr': '都还不错，遇到一个很不淡定的客户，服务员还是hold住……', 'star': 5}
{'descr': '很不错，干净，床很大，就是离火车站有点远', 'star': 3}
{'descr': '条件还挺好，离海也很近！交通方便！就是电视有点小……不过总的来说很OK!', 'star': 3}
{'descr': '环境很好。。住的很舒服。。不错不错。。服务态度也很好。。', 'star': 5}
{'descr': '服务相当满意 每天还给两瓶免费的纯净水 十分十分满意 价格也不贵', 'star': 5}
{'descr': '如家全国连锁，服务环境各方面都不错，值得去入住的，就是有的酒店早餐居然涨价了，哎 伤不起啊！！！', 'star': 5}
{'descr': '酒店服务人员管理到位，很热情，客房环境不错，卫生，早餐不错。', 'star': 5}
{'descr': '酒店还行，就是说好返还30元的，可酒店说他们不返还。不知咋回事？', 'star': 3}
{'descr': '房间有点小，服务态度好，早餐还有点欠缺，继续改良吧', 'star': 5}
{'descr': '房间有点小，服务态度还行，隔音效果不好，外面说话都能听到', 'star': 5}
{'descr': '环境挺好的。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '总体还可以吧 但是价格稍高 比着连云港这么个小地方 140左右的价格差不多了', 'star': 5}
{'descr': '交通很方便，房间也很干净，不错。。。。。。。。', 'star': 5}
{'descr': '停车场太小，电视机坏了，画面色彩失真，卫生一般，早饭还可以', 'star': 1}
{'descr': '出门预定酒店，一般首选如家，但这里家服务实在是不怎样，全国连锁店，服务质量是不是也要统一？？？', 'star': 1}
{'descr': '有点小，但干净，不隔音，没窗户，算方便，晕，怎么要那么多字啊', 'star': 5}
{'descr': '虽然是特价房间，但是非常满意，服务很好，房间很漂亮，特别是粉红色的被套，让我很惊喜', 'star': 5}
{'descr': '好！非常好！！每天都打扫卫生，环境很好。希望工作人员能推荐下旅游线路和附近好的就餐地方，谢谢！', 'star': 5}
{'descr': '交通方便，从火车站（连云港东）打车，10元就能到\n', 'star': 5}
{'descr': '位置极佳，对于旅游来说灰常棒！除了网络有些不稳定，其它服务极佳！', 'star': 5}
{'descr': '服务好，态度好，卫生好，方便，较实惠。床铺干净、整洁，舒服。', 'star': 5}
{'descr': '总体感觉挺好，噪音也基本上没有，就是空调不是很好，不暖和，希望以后完善下~~~', 'star': 5}
{'descr': '不错，但是隔音不是很好，一大早就听到门外打扫的声音，提供早餐就更好了！', 'star': 5}
{'descr': '总体感觉不错，只是靠近马路，略微有些吵。', 'star': 5}
{'descr': '交通方便，便捷舒适。离海鲜美食城和海滩近在咫尺，闹中取静，不错！', 'star': 5}
{'descr': '如家不愧为品牌！床上用品很整洁、非常温馨！位置好，交通方便。早餐也很不错喔！', 'star': 5}
{'descr': '环境不错，干净整洁，各种灯光搭配选择不错，隔音效果也挺好的。', 'star': 5}
{'descr': '前台接待不够热情、卫生状况很是一般，比起其他如家同品牌的酒店稍逊一筹。', 'star': 1}
{'descr': '如家一直都很好。。', 'star': 3}
{'descr': '整体感觉还不错，就是网速慢了点，希望能提高些。', 'star': 5}
{'descr': '还可以！房间在一层有点吵！', 'star': 3}
{'descr': '一层条件差了些', 'star': 3}
{'descr': '酒店服务尚可，性价比不是很高。环境也不很安静，距离马路较近。\n\n--------------------------------------------------------------------------------\n', 'star': 1}
{'descr': '订到了特价房，服务态度很好，房间挺干净，打扫也很及时。但有一点，貌似不是很方便宽带上网啊。', 'star': 5}
{'descr': '还不错，酒店设施设备比较新 服务也不错 值得光顾', 'star': 5}
{'descr': '服务很好，环境也不错，工作人员很热情帮助我们解决问题，很好', 'star': 3}
{'descr': '还可以的，价格高一点，房间小一点，餐厅小了点！', 'star': 5}
{'descr': '比较匆忙的旅程，来不及细考虑订了该酒店，入住体验后感觉还不错。', 'star': 5}
{'descr': '第一次入住经济型宾馆，感觉：干净。隔音差。性价比不高。停车没人引导。', 'star': 5}
{'descr': '离海棠街海鲜城不远，大堂壁炉设计很温馨，房间偏小', 'star': 5}
{'descr': '对于到连云港旅游的朋友来说，这家酒店是个很好的选择！\n所在位置适中，到连岛到花果山到火车站都非常方便，夜间到大排档也没有多远，打车也就起步价，走路大约需要20分钟。\n酒店的服务中规中矩。\n说说不足：我住的房间（331）已经是走廊尽头，也没有和其他房间合用管道井，应该是比较安静的，遗憾的是整晚不得安宁！楼上的房间只要用水，流水声就像装了音响一样就在我脑袋边上响，百思不得其解！早上退房看柜台太忙也就没', 'star': 5}
