{'短评内容': '不错 距考试地点这么近 且山师周围美女如云 哈哈', '短评打分': 5}
{'短评内容': '设备老化,服务欠佳.房间就一个床头灯亮,其他都坏了,找了至少四次还是没解决,很不满!', '短评打分': 3}
{'短评内容': '环境挺好  也很安静 \n\n不过  洗浴没热水。。。。。。。\n\n不知道怎么回事', '短评打分': 5}
{'短评内容': '酒店的位置不错，正处于山师大附近。房间也很宽敞、干净，不足的就是卫生间有点老旧，我住的是大床房隔音有点差。这个价格已经很超值了，以后去还会住那！', '短评打分': 5}
{'短评内容': '房间虽简易，但能看见千佛山，还行吧！疑惑的是服务员说网上订房不开发票，这不合法吧？', '短评打分': 3}
{'短评内容': '推荐这家酒店的理由有二。一是离山师近，二是前台服务好。但也有不足的地方，比如晚上外面太吵，浴室干湿区没有分开。最不满意的就是早餐，六块钱就给三根油条，一碗稀饭，一个鸡蛋，还没有筷子勺子，连纸巾都没有，男服务员态度还不好。建议早上出去吃，外面小吃街上有许多好吃的早饭呢', '短评打分': 5}
{'短评内容': '干净 房间挺宽敞的 最近几年应该装修过。安静 不在交通干线旁边 周围是居民区。交通方便 离公交站5-10分钟。价格合理 ', '短评打分': 5}
{'短评内容': '太差了，连招待所都不如，还三星级的呢，骗人的', '短评打分': 1}
{'短评内容': '该酒店服务不够到位，两天的房费，只能享受一天的服务，打扫卫生不及时。', '短评打分': 1}
{'短评内容': '已入住林馨苑宾馆，方便快捷，挺好！', '短评打分': 3}
{'短评内容': '外观不起眼，房间内不错，卫生整洁。电视太高级，不容易搞。这么大个地方，竟然没有服务员。地段好，吃喝玩乐很方便。价格可以，还行', '短评打分': 3}
{'短评内容': '室内设施一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '一次性的拖鞋不喜欢，洗澡水也不是很热。周围的山师商业街很繁华，夜市很热闹。', '短评打分': 3}
{'短评内容': '设施卫生价格还可以。', '短评打分': 3}
