{'短评内容': '交通比较便利，生活方便。', '短评打分': 5}
{'短评内容': '只能说房间情况基于虹桥附近这个价格是可以接受勒', '短评打分': 3}
{'短评内容': '对于到虹桥火车站来说  酒店很方便就一站路就到了 环境可以  就是保持着布丁酒店小而全的特色', '短评打分': 5}
{'短评内容': '主要是看中离地铁和去的地方近，房间很小，说是到店里开发票，中间要扣除携程的费用，我就呵呵了，没有注意这个还是环保酒店，不提供一次性牙刷一类的，最后前台美女还是比较好的免费提供洗漱用具。电视就不吐槽，看正常的还卡，房间高度2米2到2米5吧，不高。如果只看位置的话是不错的', '短评打分': 3}
{'短评内容': '酒店位于动物园旁边，地铁10号线周边，交通相对方便。酒店房间内部比较小，不提供洗漱用品。前台服务员服务态度较差，没有耐心，需要改进。', '短评打分': 4}
{'短评内容': '经常住这家，离火车站三站地，便宜。', '短评打分': 5}
{'短评内容': '交通方便，设施简陋', '短评打分': 4}
{'短评内容': '房间小了点，但很干净，在寸土寸金的上海性价比很高', '短评打分': 5}
{'短评内容': '还不错，距离地铁很近', '短评打分': 4}
{'短评内容': '还行，就是经济型酒店，算干净，面积小，主要离地铁口近，离航线楼近', '短评打分': 4}
{'短评内容': '位置比较偏，但离机场航站近些，乘地铁一站即到。房间较小，就是一般经济性酒店。', '短评打分': 4}
{'短评内容': '小房间住的也挺好的', '短评打分': 5}
{'短评内容': '还可以比较干净', '短评打分': 5}
{'短评内容': '挺不错的 很小但比较干净 周边略微冷清 不过吃饭什么的也都有 离地铁近 而且离机场近 赶飞机很好', '短评打分': 4}
{'短评内容': '酒店很干净，前台小姑娘服务很好，赶飞机住在这里，房间很温馨 ，很干净，下次出差有机会还住这家。', '短评打分': 5}
{'短评内容': '好，很好，真的很好，非常非常好', '短评打分': 5}
{'短评内容': '房间比较小，一个人住正合适，交通比较便利，地铁公交就在边上，赶早班机很方便', '短评打分': 5}
{'短评内容': '将位置方便，离地铁近，周边算比较便宜的酒店了。', '短评打分': 5}
{'短评内容': '酒店还是比较干净整洁的，就是有点小，总的来说挺好！', '短评打分': 3}
{'短评内容': '酒店房间很小，真的什么用品都没有，价格五一都要两百多，这个价格性价比不高，网络非常不给力，基本上不了，除了地段好以外，其它没有什么优势。', '短评打分': 1}
