{'短评内容': '有点阴森的感觉', '短评打分': 5}
{'短评内容': '就是早上起来楼道里有一股烧焦了的味道', '短评打分': 5}
{'短评内容': '酒店太差', '短评打分': 2}
{'短评内容': '很一般的酒店，叫旅馆更切合实际', '短评打分': 3}
{'短评内容': '除了位置有些偏，吃饭不太方便外，住着还不错，空调制冷效果很好，感觉惬意，房间够宽敞明亮，周边比较安静。', '短评打分': 3}
{'短评内容': '太偏', '短评打分': 4}
{'短评内容': '房间很大，就是感觉有些陈旧了。', '短评打分': 4}
{'短评内容': '交通不便利周边没有吃饭的地方，酒店设施很差很潮湿，蚊子很多。不会再入住了', '短评打分': 2}
{'短评内容': '一个老酒店，但是旁边没什么好酒店了', '短评打分': 5}
{'短评内容': 'V5哦我弟IP唾沫凸透镜咯', '短评打分': 5}
{'短评内容': '地理位置偏僻，是老式的酒店，房间空间还可以，也很干净！', '短评打分': 1}
{'短评内容': '房间陈旧，一股霉味，说是豪华大床6尺的，实际只有四尺半。差！', '短评打分': 3}
{'短评内容': '我订的酒店很满意', '短评打分': 3}
{'短评内容': '还行安静', '短评打分': 3}
{'短评内容': '离大路很近，交通很方便，90年代的星级酒店.......', '短评打分': 5}
{'短评内容': '酒店设施很一般，与三星级标准相差太远！', '短评打分': 3}
{'短评内容': '环境还是不错的，可能是由于近期雨天较多，感觉房间被褥较湿。其他都蛮不错的，蛮周到的。', '短评打分': 5}
{'短评内容': '服务很好，早餐一般喜欢在房间里吃，她们会送过来，如果没起来吃早餐，她们会主动电话联系我，问我用餐情况，感觉很贴心，酒店地处中环附近，出行还可以，舒适度不错', '短评打分': 5}
{'短评内容': '距离上海西站蛮近的，周边出行交通蛮方便的，房间舒适度很好，周边小型购物中心较多，环境很不错，也很干净', '短评打分': 5}
