{'短评内容': '不错的房间！物美价廉', '短评打分': 5}
{'短评内容': '逛累了，就拿起手机搜索一下附近的酒店，发现这家还不错，性价比很高的，还可以观景观江，很舒服。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，价格不贵，很划算。', '短评打分': 5}
{'短评内容': '位置很好，去哪都近，生间的灯光不是很亮。其他都还好。停车只能停在店门口，旁边吃早餐什么的还是方便的。', '短评打分': 5}
{'短评内容': '酒店价格也不贵，还在步行街这边，很喜欢', '短评打分': 5}
{'短评内容': '酒店有点旧，服务态度不错，周边也方便', '短评打分': 4}
{'短评内容': '浔阳江景房……让你体会：浔阳江头夜送客，枫叶荻花秋瑟瑟……', '短评打分': 5}
{'短评内容': '实际与图片不符', '短评打分': 2}
{'短评内容': '大大的差评！打电话问了多次，告诉我大床房B是有窗户的，去入住又补差价！定了好几次，今天同事才告诉我补了差价！我真是无语了，管理绝对有问题！不是在意那几块钱，起码你正规的宾馆，要挂在网上就要写清楚！什么样的房间没有窗户，什么样的是有窗户的，去了又各种补差价，绝对是乱收费！', '短评打分': 1}
{'短评内容': '设施一般  感觉一般', '短评打分': 3}
{'短评内容': '酒店卫生不是很好，房间有异味，空调有点故障', '短评打分': 3}
{'短评内容': '景观房2楼毛都看不到。。。。。。。。。。', '短评打分': 3}
{'短评内容': '环境不错，能住江景房就更好了', '短评打分': 3}
{'短评内容': '服务很好，还包早餐，性价比很高！', '短评打分': 5}
{'短评内容': '还不错，住的房间该可以看到江边，就是餐厅好小，吃的种类也不多，明明两个人入住，却给了一个餐券，卫生间也没肥皂', '短评打分': 3}
{'短评内容': '总体感觉还是可以的，店内也算是干净的。早饭要钱的，这点不大好', '短评打分': 5}
{'短评内容': '酒店其实还不错，位置也还好，就是其中一天发现厕所有蟑螂，还有，这个城市不好玩', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，闹中取静，离市中心也很近。提前订还给预留的都是江景房，看着浩浩的长江，感觉很好。。。', '短评打分': 5}
{'短评内容': '空调对着床感觉睡觉不舒服，洗澡的水龙头漏水，\n其他还好。\n', '短评打分': 1}
{'短评内容': '卫生很好，服务态度也不错，实在的江景房，可以观看长江美景，餐厅的饭菜也好吃', '短评打分': 5}
{'短评内容': '环境和地理位置都不错,特别是5楼餐厅的饭菜,比外面的好吃多了. 不足之处就是我去的时候前台说已经没有停车的位置了,说后面小区里面都满了,我只好停在店门口的马路上.', '短评打分': 5}
