{'短评内容': '海边，挺好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '酒店很给力，服务超到位，出门过个马路就是大海！', '短评打分': 5}
{'短评内容': '如果没有星，我宁愿给0星。首先该酒店一楼是饭店，二楼办入住，后来知道车是可以开上二楼的。但我们当天在开车进酒店后，明确告诉保安我是住宿的，仍然让我停在一楼，然后我们拖着一大堆行李爬到二楼办入住。其次我这边定了两间居然不在一起，一个三楼一个五楼，在我前面办入住的女的，就因为是某程上担保的，就可以免费升大床套间还在一层，我这边就想调到一层就告诉我没房间了，查都没查一下。最后，酒店号称四星，但室内装潢太差，风格很像世纪初的城镇招待所，房间还不隔音，楼下ktv唱k的声音很晚都听的到。建议各位以后来连云港玩千万别住这家', '短评打分': 1}
{'短评内容': '程越和徐蓉服务很细心', '短评打分': 5}
{'短评内容': '很干净，总台苏庆服务很好  好评 五分好评', '短评打分': 5}
{'短评内容': '这家酒店的设施都是十年以前的，旧旧的，服务还行，地理位置不错，说是四星级，我看三星级都够呛，一般般吧，性价比低', '短评打分': 5}
{'短评内容': '很棒的环境。', '短评打分': 5}
{'短评内容': '明枫手机保护壳皮套适用于联想 PHAB2 Plus全网通手机平板 6.44英寸 蚕丝三折款黑色\n&yen;49.00', '短评打分': 5}
{'短评内容': '明枫手机保护壳皮套适用于联想 PHAB2 Plus全网通手机平板 6.44英寸 蚕丝三折款黑色\n&yen;49.00', '短评打分': 5}
{'短评内容': '环境、服务良好、地域安静舒适。', '短评打分': 5}
{'短评内容': '很棒的酒店体验，服务一级棒！！就是这个城市不怎么样', '短评打分': 5}
{'短评内容': '很棒的酒店体验，服务一级棒！！就是这个城市不怎么样', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 4}
{'短评内容': '很好。                                                ', '短评打分': 5}
{'短评内容': '酒店干净舒适', '短评打分': 5}
{'短评内容': '因为淡季，人不多，老酒店，服务较好！', '短评打分': 5}
{'短评内容': '酒店较老，早餐一般', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店的服务不错，空调效果也比周边其他几家酒店要好。', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 5}
{'短评内容': '酒店去港口办事很近，早餐老外不少，服务还行，大堂经理挺热情。', '短评打分': 5}
{'短评内容': '很满意！', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务好，位置好，吃玩都方便', '短评打分': 5}
{'短评内容': '服务好，位置好，吃玩都方便', '短评打分': 5}
{'短评内容': '住过很多次了，离海很近，很不错。就是逛街什么的不是很方便。吃东西也不错。', '短评打分': 5}
