{'短评内容': '老客户了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '在市中心，有个落脚点这样算不错了，小小的', '短评打分': 3}
{'短评内容': '服务员态度很差，各种刁难！', '短评打分': 3}
{'短评内容': '还不错，就是房间略旧，设施也有点旧，不讲究的话还可以了', '短评打分': 3}
{'短评内容': '吵闹，无窗。', '短评打分': 3}
{'短评内容': '代朋友临时半夜预订，除了据说难找一些以外，暂无不良评价。', '短评打分': 3}
{'短评内容': '店服务很不错，位置很好，出地铁就就能看到了，能在楼下就能吃到广式的肠粉，已经很好了，旁边有麦当劳和全家便利店，宵夜不用愁了', '短评打分': 4}
{'短评内容': '在环市路边，临中山眼科医院，双层隔音玻璃，蚊子比较多。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错，对得起这个价格，交通方便，离区庄和动物园不远，有个吃饭的地真是不错还很便宜。只有一个小小的不足窗户较小还在下方。', '短评打分': 5}
{'短评内容': '不错，对得起这个价格，交通方便，离动物园不远，有个吃饭的地真是不错还很便宜。只有一个小小的不足窗户较小还在下方。', '短评打分': 5}
{'短评内容': '还可以,住的双床房,挺干净的.因为是背马路的一面还不算吵.', '短评打分': 5}
{'短评内容': '饮食交通相当方便，服务态度较好，大堂有电脑供用，房较新。但大床房窗矮小，洗卫间共用一门且一边关不住，会尴尬。其他都挺好。总体上与价格较相衬吧，个人推荐指数为7.8。', '短评打分': 5}
{'短评内容': '环境不错，比较安静和干净，就是附近要找吃有点远，不过交通方便', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '环境不错，双层窗户，隔音还行。就是离地铁口远些。', '短评打分': 5}
{'短评内容': '地址在广东工业大学附近 距离广空医院大门不到5米，环市东路上，车辆来往比较吵。\n住的那晚没休息好，12点一堆人吵吵嚷嚷，其中2个妹子看电视（声音很大）一边看一边夸张的笑，不知道什么身份。迷迷糊糊睡过去以后到了4点，值班的前台说话打雷一样（大门隔音太差）不仅我被吵醒，我隔壁的那位估计也被吵醒起来了，打开电视看，你说大早上4点谁会想看那电视的？还不是失眠了！ 大晚上休息也很重要，我那天是去有事情不想影', '短评打分': 1}
{'短评内容': '  订的是电脑商务房，不过电脑真垃圾，上网都可以重启1O几次。', '短评打分': 3}
{'短评内容': '还不错，就是有点偏，往前走一段有挺多吃的', '短评打分': 5}
{'短评内容': '环境不错！被褥很干净，洗浴也很方便，很人性化，房间里的贴纸很漂亮，赞一个！！', '短评打分': 5}
{'短评内容': '挺好的 很满意了 很多人住 可以去看看的', '短评打分': 5}
{'短评内容': '凑合吧，，，广交会期间好贵啊酒店，，一般', '短评打分': 5}
{'短评内容': '出差遇上广交会，所从房价比往常贵了一倍。房间虽小但墙上的剪纸油画弥补了一丝缺憾，若窗户大一点那就更加分了。', '短评打分': 3}
{'短评内容': '还行。这个价格算比较实惠。交通也很方便。', '短评打分': 5}
{'短评内容': '还不错，性价比不错。。。交通也好。。。下次会住', '短评打分': 5}
{'短评内容': '附近性价比较高的酒店，有三层玻璃窗户，所以隔音还不错的', '短评打分': 5}
{'短评内容': ' E家连任锁酒店服务好,退房后落下东西会通知你并帮你看管,不必担心丢东西.', '短评打分': 3}
{'短评内容': '性价比高，干净卫生。地理位置适中，出行较为方便。', '短评打分': 5}
{'短评内容': '环境不错，价格实惠，就是靠马路 偶尔会吵。整体还是可以的。', '短评打分': 5}
{'短评内容': '不错，性价比很高。。。位置也很好。。。。。。。。。', '短评打分': 5}
