{'短评内容': '非常不错，一直都是很信赖京东', '短评打分': 5}
{'短评内容': '很好停车方便，酒店也不错', '短评打分': 5}
{'短评内容': '还不错 经济实惠 交通方便', '短评打分': 4}
{'短评内容': '房间比较小，设施很一般，配的最差的洗漱用品，不能喝的茶叶包，早餐还行，周边有包公园可去游览一番。', '短评打分': 4}
{'短评内容': '还不错，价格实惠', '短评打分': 5}
{'短评内容': '还不错，价格实惠', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '干净卫生服务态度好', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '还不错！闹中取静！物美价廉！', '短评打分': 5}
{'短评内容': '我饿呃呃呃额额的饿肚肚哒哒哒咕咕咕咕吃吃吃', '短评打分': 5}
{'短评内容': '酒店服务到位周到不错，点赞，', '短评打分': 5}
{'短评内容': '不错 下次再去', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间老旧了一些，其他还好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '宾馆有点老了、硬件设施不完善', '短评打分': 4}
{'短评内容': '酒店真的很干净，早点也不错。我是晚上8点多才去吃的早点，没想到餐点还有很多，而且还是热乎的。绝对的四星级酒店，下次来还住这里。', '短评打分': 5}
{'短评内容': '三个人来出差。性价比不错。大床里面那间房，厕所太深有点恐怖。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': 'high哈哈哈哈high哈哈high', '短评打分': 5}
{'短评内容': '酒店小了点，隔音效果也不好，但是房间干净，周边饭店众多，出门也方便', '短评打分': 5}
{'短评内容': '地理位置不错，环境也挺好，就是房间有点小，饭菜不好吃', '短评打分': 5}
{'短评内容': '床大，安静，地段好。不过早餐蛮简单。下次来还会住', '短评打分': 5}
{'短评内容': '还是有点吵  还是比较吵   早餐凑合   服务一般般口气非常生意', '短评打分': 1}
{'短评内容': '条件还不错，楼下不远巷子里吃的很多很热闹', '短评打分': 5}
{'短评内容': '还可以吧，周围吃饭娱乐都很方便..........................', '短评打分': 5}
{'短评内容': '房间非常小，而且打扫得很不干净，隔音效果也非常差。早餐质量也不好，房间价格偏贵', '短评打分': 1}
{'短评内容': '比较标准的准4星酒店，设施较新。不过大床房连速溶咖啡都有收费，实在有点小气。\n不要住6楼，太靠近KTV，晚上影响休息。', '短评打分': 5}
