{'短评内容': '有网络电视就好了', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '性价比超高，离轻轨站也近，附近想吃的想买的都有，超好的入住体验。', '短评打分': 5}
{'短评内容': '家庭出去玩，住这还是很合算的。', '短评打分': 5}
{'短评内容': '免费升级到海景房，服务周到，房间很大很宽敞。早饭选择很多，价格很便宜！电梯等候时间有点长，电梯里有异味，需要清洁。', '短评打分': 5}
{'短评内容': '宾馆还可以，有点吵！设施一般！总体还可以', '短评打分': 5}
{'短评内容': '整体不错，方便，服务质量OK！', '短评打分': 4}
{'短评内容': '还不错哦，多次入住了', '短评打分': 5}
{'短评内容': '总体不错，安静，睡的也踏实，就是房间里的设备一般，热水器旁边漏水，门锁需要暴力关门。有微波炉，冰箱。总体还不错。', '短评打分': 5}
{'短评内容': '不错。很好', '短评打分': 5}
{'短评内容': '房间又大又干净……房内设施齐全…… 住的很舒服……', '短评打分': 5}
{'短评内容': '常住，很好。干净，卫生！环境好。', '短评打分': 5}
{'短评内容': '没有空调是唯一的问题', '短评打分': 3}
{'短评内容': '酒店设施老旧！服务太慢！', '短评打分': 4}
{'短评内容': '还可以  酒店公寓也都差不多！', '短评打分': 4}
