{'短评内容': '住宿条件设施完善', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '交通便利，不错', '短评打分': 5}
{'短评内容': '停车方便，周边吃饭很方便，住了一晚，很安静。房间门后发现一个烟头，希望以后多多注意。其它方面还是很不错的。', '短评打分': 5}
{'短评内容': '交通方便。隔音效果差，住的是227，楼上的水声附近住客的说话声，声声入耳啊前台服务态度一般，我下午两点入住，应该是最早入住的了，说“”只有两个房间可选，一个在二楼，另一个在三楼条件更差。”摆明就是没得选！    ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '在文化路上，出行很方便，周围地段繁华，离实验中学近，可以免费停车场，地理位置优越！就是房间设施有些陈旧了。', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 5}
{'短评内容': '非常不错，就是距离火车东站稍微远点', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店里的灯光超级昏暗让人觉得好压抑', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置停车不太方便，车位太少。环境挺好！', '短评打分': 5}
{'短评内容': '很安静，离公司也很近，周边吃饭很方便，小吃很多，前台接待很热情，环境整洁，室内干净，住着很舒服，下次还回来的。', '短评打分': 5}
{'短评内容': '还可以，房间小，卫生一般。中等。', '短评打分': 4}
{'短评内容': ' 位置不错，但房间有一点点潮，可能是雨天的缘故吧  总体还是不错的', '短评打分': 3}
{'短评内容': '比二七店好，感觉还可以，很满意。比较理想', '短评打分': 5}
