{'短评内容': '挺好  就是有点偏', '短评打分': 5}
{'短评内容': '服务一般吧，适合自驾，性价比还是比较高的，如果不考虑服务态度，其他还是不错', '短评打分': 4}
{'短评内容': '一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬一搬', '短评打分': 3}
{'短评内容': '房间挺大 环境安静', '短评打分': 5}
{'短评内容': '房间还可以 环境安静', '短评打分': 5}
{'短评内容': '除了空调制冷效果差了点，其他的都还行。', '短评打分': 5}
{'短评内容': '交通方便，偏僻了点倒也安静。不足之处是床上靠背不够干净。', '短评打分': 5}
{'短评内容': '返现比例高，值得预定', '短评打分': 5}
{'短评内容': '内部环境还可以，较干净，与快捷酒店差不多，但房间比快捷酒店大多了，价格实惠，性价比高，但周边环境不太好啊，城乡结合部，较偏僻，周边没吃的店', '短评打分': 4}
{'短评内容': '酒店内部较干净，房间大，价格实惠，性价比高，外围环境一般，在城乡结合部，有点偏僻，离火车站汽车西站比较近', '短评打分': 4}
{'短评内容': '一般，下次不会再去了', '短评打分': 3}
{'短评内容': '就一般般了', '短评打分': 3}
{'短评内容': '代同事订的，是去金华考试的，听他们说酒店位置挺近的，房间也蛮好，就是个别服务员说话态度不是很好听。还有早餐比较简单，品种没几个，可能是免费的原因吧。总体还是可以的。下次如果再来还会预订的。', '短评打分': 5}
{'短评内容': '代同事订的，是去金华考试的，听他们说酒店位置挺近的，房间也蛮好，就是个别服务员说话态度不是很好听。还有早餐比较简单，品种没几个，可能是免费的原因吧。总体还是可以的。下次如果再来还会预订的。', '短评打分': 5}
{'短评内容': '说实话，性价比不太高，500元一晚都可以住四星和五星酒店了，但还算干净的。', '短评打分': 4}
{'短评内容': '很便捷，就是周边连买烟的地方都没有。', '短评打分': 5}
{'短评内容': '很差。不能预付。搞不懂。', '短评打分': 3}
{'短评内容': '比较偏，但也很安静，唯一不足是入住后服务员没按门铃就直接开门进来，不知何意，被她吓了一跳，幸亏挂上了挂锁。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '虽然是郊区，但房间很不错，价格又便宜。', '短评打分': 3}
{'短评内容': '干净，安静。周边稍微冷清了些，不过也好，安静。', '短评打分': 5}
