{'短评内容': '小刘小韩服务很好.很热情', '短评打分': 5}
{'短评内容': '前台小倩和小李服务热情周到', '短评打分': 5}
{'短评内容': '前台小倩和小李服务热情，专业', '短评打分': 5}
{'短评内容': '前台小李、小任服务很亲切很热情，服务给五星。 酒店性价比不错。过来参加婚礼，大堂不开暖气有点太冷了 。', '短评打分': 4}
{'短评内容': '前台王丹，刘丽态度很好，谢谢！', '短评打分': 5}
{'短评内容': '携程很靠谱，这家酒店值得入住。', '短评打分': 5}
{'短评内容': '服务满意，非常满意，小王，小苟', '短评打分': 5}
{'短评内容': '酒店位置很好找，环境很好，安静，设施齐全，早餐丰富，周边餐馆也多，离都江堰景区开车10分钟，值得推荐！！！', '短评打分': 5}
{'短评内容': '性价比很高。', '短评打分': 5}
{'短评内容': '酒店服务真心不错！因为租车，不熟悉车况，出了点小状况，前台的服务员不厌其烦的帮我联络，直到解决问题！', '短评打分': 5}
{'短评内容': '服务挺好的，今天我离店手机忘了在房间，服务员马上通知我了，谢谢', '短评打分': 5}
{'短评内容': '在都江堰玩，首选国堰呀，隔景区还算近，交通完善，很容易找到，环境设施还行，和锦江宾馆还差很多但算可以了。定的商务结果最后携程免费给我升级了！这个必须赞！', '短评打分': 5}
{'短评内容': '态度很好     ', '短评打分': 5}
{'短评内容': '酒店很不错，早餐很丰富。。。', '短评打分': 5}
{'短评内容': '设施环境服务都比较好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '靠近玉磊山，还算干净。  住的豪华套房，马桶有污渍。空调不给力，穿着衣服睡的，可能面积太大吧。早餐也一般', '短评打分': 3}
{'短评内容': '符合四星级的标准。很舒适的入住体验', '短评打分': 5}
{'短评内容': '酒店设施比较干净，离城中心有点远，早餐不够丰富。', '短评打分': 5}
{'短评内容': '酒店位于城边，设施比较干净，卫生间较大，但早餐种类较少。', '短评打分': 5}
{'短评内容': '还算ok，标房还行。行政大单间不是很好，没有优势', '短评打分': 5}
{'短评内容': '我订的是行政大床房，结果入住的就是普通的大床房，房间面积就是普通的标间大小，更无会客区域，真不知道比商务大床房贵100元的道理究竟在哪？？？标', '短评打分': 5}
{'短评内容': '我订的是行政大床房，结果入住的就是普通的大床房，房间面积就是普通的标间大小，更无会客区域，真不知道比商务大床房贵100元的道理究竟在哪？？？', '短评打分': 5}
