{'短评内容': '厕所都没门。。。。。', '短评打分': 2}
{'短评内容': '酒店服务很棒，喜欢', '短评打分': 5}
{'短评内容': '没有早餐，去交大方便，离西直门近', '短评打分': 4}
{'短评内容': '没有早餐，到交大食堂可以', '短评打分': 5}
{'短评内容': '设备陈旧了，服务还可以', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '评价大于20元商品超过十个字就有机会获得京豆', '短评打分': 5}
{'短评内容': '没啥说的 还可以吧。。', '短评打分': 5}
{'短评内容': '房间马马虎虎，热水不够热，电脑cpu居然还是阿童木，只能当摆设，小贵 。', '短评打分': 5}
{'短评内容': '这是我最差的住宿体验，我不知道网上评分怎么会是4点几，我最多给2分，卫生基本不打扰，天花板破的，床垫有个大坑，洗澡水忽冷忽热', '短评打分': 5}
{'短评内容': '这是我最差的住宿体验，我不知道网上评分怎么会是4点几，我最多给2分，卫生基本不打扰，天花板破的，床垫有个大坑，洗澡水忽冷忽热，不建议住', '短评打分': 5}
{'短评内容': '环境设施都很一般。。。', '短评打分': 5}
{'短评内容': '服务很好，房间很大', '短评打分': 5}
{'短评内容': '房间太脏！水龙头上面全是污垢，洗手间和淋浴间更是惨不忍睹。而且房门的防盗链也坏了！！', '短评打分': 2}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '酒店内设施陈旧，多有老化，无窗的房间异味较大，没发住', '短评打分': 3}
{'短评内容': '设施太差了 位置不错 也还算干净', '短评打分': 4}
{'短评内容': '位置还可以，但酒店也太年久失修了吧，浴室热水放了二十分钟才有，淋浴间最夸张的是垫板是塌陷裂开的，这样能洗澡么？地板沙发破烂不堪，不说了上图，这种酒店400一晚也没谁了。定的商务套房，就这种水平，下次绝不再来。', '短评打分': 2}
{'短评内容': '不错 ', '短评打分': 4}
{'短评内容': '很好的，方便，安全，服务人员态度挺好的，可以啦。', '短评打分': 4}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '环境好，服务态度好，透风性较差', '短评打分': 5}
{'短评内容': '离交大很近，过马路就是，很是方便。旁边还有可以吃饭的地方。', '短评打分': 5}
{'短评内容': '连银行都刷不了，房间味道很大，床很烂', '短评打分': 3}
{'短评内容': '酒店服务态度很好，但是酒店很潮，进到房间一股味道……', '短评打分': 1}
