{'短评内容': '故地重游倍感亲切', '短评打分': 5}
{'短评内容': '还不错，价格实惠', '短评打分': 4}
{'短评内容': '价格不高，决定了各方便都不是很好', '短评打分': 4}
{'短评内容': '便宜', '短评打分': 3}
{'短评内容': '安庆宾馆是一个老宾馆了，很正规，有政府接待的味道，位置优越，整体性价比不错！住着感觉安全指数是不需要任何担心的！', '短评打分': 5}
{'短评内容': '适合不要求环境的入住，跟旅馆差不多', '短评打分': 3}
{'短评内容': '挺好的，有那种挺舒服的感觉', '短评打分': 4}
{'短评内容': '很棒，很不错的地方，服务态度很好，环境也不错', '短评打分': 5}
{'短评内容': '从来没见过这么破旧的旅店。属于济公风格。应该是上世纪的。位置不错，场地也不小。有个大院子作停车场。周边也没有夜市，夜店影响休息。原来订的店网上说能停车。到了后没地停。刚好旁边是这家。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '位置不错，服务还好。设施较旧，噪音较重，早餐也不太好。', '短评打分': 5}
{'短评内容': '位子还好', '短评打分': 3}
{'短评内容': '合肥过来的汽车南站附近，。\n\n宾馆为政府招待所转型，基础设施还是可以的，\n\n宾馆在装修中，但没有凌乱的感觉，就是副楼没有电梯。\n\n早餐还是可以的，', '短评打分': 5}
{'短评内容': '感觉一般，太老了，只是老牌，不过地理位置不错呀！\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境挺好，前台服务也好..................', '短评打分': 5}
{'短评内容': '实再太一般了，卫生和环境都很差，实再对不起这个价格', '短评打分': 1}
{'短评内容': '  还可以', '短评打分': 3}
{'短评内容': '除了地段很好外，其他方面都不行，设施老化，服务冷漠，早餐也不好吃。', '短评打分': 1}
{'短评内容': '房间比较小，设施比较旧，特色服务送二个梨子，马马虎虎凑合住，出行比较方便', '短评打分': 5}
{'短评内容': '酒店一般，', '短评打分': 5}
{'短评内容': '先说好的：1.地理位置好，方便。2.房间也比较大，一般接待客人来访够用了。3.早餐尚称丰富。4.服务员素质不错。\r\n不足之处：1.最大的问题是中央空调制冷太差，估计是为了省电，白天基本只送风，不制冷。晚上稍微送点冷气。我反映了好几次，也不能解决。最后我只能要求服务员送个电扇过来，勉强对付着住了2天。我住的可是三星级宾馆的空调房呀，竟然靠电风扇降温。2.宾馆太老旧了，有点不太卫生的感觉。3. 131', '短评打分': 1}
{'短评内容': '不错，感觉到服务比较好。这是在安庆不错的地方', '短评打分': 3}
{'短评内容': 'good ,very good. i am happy', '短评打分': 3}
{'短评内容': 'good,very good. for the service', '短评打分': 5}
{'短评内容': '感觉一般，太老了，只是老牌，不过地理位置不错呀！', '短评打分': 5}
{'短评内容': '服务务周到，人性化，服务员相当有礼貌。硬件齐全，餐饮还可口。', '短评打分': 5}
{'短评内容': '该馆地处安庆市中心地段的人民路，床位丰富，经济小吃频多，质优价廉，具有较高的性价比。是经常出差在外的人士首先居住地。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通很方便的，酒店的价格有点高了。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;很不错的宾馆，价格比较公道（160元/间），可以上网，有报纸和水果，虽然不多但是挺感人的，干洗衬衣很便宜，大概就是几块钱，不像有的地要10元，地理位置也很好，位于两个汽车客运站中间，都可以步行前往，离市中心也很近，是一个值得去得住处&amp;lt;/P&amp;gt;', '短评打分': 3}
