{'短评内容': '宝贝非常不错，经常购买已经在京东买了好多，还会一直继续购买，价格也实惠～～很满意', '短评打分': 5}
{'短评内容': '还可以，地点较高，价格实惠。', '短评打分': 5}
{'短评内容': '好，好，非常好', '短评打分': 5}
{'短评内容': '位置不错，房间也可以，服务员态度一般', '短评打分': 4}
{'短评内容': '还行吧，，，，', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺好的，可以带孩子', '短评打分': 5}
{'短评内容': '位置很方便，很好找，在儿童医院后面，走路仅需要5分钟，离地铁很近，有3号线，6号线，房间空间大，采光超好，设施很新，比较舒适便捷，淋浴出水快，wifi速度很快，床也很舒服，很赞，前台服务态度好，很耐心解决问题，楼层阿姨好亲切，每天都给打扫卫生，房间比较干净，价格也很亲民，总之，很不错的一次体验，棒级了，要给大大的赞，值得推荐，下次还来', '短评打分': 5}
{'短评内容': '还好，在儿童医院后面，很方便', '短评打分': 5}
{'短评内容': '挺好，住过多次', '短评打分': 5}
{'短评内容': '办理入住和退房手续快捷', '短评打分': 5}
{'短评内容': '特别好特别好特别好！重要的事说三遍', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店感觉装修过，房间挺大，听卫生', '短评打分': 4}
{'短评内容': 'WIFI质量太差了', '短评打分': 3}
{'短评内容': '环境一般，不值这个价。', '短评打分': 4}
{'短评内容': '入住后知道了自主的概念是什么意思?', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
